,akkar,bikaa,north
Aleppo,197.90972980208116,285.1436176911348,238.16827254544242
Deir Ezzor,363.47373957030135,423.0244156186686,399.90435951545146
Homs,43.97269683259296,123.57228760147345,84.65823037599986
Daraa,216.44025870327994,137.2567942910071,185.51946602799705
Damascus,117.12330938934261,52.9146331984284,91.92871494058862
Quneitra,165.62006030677438,80.4880168393715,129.96981654326754
Tartous,51.080943952114644,116.04964099014165,67.2952317274291
Idlib,154.2119899511283,240.29942428561094,191.61522850296558
Sweida,207.95385456809834,140.65814116034935,184.11815877539576
Hama,76.02449835754895,162.5615591500999,117.96997589202233
Hasakeh,4506.569401726545,4578.854546856679,4547.483989228153
Lattakia,115.06011756319532,185.88450549627467,137.4568756942836
Raqqa,291.74631680041,367.37056479679416,332.88312170015206
