actor,place_of_death,date_of_death,cause_of_death,nb_women,nb_children,nb_civilians,nb_noncivilians
International coalition forces,Aleppo,12/28/14,Warplane shelling,12,3,301,31
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,8/14/14,Kidnapping - Execution,3,3,282,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2/14/14,Kidnapping - Execution,0,6,147,12
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/8/14,Kidnapping - Execution,0,6,141,84
Armed opposition groups,Homs,10/1/14,Explosion,2,98,126,0
Syrian government and affiliated militias,Aleppo,12/25/14,Warplane shelling,6,27,120,6
Syrian government and affiliated militias,Aleppo,12/1/14,Shooting,0,0,120,0
Armed opposition groups,Unknown,7/29/14,Shooting,0,0,96,0
Armed opposition groups,Unknown,7/13/14,Shooting,0,0,88,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,3/11/14,Kidnapping - Execution,0,6,80,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,4/10/14,Shooting,0,0,77,87
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,3/1/14,Kidnapping - Execution,6,3,70,51
Syrian government and affiliated militias,Daraa,11/30/14,Warplane shelling,18,12,69,0
Syrian government and affiliated militias,Homs,12/16/14,Warplane shelling,6,9,66,0
Armed opposition groups,Unknown,7/19/14,Shooting,0,0,64,0
Syrian government and affiliated militias,Damascus Suburbs,10/17/14,Shooting,0,21,62,12
Syrian government and affiliated militias,Aleppo,6/14/14,Warplane shelling,9,6,57,0
Syrian government and affiliated militias,Damascus Suburbs,10/16/14,Warplane shelling,3,6,55,3
Syrian government and affiliated militias,Damascus Suburbs,4/13/14,Warplane shelling,15,12,50,3
Armed opposition groups,Aleppo,4/27/14,Shooting,2,8,50,0
Syrian government and affiliated militias,Damascus Suburbs,4/6/14,Shooting,6,15,48,9
Armed opposition groups,Quneitra,10/23/14,Shooting,0,0,48,0
Armed opposition groups,Tartous,8/26/14,Shooting,0,0,46,0
Syrian government and affiliated militias,Aleppo,11/18/14,Warplane shelling,9,15,46,0
Syrian government and affiliated militias,Damascus Suburbs,3/19/14,Warplane shelling,3,9,45,9
Syrian government and affiliated militias,Aleppo,4/4/14,Warplane shelling,3,0,45,0
Armed opposition groups,Damascus,4/29/14,Shelling,2,34,44,0
Not identified,Idlib,9/15/14,Other,0,43,43,0
Syrian government and affiliated militias,Daraa,11/20/14,Shooting,3,9,42,18
Armed opposition groups,Aleppo,5/17/14,Shelling,8,18,42,0
Armed opposition groups,Unknown,5/8/14,Shooting,0,0,42,0
Armed opposition groups,Unknown,9/23/14,Shooting,0,0,42,0
Syrian government and affiliated militias,Damascus Suburbs,12/8/14,Warplane shelling,0,6,42,0
Syrian government and affiliated militias,Idlib,12/16/14,Shooting,9,0,40,6
Armed opposition groups,Homs,4/30/14,Explosion,4,14,40,0
Armed opposition groups,Unknown,8/3/14,Shooting,0,0,40,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2/13/14,Field Execution,0,3,39,28
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,5/30/14,Kidnapping - Execution,3,9,39,3
Syrian government and affiliated militias,Aleppo,11/30/14,Shelling,0,0,39,0
Syrian government and affiliated militias,Daraa,12/16/14,Field Execution,18,15,39,0
Armed opposition groups,Homs,7/19/14,Shooting,0,0,38,0
Armed opposition groups,Unknown,8/26/14,Shooting,0,0,38,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,5/16/14,Explosion,0,3,36,6
Syrian government and affiliated militias,Damascus Suburbs,6/28/14,Explosion,6,15,36,3
Armed opposition groups,Aleppo,4/17/14,Shelling,8,4,36,0
Armed opposition groups,Sweida,11/7/14,Shooting,0,0,36,0
Armed opposition groups,Unknown,8/1/14,Shooting,0,0,36,0
Armed opposition groups,Unknown,9/8/14,Shooting,0,0,36,0
Syrian government and affiliated militias,Aleppo,5/9/14,Warplane shelling,6,29,35,0
Armed opposition groups,Other Nationalities,9/16/14,Shooting,0,0,34,0
Armed opposition groups,Tartous,4/11/14,Shooting,0,0,34,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/6/14,Kidnapping - Execution,0,6,33,42
Not identified,Aleppo,1/15/14,Explosion,3,0,33,3
Syrian government and affiliated militias,Aleppo,3/24/14,Warplane shelling,0,6,33,0
Syrian government and affiliated militias,Aleppo,6/13/14,Warplane shelling,12,12,33,0
Syrian government and affiliated militias,Hama,3/21/14,Warplane shelling,15,15,33,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/13/14,Field Execution,0,0,32,30
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/26/14,Shooting,0,0,32,9
Armed opposition groups,Tartous,2/20/14,Shooting,0,0,32,0
Armed opposition groups,Unknown,11/26/14,Shooting,0,0,32,0
Syrian government and affiliated militias,Aleppo,3/9/14,Warplane shelling,0,3,31,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/9/14,Shooting,0,6,30,68
The organization of the Islamic State in Iraq and the Levant - ISIS,Idlib,1/6/14,Kidnapping - Torture - Execution,0,6,30,21
Syrian government and affiliated militias,Idlib,3/7/14,Warplane shelling,0,2,30,3
Armed opposition groups,Aleppo,2/6/14,Shooting,0,0,30,0
Armed opposition groups,Sweida,8/16/14,Shooting,0,0,30,0
Armed opposition groups,Unknown,10/7/14,Field Execution,0,0,30,0
Syrian government and affiliated militias,Damascus Suburbs,11/13/14,Warplane shelling,3,12,30,0
Syrian government and affiliated militias,Aleppo,4/24/14,Warplane shelling,0,14,29,0
Armed opposition groups,Aleppo,5/30/14,Shelling,6,10,28,0
Armed opposition groups,Idlib,6/30/14,Shelling,8,6,28,0
Armed opposition groups,Tartous,4/12/14,Shooting,0,0,28,0
Armed opposition groups,Tartous,8/2/14,Shooting,0,0,28,0
Armed opposition groups,Unknown,6/16/14,Shooting,0,0,28,0
Armed opposition groups,Unknown,11/16/14,Field Execution,0,0,28,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/12/14,Shooting,3,0,27,45
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/28/14,Shooting,0,0,27,21
Syrian government and affiliated militias,Damascus Suburbs,3/7/14,Warplane shelling,0,0,27,6
Syrian government and affiliated militias,Aleppo,4/2/14,Warplane shelling,0,0,27,0
Syrian government and affiliated militias,Damascus Suburbs,3/18/14,Other,0,15,27,0
Syrian government and affiliated militias,Deir Ezzor,8/26/14,Warplane shelling,0,0,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2/21/14,Kidnapping - Execution,12,0,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,5/16/14,Kidnapping - Execution,0,0,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/7/14,Shooting,3,0,26,30
Armed opposition groups,Hasakeh,6/14/14,Explosion,4,0,26,0
Syrian government and affiliated militias,Damascus Suburbs,4/4/14,Shooting,0,9,25,27
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,1/17/14,Shooting,3,0,24,42
Syrian government and affiliated militias,Damascus Suburbs,4/2/14,Shooting,3,6,24,36
The organization of the Islamic State in Iraq and the Levant - ISIS,Idlib,1/20/14,Explosion,0,0,24,19
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,9/20/14,Field Execution,0,0,24,9
