date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,45,2,186.43526517277485,13.885714285714284,8.850000000000001,0.0,37.0,52.0,54.0,62.0,61.0,47.473053855348105,8.322591105215116
2014-02-18,59,3,181.55742689909763,16.214285714285715,10.114285714285714,26.2,45.0,37.0,52.0,54.0,62.0,47.198041377430734,5.202723469649115
2014-02-25,54,1,263.39234797470596,17.228571428571428,12.750000000000002,7.1,59.0,45.0,37.0,52.0,54.0,46.92302889951336,-8.27611852489125
2014-03-04,34,2,277.10359385370367,17.085714285714285,15.857142857142856,7.1,54.0,59.0,45.0,37.0,52.0,46.648016421596,1.7931164036453093
2014-03-11,54,3,248.0147935228543,19.285714285714285,17.585714285714285,19.1,34.0,54.0,59.0,45.0,37.0,46.373003943678626,-7.410084565254033
2014-03-18,48,2,157.9262326871158,15.957142857142857,16.657142857142855,22.200000000000003,54.0,34.0,54.0,59.0,45.0,46.097991465761254,-0.6036701495379853
2014-03-25,76,4,257.817279482238,17.942857142857143,10.564285714285715,0.6,48.0,54.0,34.0,54.0,59.0,45.82297898784388,-2.4767429133091206
2014-04-01,45,2,329.26301704747834,16.585714285714285,14.578571428571431,0.0,76.0,48.0,54.0,34.0,54.0,45.54796650992652,11.291209963945384
2014-04-08,59,4,285.5165397063073,19.04285714285714,13.785714285714286,0.3,45.0,76.0,48.0,54.0,34.0,45.272954032009146,3.3091628411998952
2014-04-15,46,4,156.34774483563135,18.585714285714285,14.014285714285714,17.3,59.0,45.0,76.0,48.0,54.0,44.997941554091774,3.5835259748646613
2014-04-22,66,2,211.09091637462066,21.185714285714283,12.871428571428572,0.3,46.0,59.0,45.0,76.0,48.0,44.7229290761744,8.200837826478145
2014-04-29,45,3,144.51271436676396,22.142857142857142,12.978571428571428,0.3,66.0,46.0,59.0,45.0,76.0,44.44791659825704,10.151483011424963
2014-05-06,35,3,180.22726773569335,23.72857142857143,14.592857142857143,0.0,45.0,66.0,46.0,59.0,45.0,44.172904120339666,-0.21838462414104487
2014-05-13,42,3,230.27464388098664,20.785714285714285,14.242857142857144,26.9,35.0,45.0,66.0,46.0,59.0,43.897891642422294,-3.1715855930403833
2014-05-20,62,3,169.87459385935168,21.599999999999998,14.714285714285714,0.3,42.0,35.0,45.0,66.0,46.0,43.62287916450492,-8.08953015168331
2014-05-27,42,1,176.8631885734666,22.685714285714287,11.950000000000001,0.8,62.0,42.0,35.0,45.0,66.0,43.34786668658755,10.71047400762248
2014-06-03,49,2,232.11952042456713,24.128571428571433,15.85714285714286,0.3,42.0,62.0,42.0,35.0,45.0,43.072854208670186,-4.470291063840962
2014-06-10,41,2,398.12420355153574,25.38571428571429,17.45,0.0,49.0,42.0,62.0,42.0,35.0,42.797841730752815,2.5668925826443156
2014-06-17,37,3,208.4436685556848,24.82857142857143,13.092857142857143,0.0,41.0,49.0,42.0,62.0,42.0,42.52282925283544,0.8668967419501098
2014-06-24,44,1,151.8944665570957,25.985714285714284,16.885714285714283,0.0,37.0,41.0,49.0,42.0,62.0,42.24781677491807,-11.12156063720564
2014-07-01,48,2,162.8816983486657,26.91428571428571,15.285714285714286,0.0,44.0,37.0,41.0,49.0,42.0,41.97280429700071,-7.097197503540879
2014-07-08,40,1,141.9443609098556,27.314285714285713,16.428571428571427,0.0,48.0,44.0,37.0,41.0,49.0,41.697791819083335,-6.069629241670986
2014-07-15,39,2,140.420895478268,27.871428571428574,16.885714285714283,0.0,40.0,48.0,44.0,37.0,41.0,41.42277934116596,-10.446747340780682
2014-07-22,35,3,147.52670643127001,28.028571428571432,19.657142857142855,0.0,39.0,40.0,48.0,44.0,37.0,41.14776686324859,-15.59456824764069
2014-07-29,29,2,294.0767818932507,27.942857142857147,18.15,0.0,35.0,39.0,40.0,48.0,44.0,40.87275438533122,-10.380209667321212
2014-08-05,30,3,140.30938835006742,28.028571428571432,19.064285714285717,0.0,29.0,35.0,39.0,40.0,48.0,40.597741907413855,-2.7748254459760924
