date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,62,2,159.9861127665467,13.885714285714284,8.850000000000001,0.0,67.0,51.0,69.0,21.0,45.0,70.65280441192888,19.41111720868989
2014-02-18,106,3,163.489738777563,16.214285714285715,10.114285714285714,26.2,62.0,67.0,51.0,69.0,21.0,70.58741273666996,9.000222126083893
2014-02-25,60,1,246.2899429166637,17.228571428571428,12.750000000000002,7.1,106.0,62.0,67.0,51.0,69.0,70.52202106141105,37.028429607580456
2014-03-04,49,2,264.1132733307715,17.085714285714285,15.857142857142856,7.1,60.0,106.0,62.0,67.0,51.0,70.45662938615213,7.841893499333433
2014-03-11,82,3,231.33095211468572,19.285714285714285,17.585714285714285,19.1,49.0,60.0,106.0,62.0,67.0,70.39123771089322,21.398947134676146
2014-03-18,106,2,144.4066846600613,15.957142857142857,16.657142857142855,22.200000000000003,82.0,49.0,60.0,106.0,62.0,70.3258460356343,15.206000770018855
2014-03-25,61,4,244.87548637546078,17.942857142857143,10.564285714285715,0.6,106.0,82.0,49.0,60.0,106.0,70.26045436037538,21.038695431002594
2014-04-01,89,2,316.91085895810045,16.585714285714285,14.578571428571431,0.0,61.0,106.0,82.0,49.0,60.0,70.19506268511647,4.502800348396595
2014-04-08,80,4,278.3157747216301,19.04285714285714,13.785714285714286,0.3,89.0,61.0,106.0,82.0,49.0,70.12967100985755,10.156007829893161
2014-04-15,68,4,150.5467487191338,18.585714285714285,14.014285714285714,17.3,80.0,89.0,61.0,106.0,82.0,70.06427933459864,-0.7324513552769455
2014-04-22,70,2,203.56956705566634,21.185714285714283,12.871428571428572,0.3,68.0,80.0,89.0,61.0,106.0,69.99888765933972,7.6451151005785976
2014-04-29,58,3,134.50350458080396,22.142857142857142,12.978571428571428,0.3,70.0,68.0,80.0,89.0,61.0,69.93349598408079,11.484220017972598
2014-05-06,65,3,171.14750310169006,23.72857142857143,14.592857142857143,0.0,58.0,70.0,68.0,80.0,89.0,69.86810430882188,-5.31449557745393
2014-05-13,114,3,224.5389332868084,20.785714285714285,14.242857142857144,26.9,65.0,58.0,70.0,68.0,80.0,69.80271263356296,3.242558057888786
2014-05-20,94,3,155.38830661683824,21.599999999999998,14.714285714285714,0.3,114.0,65.0,58.0,70.0,68.0,69.73732095830405,16.796406565026373
2014-05-27,103,1,158.32790812801647,22.685714285714287,11.950000000000001,0.8,94.0,114.0,65.0,58.0,70.0,69.67192928304513,9.802178149087046
2014-06-03,95,2,221.72564598648083,24.128571428571433,15.85714285714286,0.3,103.0,94.0,114.0,65.0,58.0,69.60653760778622,19.08359075878873
2014-06-10,114,2,388.95717699631183,25.38571428571429,17.45,0.0,95.0,103.0,94.0,114.0,65.0,69.5411459325273,5.230387983875043
2014-06-17,67,3,203.91777922854143,24.82857142857143,13.092857142857143,0.0,114.0,95.0,103.0,94.0,114.0,69.47575425726838,20.761800593576737
2014-06-24,51,1,151.38852626192016,25.985714285714284,16.885714285714283,0.0,67.0,114.0,95.0,103.0,94.0,69.41036258200947,2.2130849981502174
2014-07-01,58,2,156.57328905189775,26.91428571428571,15.285714285714286,0.0,51.0,67.0,114.0,95.0,103.0,69.34497090675055,-2.6849895716352754
2014-07-08,86,1,142.20932151761502,27.314285714285713,16.428571428571427,0.0,58.0,51.0,67.0,114.0,95.0,69.27957923149164,-11.724089782446407
2014-07-15,50,2,138.5196039382167,27.871428571428574,16.885714285714283,0.0,86.0,58.0,51.0,67.0,114.0,69.21418755623272,-8.9531651906604
2014-07-22,44,3,139.80512555796142,28.028571428571432,19.657142857142855,0.0,50.0,86.0,58.0,51.0,67.0,69.1487958809738,-32.22793905577192
2014-07-29,38,2,287.70612039690474,27.942857142857147,18.15,0.0,44.0,50.0,86.0,58.0,51.0,69.08340420571488,-24.8841231772937
2014-08-05,39,3,138.60799647929295,28.028571428571432,19.064285714285717,0.0,38.0,44.0,50.0,86.0,58.0,69.01801253045596,-31.822358580866766
2014-08-12,39,1,138.72947912932148,28.400000000000006,16.55,0.0,39.0,38.0,44.0,50.0,86.0,68.87500000000001,-20.72831010963056
2014-08-19,60,4,152.1570146606666,28.657142857142862,16.435714285714287,0.0,39.0,39.0,38.0,44.0,50.0,69.22115384615385,-26.685137610084794
2014-08-26,68,2,140.35075927291882,28.500000000000004,11.714285714285712,0.0,60.0,39.0,39.0,38.0,44.0,69.05769230769232,-11.273375366949296
2014-09-02,78,1,140.51583307609846,29.442857142857143,14.014285714285714,0.0,68.0,60.0,39.0,39.0,38.0,69.00961538461542,-22.496228508429184
2014-09-09,61,2,210.15648967129673,28.571428571428577,11.6,0.0,78.0,68.0,60.0,39.0,39.0,69.69230769230772,-14.203056008883417
2014-09-16,62,2,127.68577111437149,28.1,15.164285714285716,0.0,61.0,78.0,68.0,60.0,39.0,70.35576923076924,-7.77206299651714
2014-09-23,51,1,158.59826831992697,27.7,14.235714285714286,0.0,62.0,61.0,78.0,68.0,60.0,70.14423076923077,-23.078249471330352
2014-09-30,52,1,251.96159610520382,26.599999999999998,22.300000000000004,16.0,51.0,62.0,61.0,78.0,68.0,69.93269230769232,-11.813923125630746
2014-10-07,16,3,120.26244551510352,25.342857142857138,13.192857142857141,8.9,52.0,51.0,62.0,61.0,78.0,69.81730769230771,-19.24190447223884
2014-10-14,63,1,141.70898315820412,25.171428571428574,10.678571428571429,5.8,16.0,52.0,51.0,62.0,61.0,69.37500000000001,-15.548090947052055
2014-10-21,64,2,241.26947943879506,22.7,15.971428571428572,29.800000000000004,63.0,16.0,52.0,51.0,62.0,69.18269230769232,2.0463636037757595
2014-10-28,75,1,121.2296599827298,23.22857142857143,10.571428571428571,0.0,64.0,63.0,16.0,52.0,51.0,69.27884615384616,3.5190232828087082
2014-11-04,50,1,234.01050395106336,21.828571428571426,11.95,16.5,75.0,64.0,63.0,16.0,52.0,69.32692307692307,5.334631679790363
2014-11-11,73,2,237.09754485573674,20.628571428571426,8.735714285714286,0.0,50.0,75.0,64.0,63.0,16.0,69.25961538461537,-3.1927086411766936
2014-11-18,88,3,176.18147371500538,20.400000000000002,11.714285714285714,46.3,73.0,50.0,75.0,64.0,63.0,68.6923076923077,12.103668986574192
2014-11-25,51,1,261.91475983677117,18.185714285714287,17.928571428571427,37.9,88.0,73.0,50.0,75.0,64.0,67.84615384615387,3.855174819453277
2014-12-02,67,3,134.393734517519,17.7,12.985714285714286,19.3,51.0,88.0,73.0,50.0,75.0,67.26923076923079,-2.765114219462504
2014-12-09,68,1,167.50560593542014,20.4,9.428571428571429,13.0,67.0,51.0,88.0,73.0,50.0,66.78846153846153,3.6979300749550625
2014-12-16,74,2,261.457238154341,18.414285714285715,13.664285714285715,6.699999999999999,68.0,67.0,51.0,88.0,73.0,66.36538461538461,10.266743600141842
2014-12-23,56,2,491.394636770253,17.014285714285712,10.571428571428571,17.0,74.0,68.0,67.0,51.0,88.0,66.29807692307693,19.710557125328624
2014-12-30,64,4,319.498671941728,16.75714285714286,14.592857142857143,3.0,56.0,74.0,68.0,67.0,51.0,66.6826923076923,-3.7462703751256092
2015-01-06,64,2,236.8490643520759,14.914285714285715,18.949999999999996,34.6,64.0,56.0,74.0,68.0,67.0,66.9230769230769,-10.87296967045163
2015-01-13,64,1,511.77608075477957,10.157142857142857,15.52142857142857,17.8,64.0,64.0,56.0,74.0,68.0,66.60576923076924,-13.7526915770774
2015-01-20,85,1,378.4098319062546,14.357142857142856,10.335714285714287,16.3,64.0,64.0,64.0,56.0,74.0,66.11538461538461,-7.459422346308159
2015-01-27,95,1,342.04500762797335,16.614285714285714,8.735714285714286,0.0,85.0,64.0,64.0,64.0,56.0,65.86538461538463,15.079039192153367
2015-02-03,102,2,238.2593286643031,15.957142857142857,14.82142857142857,16.0,95.0,85.0,64.0,64.0,64.0,65.76923076923077,15.51653919215336
2015-02-10,63,3,328.2137698966276,16.842857142857145,19.764285714285712,9.399999999999999,102.0,95.0,85.0,64.0,64.0,65.77884615384616,19.41111720868989
2015-02-17,88,1,137.89196640059237,12.371428571428572,22.071428571428573,41.199999999999996,63.0,102.0,95.0,85.0,64.0,65.89423076923077,9.000222126083893
2015-02-24,73,2,434.52163652403084,11.828571428571431,17.571428571428573,22.0,88.0,63.0,102.0,95.0,85.0,66.00961538461539,37.028429607580456
2015-03-03,107,2,529.2205090613355,16.928571428571427,14.578571428571431,4.8,73.0,88.0,63.0,102.0,95.0,65.77884615384616,7.841893499333433
2015-03-10,93,1,668.8810772298386,18.342857142857145,9.421428571428573,0.3,107.0,73.0,88.0,63.0,102.0,65.1923076923077,21.398947134676146
2015-03-17,73,1,278.0753279508005,16.52857142857143,14.585714285714287,6.3,93.0,107.0,73.0,88.0,63.0,65.00000000000001,15.206000770018855
2015-03-24,72,3,287.2448691716446,16.285714285714285,20.45714285714286,6.6,73.0,93.0,107.0,73.0,88.0,65.09615384615385,21.038695431002594
2015-03-31,66,2,392.81157270007253,18.814285714285717,12.757142857142856,2.6,72.0,73.0,93.0,107.0,73.0,65.25961538461539,4.502800348396595
2015-04-07,57,1,249.7901100494518,18.32857142857143,15.171428571428574,0.0,66.0,72.0,73.0,93.0,107.0,65.39423076923077,10.156007829893161
2015-04-14,71,1,333.07868317493063,16.52857142857143,18.949999999999996,27.800000000000004,57.0,66.0,72.0,73.0,93.0,65.8076923076923,-0.7324513552769455
2015-04-21,77,2,235.05837567690278,18.885714285714283,15.75,0.6,71.0,57.0,66.0,72.0,73.0,66.31730769230771,7.6451151005785976
2015-04-28,56,3,332.6924391872425,19.428571428571427,19.29285714285714,1.3,77.0,71.0,57.0,66.0,72.0,66.38461538461539,11.484220017972598
2015-05-05,60,3,144.99572085524701,21.04285714285714,14.242857142857144,0.6,56.0,77.0,71.0,57.0,66.0,66.29807692307693,-5.31449557745393
2015-05-12,60,3,251.63810573525058,21.814285714285717,12.064285714285715,2.3,60.0,56.0,77.0,71.0,57.0,66.5,3.242558057888786
