lag_nb,lb,p-values,bpvalue,bpp-values
0,30.477580896763076,3.3774715219427685e-08,29.88769223424508,4.5780972823498834e-08
1,54.90175409074068,1.197389859321122e-12,53.681564184507145,2.203923153114754e-12
2,70.68786717510488,3.040574496850845e-15,68.95844781453702,7.13285557287707e-15
3,76.54689862350934,9.378884912432164e-16,74.59067804558389,2.4321254950772563e-15
4,83.15402447505963,1.8346310440364444e-16,80.8994175683545,5.440699694847437e-16
5,88.82608865421402,5.3113105263108806e-17,86.27873004793962,1.7933160617335314e-16
6,91.59745307890836,5.810973955911798e-17,88.88917653829687,2.0916391368398656e-16
7,94.93103750454702,4.6205791525556623e-17,92.00769100099109,1.8181526181186096e-16
8,97.31340586980244,5.4919462373178806e-17,94.22098806290582,2.3078354794740934e-16
9,108.45929464279338,1.0907260240438434e-18,104.50396931798778,6.812785393777609e-18
10,108.97552673430815,2.933860446254376e-18,104.97690452440776,1.8369624644266268e-17
11,108.999057298265,9.43802390689626e-18,104.998309747104,5.808095670572952e-17
12,109.85194344844624,1.9970943630136e-17,105.76865852791285,1.2542466678142956e-16
13,110.0632818887196,5.4388110904540426e-17,105.95818138725475,3.3872024848480416e-16
14,110.93211221765223,1.0677005959709745e-16,106.73172064785284,6.819661106722154e-16
15,110.95441899385887,2.9530290865467958e-16,106.7514369597258,1.8531146751221482e-15
16,111.99027814082828,5.089603076555009e-16,107.66031982416348,3.319512690944054e-15
17,116.9463759481695,1.5781319206773727e-16,111.97692114023488,1.3468266027961812e-15
18,121.30074682128394,6.333244375150743e-17,115.74134499183057,6.90104734711769e-16
19,124.22714448259623,4.677225808832393e-17,118.25238298508563,6.002160726502395e-16
20,131.91054620007878,4.475331808807321e-18,124.79566702836108,9.35534458183615e-17
21,144.75603005090906,4.639066582885053e-20,135.6521727345467,2.3213196322773497e-18
22,156.45820106469847,7.798428652231512e-22,145.46689681062816,8.943834842958643e-20
23,164.34099290319998,6.855339056578033e-23,152.02741388912293,1.3903315893189676e-20
24,170.14411013031986,1.4865573850646087e-23,156.81966553474453,4.611932556019768e-21
25,171.84151257970606,1.8981794539819135e-23,158.21044044488676,6.508719622876309e-21
26,175.84287854263127,8.91107095494978e-24,161.4631637437808,4.126299079835525e-21
27,181.8662171076911,1.7516884300339876e-24,166.3206948446355,1.322109089702598e-21
28,187.14890770147656,4.73219252977613e-25,170.54684731966387,5.526995806860189e-22
29,187.36510713803997,1.1126626282529918e-24,170.71841203384,1.2668070107551704e-21
30,187.46125445468837,2.7087399175752152e-24,170.79408927662132,2.973201188914552e-21
31,188.69460674438787,4.019045136977436e-24,171.75689977374154,4.757113281884125e-21
32,188.69676157028158,9.888424717438409e-24,171.75856802604636,1.1177255166849109e-20
33,188.7427060634975,2.3520764534289444e-23,171.7938415401928,2.5504096161120105e-20
34,188.97296923860176,5.107381541096861e-23,171.96913866704634,5.4170602213311376e-20
35,189.92019181782422,8.146611622653905e-23,172.68413893652394,9.132162596700256e-20
36,190.57452102958922,1.4507704255098241e-22,173.1738304756513,1.667352083401691e-19
37,191.39141473663838,2.3924718212238894e-22,173.779912903462,2.874147269185878e-19
38,192.45139643749238,3.541382020780861e-22,174.559512347961,4.578670497649179e-19
39,198.10709937304028,8.114610587473042e-23,178.68270223000562,1.9350013798548427e-19
