lag_nb,lb,p-values,bpvalue,bpp-values
0,32.933726295885926,9.535460328282806e-09,32.29216019921282,1.3264745195274608e-08
1,57.90933624893732,2.661628316199189e-13,56.619053010626516,5.073747536382257e-13
2,75.64347201428191,2.6374615429640943e-16,73.77740514722616,6.623889310283717e-16
3,97.83389593240976,2.843724047070717e-20,95.10326709451786,1.0834073847580423e-19
4,111.09180547502146,2.4084470448628443e-22,107.75854438519266,1.2191565210045927e-21
5,123.30158640342752,3.298636728361704e-24,119.33405097965554,2.2487100951768552e-23
6,128.79375945185043,1.1227890420653976e-24,124.50525287589791,8.817644780495783e-24
7,133.89467096362955,4.403444650956187e-25,129.2749363674316,3.998654065588738e-24
8,138.3217474104755,2.290307257113386e-25,133.3857930680743,2.3840768965095554e-24
9,142.42535658385864,1.3411523566416729e-25,137.1696404876873,1.6009807458214287e-24
10,145.18244008922784,1.4339685058863738e-25,139.69398317766823,1.8798526410792986e-24
11,146.16776970248532,3.3909558715640193e-25,140.58973737153863,4.553179839971669e-24
12,146.2938609461162,1.1481353403043414e-24,140.70354700053016,1.5212828154924535e-23
13,146.37682897631683,3.8070263579255096e-24,140.777894975645,4.9687618400345303e-23
14,146.42458137727434,1.2351890774996763e-23,140.82037600766566,1.5854014445782123e-22
15,147.2519264303472,2.7174501262805145e-23,141.5510183921975,3.5796806324419033e-22
16,147.2579346152697,8.413052179452784e-23,141.55628530755166,1.087308470221683e-21
17,147.25826288002088,2.5311894389224193e-22,141.55657094051696,3.2084906698144977e-21
18,147.26634237844218,7.369914088515357e-22,141.56354868915352,9.167013606660603e-21
19,148.5561765608809,1.1874813424784802e-21,142.6691208455296,1.575186735381777e-20
20,148.55821431686488,3.2989288971807386e-21,142.67085426133414,4.2905124534402433e-20
21,149.58006907140268,5.742644930406134e-21,143.53345892425565,7.864043478828355e-20
22,151.31905883175088,7.209003729075573e-21,144.9901451520798,1.097265657011104e-19
23,152.78458507632584,1.0048078844387459e-20,146.2082448878304,1.671539179934618e-19
24,152.81512244864365,2.5477665243464933e-20,146.23342830526133,4.1575225316747913e-19
25,152.9934151239041,5.945323884203504e-20,146.37930413047442,9.630087399366208e-19
26,154.14761240794996,9.037916296291263e-20,147.31615257531683,1.5746931324580469e-18
27,156.9834189796151,6.718635826953462e-20,149.5995292953589,1.4547539586177238e-18
28,157.0652038884577,1.563200823609222e-19,149.66485100826563,3.329181536790208e-18
29,157.06762896943297,3.693572309899835e-19,149.66677217631099,7.683802174515485e-18
30,157.53050199770234,7.10549096537944e-19,150.03045812709405,1.5057941632788557e-17
31,157.60895072394177,1.576069369619475e-18,150.09158700468322,3.28497813287571e-17
32,157.61472860341917,3.54415537220409e-18,150.09605172973392,7.216064613650194e-17
33,157.6824560403444,7.654952729666584e-18,150.1479467788065,1.531738501794495e-16
34,160.00191314559507,6.653538097865458e-18,151.91013172240605,1.6371764001850395e-16
35,164.7002767989827,2.2375324351407247e-18,155.44915888989286,8.676464019882538e-17
36,165.91470165874546,3.0029071844547187e-18,156.35603459685854,1.2855413429775026e-16
37,165.99931272791008,6.239163159372129e-18,156.41866876494146,2.6179495283486544e-16
38,166.34032372861412,1.1577488780365778e-17,156.6688911226009,4.896683505003263e-16
39,171.82559723790644,2.8663303663555215e-18,160.65818094754076,2.1682720789525195e-16
