lag_nb,lb,p-values,bpvalue,bpp-values
0,46.96576851872117,7.223744654550051e-12,46.050850950174656,1.1522308842693456e-11
1,76.57492752622868,2.3548636266430266e-17,74.8909408925521,5.465612185299151e-17
2,88.95616217319998,3.6706691271477794e-19,86.87018740163472,1.0296027206416288e-18
3,99.38557145221687,1.329362814874247e-20,96.89325605939119,4.508514393322302e-20
4,101.38864035084208,2.6935502727875818e-20,98.80527637171527,9.436571624382336e-20
5,102.70297931849224,6.844124945213221e-20,100.05133799039658,2.4481735032500725e-19
6,104.19671517916093,1.463483426877058e-19,101.45777759946776,5.392452527971149e-19
7,105.10979367628205,3.840646106781285e-19,102.31156528508751,1.4373642661132227e-18
8,105.59245595916039,1.1575639992851562e-18,102.75975169061739,4.34650440154449e-18
9,105.74008444526672,3.845298582219268e-18,102.89587665832583,1.4325754844117625e-17
10,106.09545014806196,1.1003065480045633e-17,103.22124395763834,4.102414438766622e-17
11,106.14930521156288,3.4458665678694005e-17,103.27020310627556,1.270524674756678e-16
12,107.97744203968688,4.6465929964595176e-17,104.92027465893294,1.8355250780859037e-16
13,108.516503470957,1.0844965228227908e-16,105.40332970773343,4.3343470168406284e-16
14,110.99044724108464,1.0404884816606454e-16,107.60417578895087,4.643301478298191e-16
15,112.92671596066161,1.2431032725808006e-16,109.3141273854604,6.054448756143305e-16
16,125.5684006945857,1.3306929319760424e-18,120.39612374312112,1.2961422373537483e-17
17,134.86476803259185,6.22033105188159e-20,128.48517064761998,1.0317294291948173e-18
18,145.3800258022806,1.6989985599884703e-21,137.566529630533,5.322380437155102e-20
19,153.63586980544153,1.2620929549476925e-22,144.64296734752807,6.6312794416501e-21
20,168.28511019506232,5.5204661654184225e-25,157.10433417246526,7.763128788222172e-23
21,174.41050281016936,1.0594781821846029e-25,162.2751201462569,2.2446754135382654e-23
22,179.90480777699253,2.6852158507762007e-26,166.87749248859578,8.306677135717575e-24
23,186.15652543456062,4.8610452431434546e-27,172.0737253468342,2.363887205015099e-24
24,193.8435508219302,4.668914653724185e-28,178.41302550395068,4.079214901614857e-25
25,198.9086199108015,1.4251705343166004e-28,182.5571729402999,1.831095802360819e-25
26,205.59002279915057,2.1324044589501767e-29,187.98038957045338,4.700647954922436e-26
27,214.7280668074871,1.0832046386224802e-30,195.3382951356075,5.2078672458042415e-27
28,223.5767626261618,6.253337648701629e-32,202.40575997779575,6.549687284819888e-28
29,232.80438433566107,3.057053399173769e-33,209.71595379960684,7.418088258167115e-29
30,238.65598795449097,6.609117495558168e-34,214.3136423572589,2.724349804608454e-29
31,239.71388388454264,1.1687622090418739e-33,215.13797684820824,5.089426821545342e-29
32,240.15288330199436,2.6749440185131187e-33,215.47720367078458,1.156100405978067e-28
33,241.11663128215739,4.8077391184801746e-33,216.2156599153251,2.183851634440958e-28
34,242.25278936358484,7.92905490649436e-33,217.07884495121476,3.8659812575945836e-28
35,244.00416877712385,9.92789584717818e-33,218.39806580816622,5.5816124632244815e-28
36,244.08950576588262,2.5209808183394143e-32,218.46179148158998,1.3549763097875665e-27
37,246.1201756813757,2.75067242947906e-32,219.96501466578616,1.7758506297668518e-27
38,248.2275193379098,2.8859047813197166e-32,221.51131228389232,2.2687759835744254e-27
39,250.79615967510207,2.473901868511413e-32,223.3794143473049,2.517548878450077e-27
