lag_nb,lb,p-values,bpvalue,bpp-values
0,44.293026240894285,2.82721593559293e-11,43.43017508035738,4.393604139413757e-11
1,66.56874292385315,3.5057515963768817e-15,65.12730171960303,7.207524394392632e-15
2,79.6275579048721,3.689114351854591e-17,77.76212920123824,9.26772825749985e-17
3,93.9189077742257,1.9348287533943962e-19,91.49667323152612,6.331637084192139e-19
4,108.96455621899064,6.7810208183092325e-22,105.85842856516535,3.071071327113116e-21
5,112.42669478286174,6.323402018455812e-22,109.14071577506915,3.0845491835192825e-21
6,117.69671982222901,2.310813967819064e-22,114.10275233810977,1.2915171489882868e-21
7,122.70272936088044,9.165709384657498e-23,118.7836963223033,5.910072503470206e-22
8,135.86579973065065,7.351409856293e-25,131.00654737994708,7.362612263177214e-24
9,139.54780131813348,5.216642863381759e-25,134.40163975282084,5.896208919436088e-24
10,142.03071186389835,6.290042438529676e-25,136.67495395381334,7.720377103136559e-24
11,145.83456716818378,3.960874808383236e-25,140.13300423043648,5.6303087219095535e-24
12,147.25059234488793,7.372067802133518e-25,141.41110487694215,1.0974099539076433e-23
13,147.72098260315272,2.05203059471859e-24,141.8326234200626,3.0646130249997256e-23
14,147.73233403143104,6.79979778448773e-24,141.84272176859588,9.959830130328966e-23
15,148.01144518217092,1.9259617497203453e-23,142.08920953808047,2.8076287986030644e-22
16,149.83258257614298,2.6394521906508528e-23,143.68566114967936,4.186584571388046e-22
17,154.14969887517287,1.157408526082433e-23,147.4421129942898,2.3317029516481355e-22
18,157.55258651454668,7.577085373521796e-24,150.3809705010217,1.8503551906814282e-22
19,159.09274561488192,1.1237106903314357e-23,151.70110687273763,2.9675433572421543e-22
20,163.56519363337316,4.4778868059667234e-24,155.50559187548015,1.5688959209815325e-22
21,164.3894070413143,8.86135517202468e-24,156.20135644062526,3.2113617978777904e-22
22,164.73403531226424,2.1218338322161152e-23,156.4900385636937,7.691450633387344e-22
23,165.02749326752215,5.0886324843312675e-23,156.73395166936263,1.8392133124349757e-21
24,165.0298283696043,1.356288081769305e-22,156.7358773704304,4.780206987965346e-21
25,165.63794995178546,2.7313179628284303e-22,157.23343139221498,9.859028967281847e-21
26,165.6720499404334,6.908099364144517e-22,157.2611099544292,2.437437743304512e-20
27,167.57053036608832,7.790330670652865e-22,158.7897565309306,3.152731656014862e-20
28,167.67307121327147,1.854574869886653e-21,158.8716560387457,7.375768927950211e-20
29,168.45526619503661,3.266743222138673e-21,159.49131699832586,1.3579234647811618e-19
30,170.05776492279875,4.039057837096608e-21,160.75042314156752,1.896384385666793e-19
31,170.84056932928075,6.949468825364995e-21,161.3604006011639,3.4191421592790416e-19
32,170.8964182582782,1.5927258730886225e-20,161.40355659175285,7.660963397319104e-19
33,171.89084844159703,2.451396399997587e-20,162.16552257637377,1.2656834245616716e-18
34,171.8924531602298,5.588098042318163e-20,162.1667417457246,2.8042831761012744e-18
35,172.16479529020899,1.1256940711544124e-19,162.37188257090375,5.647000693551481e-18
36,172.62005508972305,2.0810204356590929e-19,162.71184930430712,1.0643633181123803e-17
37,174.06646104771605,2.564395434119446e-19,163.78256540308118,1.4892302667342295e-17
38,179.43295628852968,6.617087276232718e-20,167.7203184044574,6.750713345401251e-18
39,180.91654043995402,7.993403618855479e-20,168.79928869640236,9.332298670476153e-18
