lag_nb,lb,p-values,bpvalue,bpp-values
0,57.05563749099788,4.2365521577899044e-14,55.2151330558044,1.0803377659246589e-13
1,100.85946103103524,1.2550074770206585e-22,97.13492117476487,8.080158256054608e-22
2,133.99828923815554,7.435949111847394e-29,128.49209195139485,1.1429213405336276e-27
3,162.80154385073791,3.664588465552349e-34,155.43707207284288,1.3910593718170326e-32
4,187.9986251865407,1.046115689476341e-38,178.73759889949923,9.954856035624331e-37
5,205.63284555007587,1.1993263009820557e-41,194.85489708122492,2.3607173828522843e-39
6,217.46698742161564,2.2750100282498484e-43,205.5437994168092,7.681218598008316e-41
7,228.61655719511853,5.8086355842553e-45,215.494490720043,3.444929008326593e-42
8,237.68218002265493,3.958946606355122e-46,223.487835578731,3.864253213348532e-43
9,243.32533180526636,1.3721100640856642e-46,228.40283874423127,1.8568311518793564e-43
10,248.6366545666983,5.39095864572259e-47,232.97171853901145,1.0166320420460338e-43
11,253.13577752779233,3.0343170875031283e-47,236.79355417262894,7.709470445967976e-44
12,256.3503193819114,3.067809727568736e-47,239.48962153414817,9.70336494389347e-44
13,258.90287336578035,4.1276867991926975e-47,241.60302644552348,1.5617149500814132e-43
14,260.8571421550947,7.168063474416866e-47,243.2000633056084,3.1143142338936027e-43
15,265.87386212133447,2.835420266149704e-47,247.24580521386625,1.8993856752351046e-43
16,273.9605961627863,2.5835532099431686e-48,253.68041079523655,3.693831974381887e-44
17,281.66491342950536,2.7960661830804298e-49,259.7278856390053,8.522712541660374e-45
18,286.3993210142631,1.214637662294886e-49,263.39323344655963,5.93463636537798e-45
19,291.62550759754214,4.132240044318612e-50,267.3831178273426,3.49692535425741e-45
20,296.5445962332721,1.6048666488127382e-50,271.0856576606877,2.3237587940541e-45
21,300.9825467420101,7.717307496472621e-51,274.37833061878365,1.843076594837312e-45
22,303.3542706188112,9.605563602628284e-51,276.11249431364894,2.965344905713616e-45
23,304.42078060788145,2.157449737713084e-50,276.88084021975334,7.319683431481969e-45
24,304.8312400202425,6.4442915636682195e-50,277.17213399626763,2.2065044746445834e-44
25,304.9208720224978,2.1885975671698997e-49,277.23478001934933,7.239572912012127e-44
26,304.93980073676715,7.528491714118524e-49,277.2478062313196,2.3820559600426302e-43
27,304.99345542319315,2.5005183879156704e-48,277.2841529543824,7.608081747193728e-43
28,304.9935971262825,8.35586464125505e-48,277.28424742310864,2.42511491087441e-42
29,305.10874208907467,2.6032029202496913e-47,277.3597726137573,7.340131805908432e-42
30,305.46245446267545,7.157911803583643e-47,277.58797414511264,2.0398415501182045e-41
31,305.9091209668467,1.858252871205764e-46,277.8713432176514,5.443927398161187e-41
32,307.8850835631285,2.3891255758883024e-46,279.1036639766228,9.38309156694701e-41
33,309.43643036971866,3.679841424546478e-46,280.0544894387264,1.8112289350355515e-40
34,311.1772713898246,5.152518652240834e-46,281.1027377949193,3.309177596477787e-40
35,312.58815687708244,8.27816484707502e-46,281.9371324379212,6.568693113133727e-40
36,314.02378906627524,1.3021716365004192e-45,282.7707253219686,1.2894491387776146e-39
37,314.80310351496564,2.7135725732363426e-45,283.2148507604696,2.967722879243729e-39
38,315.8661824203786,4.933132662860127e-45,283.8092604710231,6.321571293243381e-39
39,316.7042533337465,9.80385786424293e-45,284.2688477460958,1.411826715095344e-38
