date,nb_civilians,civ_quantile_label
2014-01-07,355,3
2014-01-14,416,3
2014-01-21,370,3
2014-01-28,298,2
2014-02-04,201,1
2014-02-11,269,2
2014-02-18,389,3
2014-02-25,197,1
2014-03-04,231,2
2014-03-11,396,3
2014-03-18,284,2
2014-03-25,498,4
2014-04-01,249,2
2014-04-08,609,4
2014-04-15,563,4
2014-04-22,308,2
2014-04-29,445,3
2014-05-06,320,3
2014-05-13,361,3
2014-05-20,323,3
2014-05-27,196,1
2014-06-03,307,2
2014-06-10,226,2
2014-06-17,393,3
2014-06-24,211,1
2014-07-01,311,2
2014-07-08,123,1
2014-07-15,245,2
2014-07-22,318,3
2014-07-29,299,2
2014-08-05,355,3
2014-08-12,140,1
2014-08-19,532,4
2014-08-26,299,2
2014-09-02,199,1
2014-09-09,247,2
2014-09-16,215,2
2014-09-23,191,1
2014-09-30,104,1
2014-10-07,381,3
2014-10-14,148,1
2014-10-21,268,2
2014-10-28,197,1
2014-11-04,165,1
2014-11-11,310,2
2014-11-18,330,3
2014-11-25,151,1
2014-12-02,416,3
2014-12-09,205,1
2014-12-16,288,2
2014-12-23,246,2
2014-12-30,616,4
2015-01-06,236,2
2015-01-13,97,1
2015-01-20,123,1
2015-01-27,133,1
2015-02-03,236,2
2015-02-10,394,3
2015-02-17,193,1
2015-02-24,241,2
2015-03-03,231,2
2015-03-10,171,1
2015-03-17,94,1
2015-03-24,409,3
2015-03-31,314,2
2015-04-07,211,1
2015-04-14,201,1
2015-04-21,270,2
2015-04-28,331,3
2015-05-05,327,3
2015-05-12,335,3
2015-05-19,173,1
2015-05-26,417,3
2015-06-02,185,1
2015-06-09,262,2
2015-06-16,352,3
2015-06-23,171,1
2015-06-30,1004,4
2015-07-07,200,1
2015-07-14,194,1
2015-07-21,130,1
2015-07-28,272,2
2015-08-04,375,3
2015-08-11,257,2
2015-08-18,467,3
2015-08-25,220,2
2015-09-01,180,1
2015-09-08,115,1
2015-09-15,123,1
2015-09-22,223,2
2015-09-29,64,1
2015-10-06,255,2
2015-10-13,299,2
2015-10-20,440,3
2015-10-27,259,2
2015-11-03,438,3
2015-11-10,496,4
2015-11-17,369,3
2015-11-24,364,3
2015-12-01,343,3
2015-12-08,310,2
2015-12-15,488,4
2015-12-22,377,3
2015-12-29,275,2
2016-01-05,130,1
2016-01-12,446,3
2016-01-19,202,1
2016-01-26,302,2
2016-02-02,344,3
2016-02-09,317,3
2016-02-16,266,2
2016-02-23,218,2
2016-03-01,337,3
2016-03-08,126,1
2016-03-15,140,1
2016-03-22,85,1
2016-03-29,121,1
2016-04-05,44,1
2016-04-12,149,1
2016-04-19,582,4
2016-04-26,524,4
2016-05-03,659,4
2016-05-10,376,3
2016-05-17,387,3
2016-05-24,482,4
2016-05-31,489,4
2016-06-07,1086,4
2016-06-14,660,4
2016-06-21,780,4
2016-06-28,696,4
2016-07-05,708,4
2016-07-12,775,4
2016-07-19,1586,4
2016-07-26,1061,4
2016-08-02,961,4
2016-08-09,782,4
2016-08-16,1003,4
2016-08-23,903,4
2016-08-30,608,4
2016-09-06,648,4
2016-09-13,685,4
2016-09-20,564,4
2016-09-27,1444,4
2016-10-04,759,4
2016-10-11,801,4
2016-10-18,750,4
2016-10-25,455,3
2016-11-01,383,3
2016-11-08,786,4
2016-11-15,634,4
2016-11-22,1072,4
2016-11-29,1059,4
2016-12-06,599,4
2016-12-13,934,4
2016-12-20,143,1
2016-12-27,480,3
2017-01-03,300,2
