date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2014-03-11,195,231,204,197,200,194,200,201,6,1,0,0,0,0,0,1
2014-03-18,187,144,195,204,197,200,194,201,19,1,0,0,0,0,0,1
2014-03-25,193,245,187,195,204,197,200,201,2,1,0,0,0,0,0,1
2014-04-01,242,317,193,187,195,204,197,200,0,1,0,0,0,0,0,1
2014-04-08,154,278,242,193,187,195,204,200,0,1,0,0,0,0,0,1
2014-04-15,237,151,154,242,193,187,195,200,-32,1,0,0,0,0,0,1
2014-04-22,235,204,237,154,242,193,187,200,3,1,0,0,0,0,0,1
2014-04-29,175,135,235,237,154,242,193,199,10,1,0,0,0,0,0,1
2014-05-06,243,171,175,235,237,154,242,199,-26,1,0,0,0,0,0,1
2014-05-13,237,225,243,175,235,237,154,199,0,1,0,0,0,0,0,1
2014-05-20,208,155,237,243,175,235,237,199,11,1,0,0,0,0,0,1
2014-05-27,273,158,208,237,243,175,235,198,-5,1,0,0,0,0,0,1
2014-06-03,183,222,273,208,237,243,175,198,20,1,0,0,0,0,0,1
2014-06-10,207,389,183,273,208,237,243,198,-26,1,0,0,0,0,0,1
2014-06-17,221,204,207,183,273,208,237,198,-11,1,0,0,0,0,0,1
2014-06-24,219,151,221,207,183,273,208,197,-9,1,0,0,0,0,0,1
2014-07-01,193,157,219,221,207,183,273,197,-19,1,0,0,0,0,0,1
2014-07-08,224,142,193,219,221,207,183,197,-24,1,0,0,0,0,0,1
2014-07-15,194,139,224,193,219,221,207,197,-36,1,0,0,0,0,0,1
2014-07-22,178,140,194,224,193,219,221,196,-45,1,0,0,0,0,0,1
2014-07-29,103,288,178,194,224,193,219,196,-28,1,0,0,0,0,0,1
2014-08-05,174,139,103,178,194,224,193,196,-32,1,0,0,0,0,0,1
2014-08-12,166,139,174,103,178,194,224,196,-6,1,0,0,0,0,0,1
2014-08-19,191,152,166,174,103,178,194,196,-7,1,0,0,0,0,0,1
2014-08-26,170,140,191,166,174,103,178,195,10,1,0,0,0,0,0,1
2014-09-02,177,141,170,191,166,174,103,195,-16,1,0,0,0,0,0,1
2014-09-09,214,210,177,170,191,166,174,194,17,1,0,0,0,0,0,1
2014-09-16,173,128,214,177,170,191,166,195,0,1,0,0,0,0,0,1
2014-09-23,169,159,173,214,177,170,191,196,-23,1,0,0,0,0,0,1
2014-09-30,165,252,169,173,214,177,170,196,-16,1,0,0,0,0,0,1
2014-10-07,98,120,165,169,173,214,177,196,-26,1,0,0,0,0,0,1
2014-10-14,212,142,98,165,169,173,214,196,-24,1,0,0,0,0,0,1
2014-10-21,173,241,212,98,165,169,173,196,24,1,0,0,0,0,0,1
2014-10-28,193,121,173,212,98,165,169,195,-5,1,0,0,0,0,0,1
2014-11-04,167,234,193,173,212,98,165,195,3,1,0,0,0,0,0,1
2014-11-11,205,237,167,193,173,212,98,194,-25,1,0,0,0,0,0,1
2014-11-18,212,176,205,167,193,173,212,193,15,1,0,0,0,0,0,1
2014-11-25,190,262,212,205,167,193,173,193,3,1,0,0,0,0,0,1
2014-12-02,184,134,190,212,205,167,193,192,-3,1,0,0,0,0,0,1
2014-12-09,172,168,184,190,212,205,167,192,16,1,0,0,0,0,0,1
2014-12-16,169,261,172,184,190,212,205,191,15,1,0,0,0,0,0,1
2014-12-23,222,491,169,172,184,190,212,191,28,1,0,0,0,0,0,1
2014-12-30,195,319,222,169,172,184,190,190,50,1,0,0,0,0,0,1
2015-01-06,168,237,195,222,169,172,184,190,58,1,0,0,0,0,0,1
2015-01-13,157,512,168,195,222,169,172,189,-6,1,0,0,0,0,0,1
2015-01-20,190,378,157,168,195,222,169,188,-11,1,0,0,0,0,0,1
2015-01-27,216,342,190,157,168,195,222,186,-10,1,0,0,0,0,0,1
2015-02-03,217,238,216,190,157,168,195,187,14,1,0,0,0,0,0,1
2015-02-10,240,328,217,216,190,157,168,187,64,1,0,0,0,0,0,1
2015-02-17,216,138,240,217,216,190,157,187,35,1,0,0,0,0,0,1
2015-02-24,205,435,216,240,217,216,190,187,26,1,0,0,0,0,0,1
2015-03-03,206,529,205,216,240,217,216,187,20,1,0,0,0,0,0,1
2015-03-10,244,669,206,205,216,240,217,187,6,1,0,0,0,0,0,1
2015-03-17,228,278,244,206,205,216,240,187,19,1,0,0,0,0,0,1
