date,demand,civilians_rank,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2014-03-11,195,3,231,1,0,0,0,0,0,1
2014-03-18,187,2,144,1,0,0,0,0,0,1
2014-03-25,193,4,245,1,0,0,0,0,0,1
2014-04-01,242,2,317,1,0,0,0,0,0,1
2014-04-08,154,4,278,1,0,0,0,0,0,1
2014-04-15,237,4,151,1,0,0,0,0,0,1
2014-04-22,235,2,204,1,0,0,0,0,0,1
2014-04-29,175,3,135,1,0,0,0,0,0,1
2014-05-06,243,3,171,1,0,0,0,0,0,1
2014-05-13,237,3,225,1,0,0,0,0,0,1
2014-05-20,208,3,155,1,0,0,0,0,0,1
2014-05-27,273,1,158,1,0,0,0,0,0,1
2014-06-03,183,2,222,1,0,0,0,0,0,1
2014-06-10,207,2,389,1,0,0,0,0,0,1
2014-06-17,221,3,204,1,0,0,0,0,0,1
2014-06-24,219,1,151,1,0,0,0,0,0,1
2014-07-01,193,2,157,1,0,0,0,0,0,1
2014-07-08,224,1,142,1,0,0,0,0,0,1
2014-07-15,194,2,139,1,0,0,0,0,0,1
2014-07-22,178,3,140,1,0,0,0,0,0,1
2014-07-29,103,2,288,1,0,0,0,0,0,1
2014-08-05,174,3,139,1,0,0,0,0,0,1
2014-08-12,166,1,139,1,0,0,0,0,0,1
2014-08-19,191,4,152,1,0,0,0,0,0,1
2014-08-26,170,2,140,1,0,0,0,0,0,1
2014-09-02,177,1,141,1,0,0,0,0,0,1
2014-09-09,214,2,210,1,0,0,0,0,0,1
2014-09-16,173,2,128,1,0,0,0,0,0,1
2014-09-23,169,1,159,1,0,0,0,0,0,1
2014-09-30,165,1,252,1,0,0,0,0,0,1
2014-10-07,98,3,120,1,0,0,0,0,0,1
2014-10-14,212,1,142,1,0,0,0,0,0,1
2014-10-21,173,2,241,1,0,0,0,0,0,1
2014-10-28,193,1,121,1,0,0,0,0,0,1
2014-11-04,167,1,234,1,0,0,0,0,0,1
2014-11-11,205,2,237,1,0,0,0,0,0,1
2014-11-18,212,3,176,1,0,0,0,0,0,1
2014-11-25,190,1,262,1,0,0,0,0,0,1
2014-12-02,184,3,134,1,0,0,0,0,0,1
2014-12-09,172,1,168,1,0,0,0,0,0,1
2014-12-16,169,2,261,1,0,0,0,0,0,1
2014-12-23,222,2,491,1,0,0,0,0,0,1
2014-12-30,195,4,319,1,0,0,0,0,0,1
2015-01-06,168,2,237,1,0,0,0,0,0,1
2015-01-13,157,1,512,1,0,0,0,0,0,1
2015-01-20,190,1,378,1,0,0,0,0,0,1
2015-01-27,216,1,342,1,0,0,0,0,0,1
2015-02-03,217,2,238,1,0,0,0,0,0,1
2015-02-10,240,3,328,1,0,0,0,0,0,1
2015-02-17,216,1,138,1,0,0,0,0,0,1
2015-02-24,205,2,435,1,0,0,0,0,0,1
2015-03-03,206,2,529,1,0,0,0,0,0,1
2015-03-10,244,1,669,1,0,0,0,0,0,1
2015-03-17,228,1,278,1,0,0,0,0,0,1
2015-03-24,216,3,287,1,0,0,0,0,0,1
2015-03-31,198,2,393,1,0,0,0,0,0,1
2015-04-07,179,1,250,1,0,0,0,0,0,1
2015-04-14,190,1,333,1,0,0,0,0,0,1
2015-04-21,201,2,235,1,0,0,0,0,0,1
2015-04-28,187,3,333,1,0,0,0,0,0,1
2015-05-05,185,3,145,1,0,0,0,0,0,1
2015-05-12,193,3,252,1,0,0,0,0,0,1
2015-05-19,211,1,155,1,0,0,0,0,0,1
2015-05-26,201,3,406,1,0,0,0,0,0,1
2015-06-02,188,1,488,1,0,0,0,0,0,1
2015-06-09,190,2,141,1,0,0,0,0,0,1
2015-06-16,192,3,239,1,0,0,0,0,0,1
2015-06-23,183,1,274,1,0,0,0,0,0,1
2015-06-30,156,4,360,1,0,0,0,0,0,1
2015-07-07,157,1,396,1,0,0,0,0,0,1
2015-07-14,146,1,252,1,0,0,0,0,0,1
2015-07-21,106,1,159,1,0,0,0,0,0,1
2015-07-28,189,2,160,1,0,0,0,0,0,1
2015-08-04,151,3,215,1,0,0,0,0,0,1
2015-08-11,165,2,328,1,0,0,0,0,0,1
2015-08-18,178,3,234,1,0,0,0,0,0,1
2015-08-25,177,2,152,1,0,0,0,0,0,1
2015-09-01,193,1,153,1,0,0,0,0,0,1
2015-09-08,166,1,143,1,0,0,0,0,0,1
2015-09-15,182,1,125,1,0,0,0,0,0,1
2015-09-22,182,2,120,1,0,0,0,0,0,1
2015-09-29,78,1,124,1,0,0,0,0,0,1
2015-10-06,174,2,154,1,0,0,0,0,0,1
2015-10-13,177,2,145,1,0,0,0,0,0,1
2015-10-20,174,3,136,1,0,0,0,0,0,1
2015-10-27,177,2,145,1,0,0,0,0,0,1
2015-11-03,160,3,271,1,0,0,0,0,0,1
2015-11-10,181,4,263,1,0,0,0,0,0,1
2015-11-17,168,3,310,1,0,0,0,0,0,1
2015-11-24,150,3,224,1,0,0,0,0,0,1
2015-12-01,190,3,162,1,0,0,0,0,0,1
2015-12-08,166,2,246,1,0,0,0,0,0,1
2015-12-15,209,4,217,1,0,0,0,0,0,1
2015-12-22,214,3,265,1,0,0,0,0,0,1
2015-12-29,248,2,228,1,0,0,0,0,0,1
2016-01-05,192,1,188,1,0,0,0,0,0,1
2016-01-12,191,3,248,1,0,0,0,0,0,1
2016-01-19,159,1,261,1,0,0,0,0,0,1
2016-01-26,181,2,208,1,0,0,0,0,0,1
2016-02-02,282,3,529,1,0,0,0,0,0,1
2016-02-09,203,3,317,1,0,0,0,0,0,1
2016-02-16,210,2,233,1,0,0,0,0,0,1
2016-02-23,210,2,326,1,0,0,0,0,0,1
2016-03-01,188,3,316,1,0,0,0,0,0,1
2016-03-08,199,1,298,1,0,0,0,0,0,1
2016-03-15,173,1,177,1,0,0,0,0,0,1
2016-03-22,171,1,389,1,0,0,0,0,0,1
2016-03-29,142,1,346,1,0,0,0,0,0,1
2016-04-05,153,1,427,1,0,0,0,0,0,1
2016-04-12,166,1,186,1,0,0,0,0,0,1
2016-04-19,180,4,279,1,0,0,0,0,0,1
2016-04-26,145,4,265,1,0,0,0,0,0,1
2016-05-03,159,4,248,1,0,0,0,0,0,1
2016-05-10,188,3,322,1,0,0,0,0,0,1
2016-05-17,151,3,225,1,0,0,0,0,0,1
2016-05-24,171,4,284,1,0,0,0,0,0,1
2016-05-31,137,4,173,1,0,0,0,0,0,1
2016-06-07,156,4,271,1,0,0,0,0,0,1
2014-02-18,4,3,205,1,0,0,0,1,0,0
2014-02-25,3,1,286,1,0,0,0,1,0,0
2014-03-04,7,2,294,1,0,0,0,1,0,0
2014-03-11,7,3,265,1,0,0,0,1,0,0
2014-03-18,2,2,174,1,0,0,0,1,0,0
2014-03-25,3,4,272,1,0,0,0,1,0,0
2014-04-01,2,2,344,1,0,0,0,1,0,0
2014-04-08,8,4,291,1,0,0,0,1,0,0
2014-04-15,12,4,159,1,0,0,0,1,0,0
2014-04-22,7,2,217,1,0,0,0,1,0,0
2014-04-29,7,3,155,1,0,0,0,1,0,0
2014-05-06,4,3,187,1,0,0,0,1,0,0
2014-05-13,3,3,233,1,0,0,0,1,0,0
2014-05-20,4,3,187,1,0,0,0,1,0,0
2014-05-27,7,1,197,1,0,0,0,1,0,0
2014-06-03,4,2,243,1,0,0,0,1,0,0
2014-06-10,5,2,405,1,0,0,0,1,0,0
2014-06-17,6,3,209,1,0,0,0,1,0,0
2014-06-24,6,1,147,1,0,0,0,1,0,0
2014-07-01,11,2,167,1,0,0,0,1,0,0
2014-07-08,2,1,137,1,0,0,0,1,0,0
2014-07-15,6,2,140,1,0,0,0,1,0,0
2014-07-22,1,3,156,1,0,0,0,1,0,0
2014-07-29,1,2,298,1,0,0,0,1,0,0
2014-08-05,9,3,140,1,0,0,0,1,0,0
2014-08-12,6,1,161,1,0,0,0,1,0,0
2014-08-19,10,4,179,1,0,0,0,1,0,0
2014-08-26,4,2,163,1,0,0,0,1,0,0
