date,demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2014-03-11,195,231,1,0,0,0,0,0,1
2014-03-18,187,144,1,0,0,0,0,0,1
2014-03-25,193,245,1,0,0,0,0,0,1
2014-04-01,242,317,1,0,0,0,0,0,1
2014-04-08,154,278,1,0,0,0,0,0,1
2014-04-15,237,151,1,0,0,0,0,0,1
2014-04-22,235,204,1,0,0,0,0,0,1
2014-04-29,175,135,1,0,0,0,0,0,1
2014-05-06,243,171,1,0,0,0,0,0,1
2014-05-13,237,225,1,0,0,0,0,0,1
2014-05-20,208,155,1,0,0,0,0,0,1
2014-05-27,273,158,1,0,0,0,0,0,1
2014-06-03,183,222,1,0,0,0,0,0,1
2014-06-10,207,389,1,0,0,0,0,0,1
2014-06-17,221,204,1,0,0,0,0,0,1
2014-06-24,219,151,1,0,0,0,0,0,1
2014-07-01,193,157,1,0,0,0,0,0,1
2014-07-08,224,142,1,0,0,0,0,0,1
2014-07-15,194,139,1,0,0,0,0,0,1
2014-07-22,178,140,1,0,0,0,0,0,1
2014-07-29,103,288,1,0,0,0,0,0,1
2014-08-05,174,139,1,0,0,0,0,0,1
2014-08-12,166,139,1,0,0,0,0,0,1
2014-08-19,191,152,1,0,0,0,0,0,1
2014-08-26,170,140,1,0,0,0,0,0,1
2014-09-02,177,141,1,0,0,0,0,0,1
2014-09-09,214,210,1,0,0,0,0,0,1
2014-09-16,173,128,1,0,0,0,0,0,1
2014-09-23,169,159,1,0,0,0,0,0,1
2014-09-30,165,252,1,0,0,0,0,0,1
2014-10-07,98,120,1,0,0,0,0,0,1
2014-10-14,212,142,1,0,0,0,0,0,1
2014-10-21,173,241,1,0,0,0,0,0,1
2014-10-28,193,121,1,0,0,0,0,0,1
2014-11-04,167,234,1,0,0,0,0,0,1
2014-11-11,205,237,1,0,0,0,0,0,1
2014-11-18,212,176,1,0,0,0,0,0,1
2014-11-25,190,262,1,0,0,0,0,0,1
2014-12-02,184,134,1,0,0,0,0,0,1
2014-12-09,172,168,1,0,0,0,0,0,1
2014-12-16,169,261,1,0,0,0,0,0,1
2014-12-23,222,491,1,0,0,0,0,0,1
2014-12-30,195,319,1,0,0,0,0,0,1
2015-01-06,168,237,1,0,0,0,0,0,1
2015-01-13,157,512,1,0,0,0,0,0,1
2015-01-20,190,378,1,0,0,0,0,0,1
2015-01-27,216,342,1,0,0,0,0,0,1
2015-02-03,217,238,1,0,0,0,0,0,1
2015-02-10,240,328,1,0,0,0,0,0,1
2015-02-17,216,138,1,0,0,0,0,0,1
2015-02-24,205,435,1,0,0,0,0,0,1
2015-03-03,206,529,1,0,0,0,0,0,1
2015-03-10,244,669,1,0,0,0,0,0,1
2015-03-17,228,278,1,0,0,0,0,0,1
2015-03-24,216,287,1,0,0,0,0,0,1
2015-03-31,198,393,1,0,0,0,0,0,1
2015-04-07,179,250,1,0,0,0,0,0,1
2015-04-14,190,333,1,0,0,0,0,0,1
2015-04-21,201,235,1,0,0,0,0,0,1
2015-04-28,187,333,1,0,0,0,0,0,1
2015-05-05,185,145,1,0,0,0,0,0,1
2015-05-12,193,252,1,0,0,0,0,0,1
2015-05-19,211,155,1,0,0,0,0,0,1
2015-05-26,201,406,1,0,0,0,0,0,1
2015-06-02,188,488,1,0,0,0,0,0,1
2015-06-09,190,141,1,0,0,0,0,0,1
2015-06-16,192,239,1,0,0,0,0,0,1
2015-06-23,183,274,1,0,0,0,0,0,1
2015-06-30,156,360,1,0,0,0,0,0,1
2015-07-07,157,396,1,0,0,0,0,0,1
2015-07-14,146,252,1,0,0,0,0,0,1
2015-07-21,106,159,1,0,0,0,0,0,1
2015-07-28,189,160,1,0,0,0,0,0,1
2015-08-04,151,215,1,0,0,0,0,0,1
2015-08-11,165,328,1,0,0,0,0,0,1
2015-08-18,178,234,1,0,0,0,0,0,1
2015-08-25,177,152,1,0,0,0,0,0,1
2015-09-01,193,153,1,0,0,0,0,0,1
2015-09-08,166,143,1,0,0,0,0,0,1
2015-09-15,182,125,1,0,0,0,0,0,1
2015-09-22,182,120,1,0,0,0,0,0,1
2015-09-29,78,124,1,0,0,0,0,0,1
2015-10-06,174,154,1,0,0,0,0,0,1
2015-10-13,177,145,1,0,0,0,0,0,1
2015-10-20,174,136,1,0,0,0,0,0,1
2015-10-27,177,145,1,0,0,0,0,0,1
2015-11-03,160,271,1,0,0,0,0,0,1
2015-11-10,181,263,1,0,0,0,0,0,1
2015-11-17,168,310,1,0,0,0,0,0,1
2015-11-24,150,224,1,0,0,0,0,0,1
2015-12-01,190,162,1,0,0,0,0,0,1
2015-12-08,166,246,1,0,0,0,0,0,1
2015-12-15,209,217,1,0,0,0,0,0,1
2015-12-22,214,265,1,0,0,0,0,0,1
2015-12-29,248,228,1,0,0,0,0,0,1
2016-01-05,192,188,1,0,0,0,0,0,1
2016-01-12,191,248,1,0,0,0,0,0,1
2016-01-19,159,261,1,0,0,0,0,0,1
2016-01-26,181,208,1,0,0,0,0,0,1
2016-02-02,282,529,1,0,0,0,0,0,1
2016-02-09,203,317,1,0,0,0,0,0,1
2016-02-16,210,233,1,0,0,0,0,0,1
2016-02-23,210,326,1,0,0,0,0,0,1
2016-03-01,188,316,1,0,0,0,0,0,1
2016-03-08,199,298,1,0,0,0,0,0,1
2016-03-15,173,177,1,0,0,0,0,0,1
2016-03-22,171,389,1,0,0,0,0,0,1
2016-03-29,142,346,1,0,0,0,0,0,1
2016-04-05,153,427,1,0,0,0,0,0,1
2016-04-12,166,186,1,0,0,0,0,0,1
2016-04-19,180,279,1,0,0,0,0,0,1
2016-04-26,145,265,1,0,0,0,0,0,1
2016-05-03,159,248,1,0,0,0,0,0,1
2016-05-10,188,322,1,0,0,0,0,0,1
2016-05-17,151,225,1,0,0,0,0,0,1
2016-05-24,171,284,1,0,0,0,0,0,1
2016-05-31,137,173,1,0,0,0,0,0,1
2016-06-07,156,271,1,0,0,0,0,0,1
2014-02-18,4,205,1,0,0,0,1,0,0
2014-02-25,3,286,1,0,0,0,1,0,0
2014-03-04,7,294,1,0,0,0,1,0,0
2014-03-11,7,265,1,0,0,0,1,0,0
2014-03-18,2,174,1,0,0,0,1,0,0
2014-03-25,3,272,1,0,0,0,1,0,0
2014-04-01,2,344,1,0,0,0,1,0,0
2014-04-08,8,291,1,0,0,0,1,0,0
2014-04-15,12,159,1,0,0,0,1,0,0
2014-04-22,7,217,1,0,0,0,1,0,0
2014-04-29,7,155,1,0,0,0,1,0,0
2014-05-06,4,187,1,0,0,0,1,0,0
2014-05-13,3,233,1,0,0,0,1,0,0
2014-05-20,4,187,1,0,0,0,1,0,0
2014-05-27,7,197,1,0,0,0,1,0,0
2014-06-03,4,243,1,0,0,0,1,0,0
2014-06-10,5,405,1,0,0,0,1,0,0
2014-06-17,6,209,1,0,0,0,1,0,0
2014-06-24,6,147,1,0,0,0,1,0,0
2014-07-01,11,167,1,0,0,0,1,0,0
2014-07-08,2,137,1,0,0,0,1,0,0
2014-07-15,6,140,1,0,0,0,1,0,0
2014-07-22,1,156,1,0,0,0,1,0,0
2014-07-29,1,298,1,0,0,0,1,0,0
2014-08-05,9,140,1,0,0,0,1,0,0
2014-08-12,6,161,1,0,0,0,1,0,0
2014-08-19,10,179,1,0,0,0,1,0,0
2014-08-26,4,163,1,0,0,0,1,0,0
2014-09-02,4,159,1,0,0,0,1,0,0
2014-09-09,12,227,1,0,0,0,1,0,0
2014-09-16,5,146,1,0,0,0,1,0,0
2014-09-23,12,180,1,0,0,0,1,0,0
2014-09-30,13,276,1,0,0,0,1,0,0
2014-10-07,7,139,1,0,0,0,1,0,0
2014-10-14,2,152,1,0,0,0,1,0,0
2014-10-21,18,247,1,0,0,0,1,0,0
2014-10-28,11,136,1,0,0,0,1,0,0
2014-11-04,10,253,1,0,0,0,1,0,0
2014-11-11,7,258,1,0,0,0,1,0,0
2014-11-18,10,187,1,0,0,0,1,0,0
