date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-03-11,195,204,197,200,194,200
2014-03-18,187,195,204,197,200,194
2014-03-25,193,187,195,204,197,200
2014-04-01,242,193,187,195,204,197
2014-04-08,154,242,193,187,195,204
2014-04-15,237,154,242,193,187,195
2014-04-22,235,237,154,242,193,187
2014-04-29,175,235,237,154,242,193
2014-05-06,243,175,235,237,154,242
2014-05-13,237,243,175,235,237,154
2014-05-20,208,237,243,175,235,237
2014-05-27,273,208,237,243,175,235
2014-06-03,183,273,208,237,243,175
2014-06-10,207,183,273,208,237,243
2014-06-17,221,207,183,273,208,237
2014-06-24,219,221,207,183,273,208
2014-07-01,193,219,221,207,183,273
2014-07-08,224,193,219,221,207,183
2014-07-15,194,224,193,219,221,207
2014-07-22,178,194,224,193,219,221
2014-07-29,103,178,194,224,193,219
2014-08-05,174,103,178,194,224,193
2014-08-12,166,174,103,178,194,224
2014-08-19,191,166,174,103,178,194
2014-08-26,170,191,166,174,103,178
2014-09-02,177,170,191,166,174,103
2014-09-09,214,177,170,191,166,174
2014-09-16,173,214,177,170,191,166
2014-09-23,169,173,214,177,170,191
2014-09-30,165,169,173,214,177,170
2014-10-07,98,165,169,173,214,177
2014-10-14,212,98,165,169,173,214
2014-10-21,173,212,98,165,169,173
2014-10-28,193,173,212,98,165,169
2014-11-04,167,193,173,212,98,165
2014-11-11,205,167,193,173,212,98
2014-11-18,212,205,167,193,173,212
2014-11-25,190,212,205,167,193,173
2014-12-02,184,190,212,205,167,193
2014-12-09,172,184,190,212,205,167
2014-12-16,169,172,184,190,212,205
2014-12-23,222,169,172,184,190,212
2014-12-30,195,222,169,172,184,190
2015-01-06,168,195,222,169,172,184
2015-01-13,157,168,195,222,169,172
2015-01-20,190,157,168,195,222,169
2015-01-27,216,190,157,168,195,222
2015-02-03,217,216,190,157,168,195
2015-02-10,240,217,216,190,157,168
2015-02-17,216,240,217,216,190,157
2015-02-24,205,216,240,217,216,190
2015-03-03,206,205,216,240,217,216
2015-03-10,244,206,205,216,240,217
2015-03-17,228,244,206,205,216,240
2015-03-24,216,228,244,206,205,216
2015-03-31,198,216,228,244,206,205
2015-04-07,179,198,216,228,244,206
2015-04-14,190,179,198,216,228,244
2015-04-21,201,190,179,198,216,228
2015-04-28,187,201,190,179,198,216
2015-05-05,185,187,201,190,179,198
