date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,45,2,186.43526517277485,13.885714285714286,8.850000000000003,0.0,37.0,52.0,54.0,62.0,61.0,47.4730538553481,8.322591105215118
2014-02-18,59,3,181.55742689909763,16.214285714285715,10.114285714285714,26.2,45.0,37.0,52.0,54.0,62.0,47.19804137743074,5.202723469649115
2014-02-25,54,1,263.392347974706,17.228571428571428,12.750000000000002,7.1,59.0,45.0,37.0,52.0,54.0,46.92302889951336,-8.27611852489125
2014-03-04,34,2,277.10359385370367,17.085714285714285,15.857142857142856,7.1,54.0,59.0,45.0,37.0,52.0,46.648016421596004,1.793116403645309
2014-03-11,54,3,248.01479352285432,19.285714285714285,17.585714285714285,19.1,34.0,54.0,59.0,45.0,37.0,46.37300394367864,-7.410084565254032
2014-03-18,48,2,157.92623268711583,15.957142857142856,16.657142857142855,22.200000000000006,54.0,34.0,54.0,59.0,45.0,46.097991465761254,-0.6036701495379853
2014-03-25,76,4,257.817279482238,17.942857142857143,10.564285714285717,0.6,48.0,54.0,34.0,54.0,59.0,45.82297898784388,-2.476742913309121
2014-04-01,45,2,329.26301704747834,16.585714285714285,14.578571428571431,0.0,76.0,48.0,54.0,34.0,54.0,45.54796650992652,11.291209963945384
2014-04-08,59,4,285.5165397063073,19.04285714285714,13.785714285714285,0.3,45.0,76.0,48.0,54.0,34.0,45.272954032009146,3.3091628411998952
2014-04-15,46,4,156.34774483563137,18.585714285714285,14.014285714285714,17.3,59.0,45.0,76.0,48.0,54.0,44.99794155409178,3.5835259748646613
2014-04-22,66,2,211.09091637462063,21.185714285714287,12.871428571428574,0.3,46.0,59.0,45.0,76.0,48.0,44.7229290761744,8.200837826478145
2014-04-29,45,3,144.512714366764,22.142857142857146,12.978571428571426,0.3,66.0,46.0,59.0,45.0,76.0,44.44791659825704,10.151483011424963
2014-05-06,35,3,180.22726773569332,23.728571428571428,14.592857142857143,0.0,45.0,66.0,46.0,59.0,45.0,44.17290412033967,-0.21838462414104487
2014-05-13,42,3,230.27464388098664,20.785714285714285,14.242857142857144,26.9,35.0,45.0,66.0,46.0,59.0,43.89789164242229,-3.171585593040384
2014-05-20,62,3,169.8745938593517,21.6,14.714285714285715,0.3,42.0,35.0,45.0,66.0,46.0,43.622879164504916,-8.08953015168331
2014-05-27,42,1,176.8631885734666,22.685714285714287,11.95,0.8,62.0,42.0,35.0,45.0,66.0,43.347866686587544,10.71047400762248
2014-06-03,49,2,232.11952042456716,24.128571428571433,15.857142857142858,0.3,42.0,62.0,42.0,35.0,45.0,43.072854208670186,-4.470291063840962
2014-06-10,41,2,398.12420355153574,25.385714285714286,17.45,0.0,49.0,42.0,62.0,42.0,35.0,42.797841730752815,2.566892582644316
2014-06-17,37,3,208.4436685556848,24.82857142857143,13.092857142857143,0.0,41.0,49.0,42.0,62.0,42.0,42.522829252835436,0.8668967419501098
2014-06-24,44,1,151.89446655709568,25.985714285714284,16.885714285714286,0.0,37.0,41.0,49.0,42.0,62.0,42.24781677491807,-11.121560637205642
2014-07-01,48,2,162.8816983486657,26.91428571428571,15.285714285714285,0.0,44.0,37.0,41.0,49.0,42.0,41.97280429700071,-7.09719750354088
2014-07-08,40,1,141.9443609098556,27.314285714285717,16.428571428571427,0.0,48.0,44.0,37.0,41.0,49.0,41.697791819083335,-6.069629241670986
2014-07-15,39,2,140.420895478268,27.87142857142857,16.885714285714286,0.0,40.0,48.0,44.0,37.0,41.0,41.42277934116596,-10.446747340780682
2014-07-22,35,3,147.52670643127001,28.02857142857143,19.65714285714285,0.0,39.0,40.0,48.0,44.0,37.0,41.14776686324859,-15.594568247640689
2014-07-29,29,2,294.0767818932507,27.942857142857147,18.15,0.0,35.0,39.0,40.0,48.0,44.0,40.87275438533122,-10.380209667321214
2014-08-05,30,3,140.30938835006742,28.02857142857143,19.06428571428572,0.0,29.0,35.0,39.0,40.0,48.0,40.59774190741385,-2.7748254459760924
2014-08-12,66,1,147.72537301503448,28.40000000000001,16.55,0.0,30.0,29.0,35.0,39.0,40.0,41.18269230769232,-13.725326286593685
