date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-04,39,1,162.7586994435919,40.0,51.0,44.0,18.0,40.68838699932357,6.470906476914758
2014-02-11,48,2,186.43526517277485,39.0,40.0,51.0,44.0,40.77459586324203,0.3940932658650181
2014-02-18,46,3,181.55742689909763,48.0,39.0,40.0,51.0,40.86080472716049,-7.208360970825755
2014-02-25,45,1,263.392347974706,46.0,48.0,39.0,40.0,40.94701359107896,-13.131328028029346
2014-03-04,31,2,277.10359385370367,45.0,46.0,48.0,39.0,41.03322245499741,-10.384423290361136
2014-03-11,33,3,248.01479352285432,31.0,45.0,46.0,48.0,41.119431318915865,-15.682390347564732
2014-03-18,51,2,157.92623268711583,33.0,31.0,45.0,46.0,41.20564018283433,-21.179075353486272
2014-03-25,47,4,257.817279482238,51.0,33.0,31.0,45.0,41.291849046752795,3.4844960508486063
2014-04-01,58,2,329.26301704747834,47.0,51.0,33.0,31.0,41.378057910671245,5.817939250055269
2014-04-08,44,4,285.5165397063073,58.0,47.0,51.0,33.0,41.46426677458971,-0.9415662686867764
2014-04-15,52,4,156.34774483563137,44.0,58.0,47.0,51.0,41.550475638508175,5.7957230843660446
2014-04-22,60,2,211.09091637462063,52.0,44.0,58.0,47.0,41.63668450242663,16.186858591265022
2014-04-29,61,3,144.512714366764,60.0,52.0,44.0,58.0,41.7228933663451,8.347224867394766
2014-05-06,42,3,180.22726773569332,61.0,60.0,52.0,44.0,41.80910223026355,7.475539861473226
2014-05-13,48,3,230.27464388098664,42.0,61.0,60.0,52.0,41.89531109418201,12.693598445295276
2014-05-20,60,3,169.8745938593517,48.0,42.0,61.0,60.0,41.98151995810046,3.655246772707067
2014-05-27,51,1,176.8631885734666,60.0,48.0,42.0,61.0,42.06772882201893,12.011125869349634
2014-06-03,61,2,232.11952042456716,51.0,60.0,48.0,42.0,42.15393768593738,12.735594709581942
2014-06-10,56,2,398.12420355153574,61.0,51.0,60.0,48.0,42.24014654985585,12.690832780583474
2014-06-17,62,3,208.4436685556848,56.0,61.0,51.0,60.0,42.326355413774316,16.597993928508107
2014-06-24,61,1,151.89446655709568,62.0,56.0,61.0,51.0,42.41256427769277,3.8833602046378415
2014-07-01,36,2,162.8816983486657,61.0,62.0,56.0,61.0,42.49877314161123,2.800136737177845
2014-07-08,50,1,141.9443609098556,36.0,61.0,62.0,56.0,42.58498200552969,-4.651676473871898
2014-07-15,26,2,140.420895478268,50.0,36.0,61.0,62.0,42.67119086944815,-13.010966885358586
2014-07-22,40,3,147.52670643127001,26.0,50.0,36.0,61.0,42.75739973336661,-28.6082344403654
2014-07-29,18,2,294.0767818932507,40.0,26.0,50.0,36.0,42.84360859728507,7.147062107191879
2014-08-05,51,3,140.30938835006742,18.0,40.0,26.0,50.0,44.53846153846154,11.981528577714439
2014-08-12,38,1,147.72537301503448,51.0,18.0,40.0,26.0,44.62500000000001,10.717484490167617
2014-08-19,41,4,164.92997875385663,38.0,51.0,18.0,40.0,44.519230769230774,-0.07540575122534797
2014-08-26,48,2,151.93731121128332,41.0,38.0,51.0,18.0,44.28846153846154,3.2823450330227013
2014-09-02,32,1,149.16119185994813,48.0,41.0,38.0,51.0,44.20192307692307,7.6849676121425485
2014-09-09,51,2,216.67776898409556,32.0,48.0,41.0,38.0,44.355769230769226,-2.2906149369427298
2014-09-16,36,2,135.32577063195959,51.0,32.0,48.0,41.0,44.31730769230769,0.6536743088437819
2014-09-23,36,1,169.62627738948876,36.0,51.0,32.0,48.0,44.29807692307693,-15.055882599215856
2014-09-30,42,1,263.89250020465084,36.0,36.0,51.0,32.0,44.480769230769226,-7.823131814967803
2014-10-07,23,3,128.52077614999587,42.0,36.0,36.0,51.0,44.25,-11.285893851232574
2014-10-14,60,1,147.3543433336823,23.0,42.0,36.0,36.0,44.18269230769232,1.2737800099385517
2014-10-21,47,2,244.44156065939887,60.0,23.0,42.0,36.0,44.528846153846146,12.077043614699425
2014-10-28,37,1,127.80122864757334,47.0,60.0,23.0,42.0,44.46153846153847,7.534153373306447
2014-11-04,50,1,244.582438204952,37.0,47.0,60.0,23.0,44.00000000000001,6.693186208836554
2014-11-11,50,2,247.29137080029238,50.0,37.0,47.0,60.0,43.97115384615384,-1.2214989043512872
2014-11-18,87,3,183.148415771314,50.0,50.0,37.0,47.0,44.25,4.876636495281381
2014-11-25,43,1,269.54253763020483,87.0,50.0,50.0,37.0,44.153846153846146,13.36259240773456
2014-12-02,53,3,137.09378685065437,43.0,87.0,50.0,50.0,43.96153846153847,-8.90786193622252
2014-12-09,28,1,172.36733261652537,53.0,43.0,87.0,50.0,43.81730769230769,2.840914489051173
2014-12-16,44,2,274.01678826786844,28.0,53.0,43.0,87.0,43.78846153846153,-9.69556549593154
2014-12-23,28,2,495.8699226951202,44.0,28.0,53.0,43.0,43.980769230769226,-3.398712147580929
2014-12-30,44,4,327.19062223784437,28.0,44.0,28.0,53.0,43.884615384615394,-10.018525465896976
2015-01-06,10,2,243.04366444330762,44.0,28.0,44.0,28.0,43.71153846153846,-7.1671849380591794
2015-01-13,38,1,532.5640666321978,10.0,44.0,28.0,44.0,43.54807692307693,-19.05123375407995
2015-01-20,29,1,398.0549685709452,38.0,10.0,44.0,28.0,43.20192307692307,-7.003156831003027
2015-01-27,48,1,357.3140855152916,29.0,38.0,10.0,44.0,42.903846153846146,-3.3733491386953367
2015-02-03,40,2,248.08535369829758,48.0,29.0,38.0,10.0,43.230769230769226,6.470906476914758
2015-02-10,36,3,329.90649829564273,40.0,48.0,29.0,38.0,43.778846153846146,0.3940932658650181
2015-02-17,34,1,143.27778209209572,36.0,40.0,48.0,29.0,43.83653846153846,-7.208360970825755
2015-02-24,48,2,437.928780015276,34.0,36.0,40.0,48.0,44.009615384615394,-13.131328028029346
2015-03-03,44,2,543.890244487772,48.0,34.0,36.0,40.0,44.12499999999999,-10.384423290361136
2015-03-10,16,1,676.429951648845,44.0,48.0,34.0,36.0,44.201923076923094,-15.682390347564732
2015-03-17,66,1,289.4455708326017,16.0,44.0,48.0,34.0,44.394230769230774,-21.179075353486272
2015-03-24,51,3,293.8561287895166,66.0,16.0,44.0,48.0,44.58653846153846,3.4844960508486063
2015-03-31,30,2,406.24290334188566,51.0,66.0,16.0,44.0,44.98076923076924,5.817939250055269
2015-04-07,65,1,249.80694004045944,30.0,51.0,66.0,16.0,45.03846153846154,-0.9415662686867764
2015-04-14,67,1,339.2408266600142,65.0,30.0,51.0,66.0,45.23076923076924,5.7957230843660446
2015-04-21,38,2,235.8041949035175,67.0,65.0,30.0,51.0,45.54807692307693,16.186858591265022
2015-04-28,35,3,334.6220287735815,38.0,67.0,65.0,30.0,45.673076923076906,8.347224867394766
2015-05-05,65,3,147.7523274445889,35.0,38.0,67.0,65.0,46.22115384615384,7.475539861473226
2015-05-12,54,3,260.7197065295859,65.0,35.0,38.0,67.0,46.71153846153846,12.693598445295276
2015-05-19,44,1,160.72669000091332,54.0,65.0,35.0,38.0,47.019230769230774,3.655246772707067
2015-05-26,47,3,416.49747286204354,44.0,54.0,65.0,35.0,46.875,12.011125869349634
2015-06-02,50,1,504.73709285072374,47.0,44.0,54.0,65.0,46.65384615384616,12.735594709581942
2015-06-09,64,2,147.8564842497624,50.0,47.0,44.0,54.0,46.8173076923077,12.690832780583474
2015-06-16,74,3,248.16637839808118,64.0,50.0,47.0,44.0,47.25961538461538,16.597993928508107
2015-06-23,39,1,284.6151630807675,74.0,64.0,50.0,47.0,47.92307692307693,3.8833602046378415
2015-06-30,40,4,366.3959753678413,39.0,74.0,64.0,50.0,48.47115384615384,2.800136737177845
2015-07-07,29,1,398.784088038704,40.0,39.0,74.0,64.0,48.80769230769231,-4.651676473871898
2015-07-14,11,1,255.43835894038497,29.0,40.0,39.0,74.0,49.259615384615394,-13.010966885358586
2015-07-21,24,1,164.44523865453291,11.0,29.0,40.0,39.0,49.701923076923066,-28.6082344403654
2015-07-28,68,2,165.34012215829915,24.0,11.0,29.0,40.0,50.08653846153846,7.147062107191879
2015-08-04,58,3,226.20350221911065,68.0,24.0,11.0,29.0,50.625,11.981528577714439
2015-08-11,37,2,338.1664309546827,58.0,68.0,24.0,11.0,51.0673076923077,10.717484490167617
2015-08-18,60,3,241.9945633346221,37.0,58.0,68.0,24.0,51.28846153846153,-0.07540575122534797
2015-08-25,41,2,166.71196639574237,60.0,37.0,58.0,68.0,51.18269230769231,3.2823450330227013
2015-09-01,47,1,155.89001013322988,41.0,60.0,37.0,58.0,50.79807692307693,7.6849676121425485
2015-09-08,56,1,150.36836691986392,47.0,41.0,60.0,37.0,50.30769230769231,-2.2906149369427298
2015-09-15,51,1,119.73695048369845,56.0,47.0,41.0,60.0,50.25,0.6536743088437819
2015-09-22,62,2,117.56951795130188,51.0,56.0,47.0,41.0,50.13461538461538,-15.055882599215856
2015-09-29,22,1,119.9405160641516,62.0,51.0,56.0,47.0,49.990384615384606,-7.823131814967803
2015-10-06,63,2,166.95558448410063,22.0,62.0,51.0,56.0,50.346153846153854,-11.285893851232574
2015-10-13,53,2,153.81295664374167,63.0,22.0,62.0,51.0,50.47115384615386,1.2737800099385517
2015-10-20,67,3,148.7848177555266,53.0,63.0,22.0,62.0,50.451923076923094,12.077043614699425
2015-10-27,74,2,156.9651965226074,67.0,53.0,63.0,22.0,50.884615384615394,7.534153373306447
2015-11-03,64,3,282.84526519091037,74.0,67.0,53.0,63.0,51.60576923076921,6.693186208836554
2015-11-10,68,4,274.86205506012084,64.0,74.0,67.0,53.0,52.115384615384606,-1.2214989043512872
2015-11-17,54,3,319.4314017725323,68.0,64.0,74.0,67.0,52.278846153846146,4.876636495281381
2015-11-24,53,3,233.7686641936492,54.0,68.0,64.0,74.0,52.653846153846146,13.36259240773456
2015-12-01,60,3,177.95138626393563,53.0,54.0,68.0,64.0,53.394230769230774,-8.90786193622252
2015-12-08,67,2,263.5010994303953,60.0,53.0,54.0,68.0,54.02884615384616,2.840914489051173
2015-12-15,74,4,235.7568737112083,67.0,60.0,53.0,54.0,54.40384615384616,-9.69556549593154
2015-12-22,55,3,287.8915796600832,74.0,67.0,60.0,53.0,54.05769230769232,-3.398712147580929
2015-12-29,52,2,245.01578608483214,55.0,74.0,67.0,60.0,53.75000000000001,-10.018525465896976
2016-01-05,49,1,206.63900622114681,52.0,55.0,74.0,67.0,54.10576923076924,-7.1671849380591794
2016-01-12,45,3,261.3550678200407,49.0,52.0,55.0,74.0,54.346153846153854,-19.05123375407995
2016-01-19,62,1,287.03585469537586,45.0,49.0,52.0,55.0,54.59615384615384,-7.003156831003027
2016-01-26,71,2,235.13062609889855,62.0,45.0,49.0,52.0,55.634615384615394,-3.3733491386953367
2016-02-02,63,3,552.1806749254147,71.0,62.0,45.0,49.0,56.855769230769226,6.470906476914758
2016-02-09,36,3,329.1364949280054,63.0,71.0,62.0,45.0,57.45192307692307,0.3940932658650181
2016-02-16,23,2,250.36485208349444,36.0,63.0,71.0,62.0,58.115384615384606,-7.208360970825755
2016-02-23,19,2,345.0780772957265,23.0,36.0,63.0,71.0,58.62499999999999,-13.131328028029346
2016-03-01,22,3,328.67799948553056,19.0,23.0,36.0,63.0,59.18269230769232,-10.384423290361136
2016-03-08,32,1,314.8217189645772,22.0,19.0,23.0,36.0,59.91346153846154,-15.682390347564732
2016-03-15,38,1,187.83679965065738,32.0,22.0,19.0,23.0,60.12500000000001,-21.179075353486272
2016-03-22,64,1,391.95256049918856,38.0,32.0,22.0,19.0,59.855769230769226,3.4844960508486063
2016-03-29,54,1,350.38261901263513,64.0,38.0,32.0,22.0,59.375,5.817939250055269
2016-04-05,54,1,440.6501573233557,54.0,64.0,38.0,32.0,59.50961538461538,-0.9415662686867764
2016-04-12,76,1,203.54175381900436,54.0,54.0,64.0,38.0,60.01923076923076,5.7957230843660446
2016-04-19,74,4,298.41944566876236,76.0,54.0,54.0,64.0,60.44230769230768,16.186858591265022
2016-04-26,74,4,286.86605323058114,74.0,76.0,54.0,54.0,60.75,8.347224867394766
2016-05-03,79,4,269.4393617719913,74.0,74.0,76.0,54.0,60.730769230769226,7.475539861473226
2016-05-10,57,3,337.28538930397275,79.0,74.0,74.0,76.0,60.50000000000001,12.693598445295276
2016-05-17,80,3,246.00093016376846,57.0,79.0,74.0,74.0,60.22115384615386,3.655246772707067
2016-05-24,88,4,304.03056532028864,80.0,57.0,79.0,74.0,60.21153846153847,12.011125869349634
2016-05-31,75,4,186.44626581374862,88.0,80.0,57.0,79.0,60.17307692307693,12.735594709581942
2016-06-07,78,4,299.4909135289364,75.0,88.0,80.0,57.0,60.05769230769232,12.690832780583474
2016-06-14,24,4,311.05292367801707,78.0,75.0,88.0,80.0,59.80769230769231,16.597993928508107
2016-06-21,57,4,250.21719197175858,24.0,78.0,75.0,88.0,59.20192307692307,3.8833602046378415
2016-06-28,59,4,190.6607217977681,57.0,24.0,78.0,75.0,58.81730769230769,2.800136737177845
2016-07-05,35,4,248.1869542884468,59.0,57.0,24.0,78.0,58.75,-4.651676473871898
2016-07-12,31,4,203.85807397795867,35.0,59.0,57.0,24.0,62.28973929361854,-13.010966885358586
2016-07-19,112,4,203.1415835957333,31.0,35.0,59.0,57.0,62.55302540241282,-28.6082344403654
2016-07-26,107,4,188.1946382345801,112.0,31.0,35.0,59.0,62.81631151120713,7.147062107191879
2016-08-02,81,4,198.84217082760918,107.0,112.0,31.0,35.0,63.07959762000144,11.981528577714439
2016-08-09,83,4,195.35900217049183,81.0,107.0,112.0,31.0,63.34288372879574,10.717484490167617
2016-08-16,67,4,206.70080320383812,83.0,81.0,107.0,112.0,63.606169837590045,-0.07540575122534797
2016-08-23,92,4,366.03849416869264,67.0,83.0,81.0,107.0,63.869455946384356,3.2823450330227013
2016-08-30,72,4,175.79121628399915,92.0,67.0,83.0,81.0,64.13274205517865,7.6849676121425485
2016-09-06,53,4,176.49892546568225,72.0,92.0,67.0,83.0,64.39602816397296,-2.2906149369427298
2016-09-13,26,4,179.12926643453048,53.0,72.0,92.0,67.0,64.65931427276726,0.6536743088437819
2016-09-20,37,4,289.3895129962328,26.0,53.0,72.0,92.0,64.92260038156158,-15.055882599215856
2016-09-27,61,4,307.54904020174666,37.0,26.0,53.0,72.0,65.18588649035587,-7.823131814967803
2016-10-04,77,4,185.25333005055265,61.0,37.0,26.0,53.0,65.44917259915017,-11.285893851232574
2016-10-11,83,4,186.942618383218,77.0,61.0,37.0,26.0,65.71245870794448,1.2737800099385517
2016-10-18,69,4,176.60183126047497,83.0,77.0,61.0,37.0,65.97574481673878,12.077043614699425
2016-10-25,70,3,186.56891136829518,69.0,83.0,77.0,61.0,66.2390309255331,7.534153373306447
2016-11-01,44,3,174.81304200561692,70.0,69.0,83.0,77.0,66.5023170343274,6.693186208836554
2016-11-08,59,4,237.25247938910383,44.0,70.0,69.0,83.0,66.76560314312171,-1.2214989043512872
2016-11-15,62,4,173.01701033691631,59.0,44.0,70.0,69.0,67.02888925191601,4.876636495281381
2016-11-22,41,4,173.6872849994055,62.0,59.0,44.0,70.0,67.29217536071032,13.36259240773456
2016-11-29,60,4,172.73441365359787,41.0,62.0,59.0,44.0,67.5554614695046,-8.90786193622252
2016-12-06,41,4,190.5660568249821,60.0,41.0,62.0,59.0,67.81874757829893,2.840914489051173
2016-12-13,37,4,196.6425361804014,41.0,60.0,41.0,62.0,68.08203368709323,-9.69556549593154
2016-12-20,52,1,198.64353819461132,37.0,41.0,60.0,41.0,68.34531979588753,-3.398712147580929
2016-12-27,48,3,163.31881767666232,52.0,37.0,41.0,60.0,68.60860590468184,-10.018525465896976
2017-01-03,27,2,194.8470083057963,48.0,52.0,37.0,41.0,68.87189201347614,-7.1671849380591794
