date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,22,186.43526517277485,39.0,34.0,48.0,28.0,21.0,24.177151127281324,12.309190786535687
2014-02-18,15,181.55742689909763,22.0,39.0,34.0,48.0,28.0,24.682637306346003,-8.497125119306387
2014-02-25,27,263.392347974706,15.0,22.0,39.0,34.0,48.0,25.18812348541068,-14.630364102071535
2014-03-04,30,277.10359385370367,27.0,15.0,22.0,39.0,34.0,25.69360966447536,-8.209115905349508
2014-03-11,83,248.01479352285432,30.0,27.0,15.0,22.0,39.0,26.19909584354005,-10.464149759909537
2014-03-18,44,157.92623268711583,83.0,30.0,27.0,15.0,22.0,26.70458202260473,13.415431770145831
2014-03-25,29,257.817279482238,44.0,83.0,30.0,27.0,15.0,27.210068201669408,7.307833813021704
2014-04-01,56,329.26301704747834,29.0,44.0,83.0,30.0,27.0,27.71555438073409,0.3893384200001484
2014-04-08,14,285.5165397063073,56.0,29.0,44.0,83.0,30.0,28.22104055979877,13.454817385952945
2014-04-15,29,156.34774483563137,14.0,56.0,29.0,44.0,83.0,28.72652673886345,1.4337578903672834
2014-04-22,46,211.09091637462063,29.0,14.0,56.0,29.0,44.0,29.232012917928127,-5.648199041115816
2014-04-29,18,144.512714366764,46.0,29.0,14.0,56.0,29.0,29.737499096992806,3.3852286427856995
2014-05-06,20,180.22726773569332,18.0,46.0,29.0,14.0,56.0,30.242985276057485,2.0532717113026018
2014-05-13,24,230.27464388098664,20.0,18.0,46.0,29.0,14.0,30.74847145512217,0.8206737541784768
2014-05-20,48,169.8745938593517,24.0,20.0,18.0,46.0,29.0,31.25395763418685,0.9983322073107636
2014-05-27,33,176.8631885734666,48.0,24.0,20.0,18.0,46.0,31.759443813251533,-2.570804211351824
2014-06-03,41,232.11952042456716,33.0,48.0,24.0,20.0,18.0,32.26492999231622,-11.848273963347745
2014-06-10,34,398.12420355153574,41.0,33.0,48.0,24.0,20.0,32.770416171380894,-13.196256535856485
2014-06-17,16,208.4436685556848,34.0,41.0,33.0,48.0,24.0,33.275902350445584,-13.810264749390864
2014-06-24,22,151.89446655709568,16.0,34.0,41.0,33.0,48.0,33.78138852951027,-23.07170886036114
2014-07-01,34,162.8816983486657,22.0,16.0,34.0,41.0,33.0,34.28687470857494,-20.156870920049368
2014-07-08,29,141.9443609098556,34.0,22.0,16.0,34.0,41.0,34.792360887639624,-14.87664836435298
2014-07-15,20,140.420895478268,29.0,34.0,22.0,16.0,34.0,35.297847066704314,-16.984433900695485
2014-07-22,25,147.52670643127001,20.0,29.0,34.0,22.0,16.0,35.80333324576899,-25.631986231329645
2014-07-29,6,294.0767818932507,25.0,20.0,29.0,34.0,22.0,36.30881942483367,-22.51992317734843
2014-08-05,17,140.30938835006742,6.0,25.0,20.0,29.0,34.0,36.814305603898354,-13.276449866956954
2014-08-12,31,147.72537301503448,17.0,6.0,25.0,20.0,29.0,37.24038461538462,-14.605866475064984
2014-08-19,20,164.92997875385663,31.0,17.0,6.0,25.0,20.0,37.759615384615394,-21.626590079344243
2014-08-26,25,151.93731121128332,20.0,31.0,17.0,6.0,25.0,38.33653846153846,-18.602441888751727
