date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,75,186.43526517277485,97.0,82.0,105.0,51.0,32.0,71.98701721952594,22.846163389297924
2014-02-18,111,181.55742689909763,75.0,97.0,82.0,105.0,51.0,72.9216994266725,-10.465397346417603
2014-02-25,86,263.392347974706,111.0,75.0,97.0,82.0,105.0,73.85638163381907,-21.770547825722872
2014-03-04,79,277.10359385370367,86.0,111.0,75.0,97.0,82.0,74.79106384096562,-13.646211125540946
2014-03-11,84,248.01479352285432,79.0,86.0,111.0,75.0,97.0,75.72574604811219,10.096715318230704
2014-03-18,82,157.92623268711583,84.0,79.0,86.0,111.0,75.0,76.66042825525875,-16.31099926363866
2014-03-25,83,257.817279482238,82.0,84.0,79.0,86.0,111.0,77.59511046240532,0.44154256474838216
2014-04-01,97,329.26301704747834,83.0,82.0,84.0,79.0,86.0,78.52979266955188,16.88318695723799
2014-04-08,59,285.5165397063073,97.0,83.0,82.0,84.0,79.0,79.46447487669846,32.64534417024041
2014-04-15,94,156.34774483563137,59.0,97.0,83.0,82.0,84.0,80.39915708384501,-2.919421693680227
2014-04-22,92,211.09091637462063,94.0,59.0,97.0,83.0,82.0,81.33383929099156,8.983761160347846
2014-04-29,74,144.512714366764,92.0,94.0,59.0,97.0,83.0,82.26852149813813,4.858097860529762
2014-05-06,58,180.22726773569332,74.0,92.0,94.0,59.0,97.0,83.20320370528471,12.302947381224485
2014-05-13,68,230.27464388098664,58.0,74.0,92.0,94.0,59.0,84.13788591243127,-19.992587713465397
2014-05-20,100,169.8745938593517,68.0,58.0,74.0,92.0,94.0,85.07256811957781,-13.61504588507836
2014-05-27,87,176.8631885734666,100.0,68.0,58.0,74.0,92.0,86.00725032672439,-7.878529697716953
2014-06-03,104,232.11952042456716,87.0,100.0,68.0,58.0,74.0,86.94193253387094,-11.494577612919645
2014-06-10,95,398.12420355153574,104.0,87.0,100.0,68.0,58.0,87.87661474101749,26.19386165136484
2014-06-17,74,208.4436685556848,95.0,104.0,87.0,100.0,68.0,88.81129694816406,-4.848468315119918
2014-06-24,101,151.89446655709568,74.0,95.0,104.0,87.0,100.0,89.74597915531065,-0.3907982816046615
2014-07-01,112,162.8816983486657,101.0,74.0,95.0,104.0,87.0,90.6806613624572,-15.026076966038131
2014-07-08,88,141.9443609098556,112.0,101.0,74.0,95.0,104.0,91.61534356960377,-6.6325094966254605
2014-07-15,80,140.420895478268,88.0,112.0,101.0,74.0,95.0,92.55002577675032,-27.74197147947603
2014-07-22,65,147.52670643127001,80.0,88.0,112.0,101.0,74.0,93.48470798389691,-58.66823355514478
2014-07-29,53,294.0767818932507,65.0,80.0,88.0,112.0,101.0,94.41939019104343,-37.83167511799296
2014-08-05,75,140.30938835006742,53.0,65.0,80.0,88.0,112.0,95.35407239819,7.729242293517808
2014-08-12,91,147.72537301503448,75.0,53.0,65.0,80.0,88.0,94.11538461538464,26.655642009371533
2014-08-19,92,164.92997875385663,91.0,75.0,53.0,65.0,80.0,95.55769230769234,-28.27316189468422
2014-08-26,97,151.93731121128332,92.0,91.0,75.0,53.0,65.0,96.10576923076924,-16.94555554232972
2014-09-02,97,149.16119185994813,97.0,92.0,91.0,75.0,53.0,96.73076923076924,10.869230297204261
2014-09-09,107,216.67776898409556,97.0,97.0,92.0,91.0,75.0,98.42307692307692,4.414785367507466
2014-09-16,84,135.32577063195959,107.0,97.0,97.0,92.0,91.0,100.11538461538464,-2.0428646903944347
2014-09-23,73,169.62627738948876,84.0,107.0,97.0,97.0,92.0,101.86538461538464,-21.032566030347635
2014-09-30,85,263.89250020465084,73.0,84.0,107.0,97.0,97.0,103.6538461538462,-30.342780190813674
2014-10-07,37,128.52077614999587,85.0,73.0,84.0,107.0,97.0,105.20192307692308,-17.239532812818133
2014-10-14,77,147.3543433336823,37.0,85.0,73.0,84.0,107.0,106.98076923076924,-16.78051620405338
2014-10-21,100,244.44156065939887,77.0,37.0,85.0,73.0,84.0,108.34615384615385,-19.27662780041684
2014-10-28,80,127.80122864757334,100.0,77.0,37.0,85.0,73.0,109.125,24.59585034680946
2014-11-04,101,244.582438204952,80.0,100.0,77.0,37.0,85.0,110.22115384615385,27.340123365830607
2014-11-11,122,247.29137080029238,101.0,80.0,100.0,77.0,37.0,111.3846153846154,-24.65598823053284
2014-11-18,151,183.148415771314,122.0,101.0,80.0,100.0,77.0,112.29807692307692,12.453669403872945
2014-11-25,124,269.54253763020483,151.0,122.0,101.0,80.0,100.0,112.81730769230771,-0.6129550130033453
2014-12-02,104,137.09378685065437,124.0,151.0,122.0,101.0,80.0,113.26923076923076,18.46144621114604
2014-12-09,101,172.36733261652537,104.0,124.0,151.0,122.0,101.0,113.78846153846152,6.599949999397963
2014-12-16,141,274.01678826786844,101.0,104.0,124.0,151.0,122.0,114.26923076923076,-2.2679564687603664
2014-12-23,114,495.8699226951202,141.0,101.0,104.0,124.0,151.0,115.09615384615385,27.941060140004385
2014-12-30,134,327.19062223784437,114.0,141.0,101.0,104.0,124.0,115.7403846153846,30.23982033851272
2015-01-06,82,243.04366444330762,134.0,114.0,141.0,101.0,104.0,116.07692307692308,37.522554895995405
2015-01-13,102,532.5640666321978,82.0,134.0,114.0,141.0,101.0,116.53846153846158,-8.622907793937024
2015-01-20,118,398.0549685709452,102.0,82.0,134.0,114.0,141.0,116.65384615384615,9.66074605221683
2015-01-27,167,357.3140855152916,118.0,102.0,82.0,134.0,114.0,116.625,12.670361436832211
2015-02-03,177,248.08535369829758,167.0,118.0,102.0,82.0,134.0,117.79807692307692,64.92036143683221
2015-02-10,145,329.90649829564273,177.0,167.0,118.0,102.0,82.0,119.81730769230772,22.846163389297924
2015-02-17,98,143.27778209209572,145.0,177.0,167.0,118.0,102.0,120.90384615384615,-10.465397346417603
2015-02-24,164,437.928780015276,98.0,145.0,177.0,167.0,118.0,121.25,-21.770547825722872
2015-03-03,177,543.890244487772,164.0,98.0,145.0,177.0,167.0,121.81730769230772,-13.646211125540946
2015-03-10,162,676.429951648845,177.0,164.0,98.0,145.0,177.0,122.69230769230771,10.096715318230704
2015-03-17,186,289.4455708326017,162.0,177.0,164.0,98.0,145.0,123.44230769230772,-16.31099926363866
2015-03-24,165,293.8561287895166,186.0,162.0,177.0,164.0,98.0,124.29807692307695,0.44154256474838216
2015-03-31,176,406.24290334188566,165.0,186.0,162.0,177.0,164.0,125.375,16.88318695723799
2015-04-07,165,249.80694004045944,176.0,165.0,186.0,162.0,177.0,125.5,32.64534417024041
2015-04-14,130,339.2408266600142,165.0,176.0,165.0,186.0,162.0,126.08653846153848,-2.919421693680227
2015-04-21,137,235.8041949035175,130.0,165.0,176.0,165.0,186.0,127.25961538461536,8.983761160347846
2015-04-28,143,334.6220287735815,137.0,130.0,165.0,176.0,165.0,128.73076923076923,4.858097860529762
2015-05-05,110,147.7523274445889,143.0,137.0,130.0,165.0,176.0,131.18269230769232,12.302947381224485
2015-05-12,111,260.7197065295859,110.0,143.0,137.0,130.0,165.0,132.98076923076923,-19.992587713465397
2015-05-19,111,160.72669000091332,111.0,110.0,143.0,137.0,130.0,134.17307692307696,-13.61504588507836
2015-05-26,123,416.49747286204354,111.0,111.0,110.0,143.0,137.0,134.7019230769231,-7.878529697716953
2015-06-02,122,504.73709285072374,123.0,111.0,111.0,110.0,143.0,135.28846153846158,-11.494577612919645
2015-06-09,127,147.8564842497624,122.0,123.0,111.0,111.0,110.0,136.35576923076923,26.19386165136484
2015-06-16,128,248.16637839808118,127.0,122.0,123.0,111.0,111.0,137.30769230769232,-4.848468315119918
2015-06-23,114,284.6151630807675,128.0,127.0,122.0,123.0,111.0,138.31730769230768,-0.3907982816046615
2015-06-30,134,366.3959753678413,114.0,128.0,127.0,122.0,123.0,139.61538461538458,-15.026076966038131
2015-07-07,114,398.784088038704,134.0,114.0,128.0,127.0,122.0,141.47115384615387,-6.6325094966254605
2015-07-14,66,255.43835894038497,114.0,134.0,114.0,128.0,127.0,143.11538461538458,-27.74197147947603
2015-07-21,76,164.44523865453291,66.0,114.0,134.0,114.0,128.0,144.38461538461542,-58.66823355514478
2015-07-28,164,165.34012215829915,76.0,66.0,114.0,134.0,114.0,145.3653846153846,-37.83167511799296
