date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-18,4,3,11.0,3.0,1.0,4.0,1.0,-14.138155172753489,3.2301370231301236
2014-02-25,3,1,4.0,11.0,3.0,1.0,4.0,-13.567145151015641,-1.8800714456542866
2014-03-04,7,2,3.0,4.0,11.0,3.0,1.0,-12.996135129277794,-0.695408119566902
2014-03-11,7,3,7.0,3.0,4.0,11.0,3.0,-12.425125107539953,-0.8248473575820812
2014-03-18,2,2,7.0,7.0,3.0,4.0,11.0,-11.854115085802105,-4.521594287904951
2014-03-25,3,4,2.0,7.0,7.0,3.0,4.0,-11.283105064064259,-11.074110448997054
2014-04-01,2,2,3.0,2.0,7.0,7.0,3.0,-10.712095042326414,-9.742011225473773
2014-04-08,8,4,2.0,3.0,2.0,7.0,7.0,-10.141085020588571,-10.24965559169408
2014-04-15,12,4,8.0,2.0,3.0,2.0,7.0,-9.570074998850725,-0.17396662458105538
2014-04-22,7,2,12.0,8.0,2.0,3.0,2.0,-8.999064977112877,-5.123918683109051
2014-04-29,7,3,7.0,12.0,8.0,2.0,3.0,-8.428054955375032,-5.843101510867823
2014-05-06,4,3,7.0,7.0,12.0,8.0,2.0,-7.857044933637186,-3.886002287344534
2014-05-13,3,3,4.0,7.0,7.0,12.0,8.0,-7.286034911899342,-10.098774858693051
2014-05-20,4,3,3.0,4.0,7.0,7.0,12.0,-6.715024890161495,-11.910906404400539
2014-05-27,7,1,4.0,3.0,4.0,7.0,7.0,-6.144014868423651,-9.033935386005462
2014-06-03,4,2,7.0,4.0,3.0,4.0,7.0,-5.573004846685803,-5.557605393251411
2014-06-10,5,2,4.0,7.0,4.0,3.0,4.0,-5.0019948249479596,-5.32166001588197
2014-06-17,6,3,5.0,4.0,7.0,4.0,3.0,-4.430984803210113,-0.6369966897945922
2014-06-24,6,1,6.0,5.0,4.0,7.0,4.0,-3.859974781472268,0.3297179183440768
2014-07-01,11,2,6.0,6.0,5.0,4.0,7.0,-3.288964759734421,5.940663295713512
2014-07-08,2,1,11.0,6.0,6.0,5.0,4.0,-2.7179547379965765,4.96827533974962
2014-07-15,6,2,2.0,11.0,6.0,6.0,5.0,-2.1469447162587323,-5.420824433239863
2014-07-22,1,3,6.0,2.0,11.0,6.0,6.0,-1.5759346945208854,-13.884338291390026
2014-07-29,1,2,1.0,6.0,2.0,11.0,6.0,-1.004924672783039,-5.738877790565822
