date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,16,2,52.0,25.0,46.0,40.0,40.0,38.70396099994088,13.559997951815538
2014-02-18,46,3,16.0,52.0,25.0,46.0,40.0,38.97772650703687,6.003999193039951
2014-02-25,37,1,46.0,16.0,52.0,25.0,46.0,39.251492014132864,4.069795306059239
2014-03-04,31,2,37.0,46.0,16.0,52.0,25.0,39.52525752122886,3.7093093677964735
2014-03-11,50,3,31.0,37.0,46.0,16.0,52.0,39.799023028324854,-8.212074006363729
2014-03-18,43,2,50.0,31.0,37.0,46.0,16.0,40.07278853542085,12.61013236306581
2014-03-25,16,4,43.0,50.0,31.0,37.0,46.0,40.34655404251684,4.477210527367145
2014-04-01,55,2,16.0,43.0,50.0,31.0,37.0,40.620319549612844,-5.479429257049474
2014-04-08,59,4,55.0,16.0,43.0,50.0,31.0,40.894085056708825,-1.0995305799276305
2014-04-15,52,4,59.0,55.0,16.0,43.0,50.0,41.167850563804826,21.719470661296786
2014-04-22,65,2,52.0,59.0,55.0,16.0,43.0,41.44161607090082,-5.54806655901726
2014-04-29,26,3,65.0,52.0,59.0,55.0,16.0,41.71538157799681,8.585037246309723
2014-05-06,53,3,26.0,65.0,52.0,59.0,55.0,41.98914708509281,-9.73057689708125
2014-05-13,44,3,53.0,26.0,65.0,52.0,59.0,42.26291259218881,-3.9372166814978655
2014-05-20,52,3,44.0,53.0,26.0,65.0,52.0,42.5366780992848,0.14781020075219273
2014-05-27,36,1,52.0,44.0,53.0,26.0,65.0,42.810443606380794,20.960401185566344
2014-06-03,58,2,36.0,52.0,44.0,53.0,26.0,43.08420911347679,-12.807136034747709
2014-06-10,58,2,58.0,36.0,52.0,44.0,53.0,43.357974620572776,10.082378026989524
2014-06-17,32,3,58.0,58.0,36.0,52.0,44.0,43.631740127668785,13.824456191290858
2014-06-24,37,1,32.0,58.0,58.0,36.0,52.0,43.90550563476478,3.2908933299511767
