date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,9,2,13.0,10.0,13.0,12.0,4.0,-15.305319040645173,0.033249613622387215
2014-02-18,9,3,9.0,13.0,10.0,13.0,12.0,-14.513977319743347,13.410494681014091
2014-02-25,7,1,9.0,9.0,13.0,10.0,13.0,-13.722635598841526,-2.4686705080044726
2014-03-04,6,2,7.0,9.0,9.0,13.0,10.0,-12.931293877939696,0.5720360978487664
2014-03-11,20,3,6.0,7.0,9.0,9.0,13.0,-12.139952157037873,1.6159478319071343
2014-03-18,11,2,20.0,6.0,7.0,9.0,9.0,-11.348610436136047,3.695115976221913
2014-03-25,10,4,11.0,20.0,6.0,7.0,9.0,-10.557268715234224,-0.12635690510433628
2014-04-01,14,2,10.0,11.0,20.0,6.0,7.0,-9.765926994332396,-7.614496453097254
2014-04-08,13,4,14.0,10.0,11.0,20.0,6.0,-8.974585273430574,-1.5834052318594016
2014-04-15,15,4,13.0,14.0,10.0,11.0,20.0,-8.183243552528747,-2.222185805493344
2014-04-22,17,2,15.0,13.0,14.0,10.0,11.0,-7.391901831626923,-3.8096843278452335
2014-04-29,8,3,17.0,15.0,13.0,14.0,10.0,-6.600560110725097,-5.345900798915077
2014-05-06,8,3,8.0,17.0,15.0,13.0,14.0,-5.809218389823274,-9.907758295625936
2014-05-13,20,3,8.0,8.0,17.0,15.0,13.0,-5.017876668921449,-11.825385023106026
2014-05-20,19,3,20.0,8.0,8.0,17.0,15.0,-4.226534948019623,-8.079550212124587
2014-05-27,13,1,19.0,20.0,8.0,8.0,17.0,-3.4351932271177983,-4.0003820678098085
2014-06-03,15,2,13.0,19.0,20.0,8.0,8.0,-2.6438515062159738,-6.2289062311873415
2014-06-10,17,2,15.0,13.0,19.0,20.0,8.0,-1.8525097853141488,-4.072815009949495
2014-06-17,17,3,17.0,15.0,13.0,19.0,20.0,-1.0611680644123247,-10.916723788711636
2014-06-24,9,1,17.0,17.0,15.0,13.0,19.0,-0.2698263435104984,18.909239227398007
2014-07-01,6,2,9.0,17.0,17.0,15.0,13.0,0.5215153773913261,10.401868910174326
2014-07-08,8,1,6.0,9.0,17.0,17.0,15.0,1.3128570982931491,-5.974091150639106
2014-07-15,7,2,8.0,6.0,9.0,17.0,17.0,2.104198819194975,5.253190146495123
2014-07-22,15,3,7.0,8.0,6.0,9.0,17.0,2.895540540096801,-4.509949428861646
2014-07-29,10,2,15.0,7.0,8.0,6.0,9.0,3.686882260998624,1.3358853547559408
2014-08-05,1,3,10.0,15.0,7.0,8.0,6.0,4.4782239819004515,11.050309881963274
2014-08-12,13,1,1.0,10.0,15.0,7.0,8.0,13.480769230769232,7.758435797284182
2014-08-19,13,4,13.0,1.0,10.0,15.0,7.0,13.576923076923077,0.9353588468434084
2014-08-26,7,2,13.0,13.0,1.0,10.0,15.0,13.605769230769232,0.7308716399923785
2014-09-02,12,1,7.0,13.0,13.0,1.0,10.0,13.53846153846154,2.9206152023721126
2014-09-09,4,2,12.0,7.0,13.0,13.0,1.0,13.644230769230774,-3.5787437993507165
2014-09-16,22,2,4.0,12.0,7.0,13.0,13.0,13.653846153846152,-4.026820749791494
2014-09-23,6,1,22.0,4.0,12.0,7.0,13.0,13.586538461538463,-13.112718213052785
2014-09-30,21,1,6.0,22.0,4.0,12.0,7.0,13.528846153846152,0.14112791342951847
2014-10-07,13,3,21.0,6.0,22.0,4.0,12.0,13.490384615384615,-10.23323108829331
2014-10-14,6,1,13.0,21.0,6.0,22.0,4.0,13.548076923076923,7.0558714484454
2014-10-21,28,2,6.0,13.0,21.0,6.0,22.0,13.567307692307697,-4.6486157584056365
2014-10-28,28,1,28.0,6.0,13.0,21.0,6.0,13.55769230769231,8.361640624486919
2014-11-04,22,1,28.0,28.0,6.0,13.0,21.0,13.557692307692307,16.022538033020506
2014-11-11,11,2,22.0,28.0,28.0,6.0,13.0,13.567307692307693,5.651384159502803
2014-11-18,29,3,11.0,22.0,28.0,28.0,6.0,13.509615384615385,-10.98900048324567
2014-11-25,24,1,29.0,11.0,22.0,28.0,28.0,13.423076923076925,13.04689692528792
2014-12-02,27,3,24.0,29.0,11.0,22.0,28.0,13.346153846153845,-2.3434877174605533
2014-12-09,10,1,27.0,24.0,29.0,11.0,22.0,13.230769230769232,0.5385635372268769
2014-12-16,30,2,10.0,27.0,24.0,29.0,11.0,13.230769230769232,-3.8005390542395463
2014-12-23,14,2,30.0,10.0,27.0,24.0,29.0,14.048076923076925,8.254589123524806
2014-12-30,12,4,14.0,30.0,10.0,27.0,24.0,15.403846153846155,-2.1357955192236595
2015-01-06,6,2,12.0,14.0,30.0,10.0,27.0,16.39423076923077,47.47061470982275
2015-01-13,0,1,6.0,12.0,14.0,30.0,10.0,17.51923076923077,-15.106984938387544
2015-01-20,7,1,0.0,6.0,12.0,14.0,30.0,18.826923076923077,-3.953138784541384
2015-01-27,20,1,7.0,0.0,6.0,12.0,14.0,19.52884615384616,-5.967561861464463
2015-02-03,11,2,20.0,7.0,0.0,6.0,12.0,20.432692307692317,-16.582946476849074
2015-02-10,21,3,11.0,20.0,7.0,0.0,6.0,22.12500000000001,0.033249613622387215
2015-02-17,0,1,21.0,11.0,20.0,7.0,0.0,23.615384615384613,13.410494681014091
2015-02-24,9,2,0.0,21.0,11.0,20.0,7.0,24.81730769230769,-2.4686705080044726
2015-03-03,15,2,9.0,0.0,21.0,11.0,20.0,26.038461538461537,0.5720360978487664
2015-03-10,12,1,15.0,9.0,0.0,21.0,11.0,27.20192307692308,1.6159478319071343
2015-03-17,12,1,12.0,15.0,9.0,0.0,21.0,28.384615384615394,3.695115976221913
2015-03-24,3,3,12.0,12.0,15.0,9.0,0.0,29.32692307692308,-0.12635690510433628
2015-03-31,17,2,3.0,12.0,12.0,15.0,9.0,30.355769230769234,-7.614496453097254
2015-04-07,16,1,17.0,3.0,12.0,12.0,15.0,31.07692307692308,-1.5834052318594016
2015-04-14,14,1,16.0,17.0,3.0,12.0,12.0,31.80769230769231,-2.222185805493344
2015-04-21,17,2,14.0,16.0,17.0,3.0,12.0,33.30769230769232,-3.8096843278452335
2015-04-28,8,3,17.0,14.0,16.0,17.0,3.0,34.58653846153847,-5.345900798915077
2015-05-05,9,3,8.0,17.0,14.0,16.0,17.0,35.769230769230774,-9.907758295625936
2015-05-12,13,3,9.0,8.0,17.0,14.0,16.0,36.99999999999999,-11.825385023106026
2015-05-19,17,1,13.0,9.0,8.0,17.0,14.0,37.95192307692306,-8.079550212124587
2015-05-26,7,3,17.0,13.0,9.0,8.0,17.0,38.9326923076923,-4.0003820678098085
2015-06-02,9,1,7.0,17.0,13.0,9.0,8.0,39.88461538461538,-6.2289062311873415
2015-06-09,23,2,9.0,7.0,17.0,13.0,9.0,40.711538461538474,-4.072815009949495
2015-06-16,96,3,23.0,9.0,7.0,17.0,13.0,41.92307692307693,-10.916723788711636
2015-06-23,71,1,96.0,23.0,9.0,7.0,17.0,43.29807692307693,18.909239227398007
2015-06-30,47,4,71.0,96.0,23.0,9.0,7.0,44.62500000000001,10.401868910174326
2015-07-07,84,1,47.0,71.0,96.0,23.0,9.0,46.019230769230774,-5.974091150639106
2015-07-14,67,1,84.0,47.0,71.0,96.0,23.0,47.134615384615394,5.253190146495123
2015-07-21,28,1,67.0,84.0,47.0,71.0,96.0,48.355769230769226,-4.509949428861646
2015-07-28,91,2,28.0,67.0,84.0,47.0,71.0,49.75000000000001,1.3358853547559408
2015-08-04,96,3,91.0,28.0,67.0,84.0,47.0,50.53846153846154,11.050309881963274
2015-08-11,73,2,96.0,91.0,28.0,67.0,84.0,51.134615384615394,7.758435797284182
2015-08-18,78,3,73.0,96.0,91.0,28.0,67.0,52.230769230769226,0.9353588468434084
2015-08-25,69,2,78.0,73.0,96.0,91.0,28.0,53.53846153846154,0.7308716399923785
2015-09-01,71,1,69.0,78.0,73.0,96.0,91.0,54.759615384615394,2.9206152023721126
2015-09-08,68,1,71.0,69.0,78.0,73.0,96.0,55.875,-3.5787437993507165
2015-09-15,56,1,68.0,71.0,69.0,78.0,73.0,56.93269230769231,-4.026820749791494
2015-09-22,79,2,56.0,68.0,71.0,69.0,78.0,57.980769230769226,-13.112718213052785
2015-09-29,23,1,79.0,56.0,68.0,71.0,69.0,59.0,0.14112791342951847
2015-10-06,87,2,23.0,79.0,56.0,68.0,71.0,59.88461538461538,-10.23323108829331
2015-10-13,88,2,87.0,23.0,79.0,56.0,68.0,60.68269230769232,7.0558714484454
2015-10-20,79,3,88.0,87.0,23.0,79.0,56.0,61.50000000000001,-4.6486157584056365
2015-10-27,100,2,79.0,88.0,87.0,23.0,79.0,62.20192307692307,8.361640624486919
2015-11-03,78,3,100.0,79.0,88.0,87.0,23.0,62.94230769230769,16.022538033020506
2015-11-10,54,4,78.0,100.0,79.0,88.0,87.0,63.769230769230774,5.651384159502803
2015-11-17,88,3,54.0,78.0,100.0,79.0,88.0,64.47115384615385,-10.98900048324567
2015-11-24,64,3,88.0,54.0,78.0,100.0,79.0,65.17307692307692,13.04689692528792
2015-12-01,73,3,64.0,88.0,54.0,78.0,100.0,66.14423076923077,-2.3434877174605533
2015-12-08,90,2,73.0,64.0,88.0,54.0,78.0,67.33653846153845,0.5385635372268769
2015-12-15,93,4,90.0,73.0,64.0,88.0,54.0,68.07692307692308,-3.8005390542395463
2015-12-22,89,3,93.0,90.0,73.0,64.0,88.0,67.81730769230771,8.254589123524806
2015-12-29,82,2,89.0,93.0,90.0,73.0,64.0,67.35576923076923,-2.1357955192236595
2016-01-05,52,1,82.0,89.0,93.0,90.0,73.0,67.26923076923077,47.47061470982275
2016-01-12,81,3,52.0,82.0,89.0,93.0,90.0,66.90384615384616,-15.106984938387544
2016-01-19,71,1,81.0,52.0,82.0,89.0,93.0,66.28846153846153,-3.953138784541384
2016-01-26,38,2,71.0,81.0,52.0,82.0,89.0,66.61538461538461,-5.967561861464463
2016-02-02,55,3,38.0,71.0,81.0,52.0,82.0,66.94230769230768,-16.582946476849074
2016-02-09,91,3,55.0,38.0,71.0,81.0,52.0,66.39423076923077,0.033249613622387215
2016-02-16,66,2,91.0,55.0,38.0,71.0,81.0,65.98076923076923,13.410494681014091
2016-02-23,70,2,66.0,91.0,55.0,38.0,71.0,65.62500000000001,-2.4686705080044726
2016-03-01,70,3,70.0,66.0,91.0,55.0,38.0,65.49038461538464,0.5720360978487664
2016-03-08,67,1,70.0,70.0,66.0,91.0,55.0,65.40384615384616,1.6159478319071343
2016-03-15,66,1,67.0,70.0,70.0,66.0,91.0,65.19230769230771,3.695115976221913
2016-03-22,55,1,66.0,67.0,70.0,70.0,66.0,64.92307692307692,-0.12635690510433628
2016-03-29,57,1,55.0,66.0,67.0,70.0,70.0,64.56730769230771,-7.614496453097254
2016-04-05,59,1,57.0,55.0,66.0,67.0,70.0,64.96153846153847,-1.5834052318594016
2016-04-12,56,1,59.0,57.0,55.0,66.0,67.0,65.35576923076924,-2.222185805493344
2016-04-19,48,4,56.0,59.0,57.0,55.0,66.0,64.82692307692308,-3.8096843278452335
2016-04-26,54,4,48.0,56.0,59.0,57.0,55.0,64.36538461538464,-5.345900798915077
2016-05-03,49,4,54.0,48.0,56.0,59.0,57.0,64.07692307692308,-9.907758295625936
2016-05-10,46,3,49.0,54.0,48.0,56.0,59.0,63.80769230769231,-11.825385023106026
2016-05-17,57,3,46.0,49.0,54.0,48.0,56.0,63.826923076923094,-8.079550212124587
2016-05-24,68,4,57.0,46.0,49.0,54.0,48.0,63.81730769230769,-4.0003820678098085
2016-05-31,72,4,68.0,57.0,46.0,49.0,54.0,63.759615384615394,-6.2289062311873415
2016-06-07,37,4,72.0,68.0,57.0,46.0,49.0,63.67307692307693,-4.072815009949495
2016-06-14,55,4,37.0,72.0,68.0,57.0,46.0,63.20192307692307,-10.916723788711636
2016-06-21,64,4,55.0,37.0,72.0,68.0,57.0,62.55769230769232,18.909239227398007
2016-06-28,45,4,64.0,55.0,37.0,72.0,68.0,61.96153846153846,10.401868910174326
2016-07-05,48,4,45.0,64.0,55.0,37.0,72.0,62.90384615384616,-5.974091150639106
2016-07-12,39,4,48.0,45.0,64.0,55.0,37.0,69.31527592615704,5.253190146495123
2016-07-19,90,4,39.0,48.0,45.0,64.0,55.0,69.59219908517167,-4.509949428861646
2016-07-26,63,4,90.0,39.0,48.0,45.0,64.0,69.86912224418631,1.3358853547559408
2016-08-02,67,4,63.0,90.0,39.0,48.0,45.0,70.14604540320096,11.050309881963274
2016-08-09,59,4,67.0,63.0,90.0,39.0,48.0,70.4229685622156,7.758435797284182
2016-08-16,55,4,59.0,67.0,63.0,90.0,39.0,70.69989172123023,0.9353588468434084
2016-08-23,78,4,55.0,59.0,67.0,63.0,90.0,70.97681488024486,0.7308716399923785
2016-08-30,53,4,78.0,55.0,59.0,67.0,63.0,71.2537380392595,2.9206152023721126
2016-09-06,64,4,53.0,78.0,55.0,59.0,67.0,71.53066119827416,-3.5787437993507165
2016-09-13,32,4,64.0,53.0,78.0,55.0,59.0,71.8075843572888,-4.026820749791494
2016-09-20,66,4,32.0,64.0,53.0,78.0,55.0,72.08450751630343,-13.112718213052785
2016-09-27,77,4,66.0,32.0,64.0,53.0,78.0,72.36143067531806,0.14112791342951847
2016-10-04,74,4,77.0,66.0,32.0,64.0,53.0,72.6383538343327,-10.23323108829331
2016-10-11,46,4,74.0,77.0,66.0,32.0,64.0,72.91527699334733,7.0558714484454
2016-10-18,73,4,46.0,74.0,77.0,66.0,32.0,73.19220015236199,-4.6486157584056365
2016-10-25,76,3,73.0,46.0,74.0,77.0,66.0,73.46912331137663,8.361640624486919
2016-11-01,74,3,76.0,73.0,46.0,74.0,77.0,73.74604647039126,16.022538033020506
2016-11-08,60,4,74.0,76.0,73.0,46.0,74.0,74.02296962940589,5.651384159502803
2016-11-15,81,4,60.0,74.0,76.0,73.0,46.0,74.29989278842055,-10.98900048324567
2016-11-22,65,4,81.0,60.0,74.0,76.0,73.0,74.57681594743516,13.04689692528792
2016-11-29,63,4,65.0,81.0,60.0,74.0,76.0,74.85373910644981,-2.3434877174605533
2016-12-06,51,4,63.0,65.0,81.0,60.0,74.0,75.13066226546445,0.5385635372268769
2016-12-13,65,4,51.0,63.0,65.0,81.0,60.0,75.4075854244791,-3.8005390542395463
2016-12-20,55,1,65.0,51.0,63.0,65.0,81.0,75.68450858349372,8.254589123524806
2016-12-27,214,3,55.0,65.0,51.0,63.0,65.0,75.96143174250837,-2.1357955192236595
2017-01-03,127,2,214.0,55.0,65.0,51.0,63.0,76.238354901523,47.47061470982275
