date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-04-14,6,1,4.0,7.0,2.0,3.0,1.0,29.78643409058392,1.133675967114721
2015-04-21,4,2,6.0,4.0,7.0,2.0,3.0,31.05102498169303,2.82830359848324
2015-04-28,3,3,4.0,6.0,4.0,7.0,2.0,32.31561587280214,7.181585076005612
2015-05-05,3,3,3.0,4.0,6.0,4.0,7.0,33.58020676391125,11.794481938143365
2015-05-12,3,3,3.0,3.0,4.0,6.0,4.0,34.84479765502036,5.243917261819576
2015-05-19,3,1,3.0,3.0,3.0,4.0,6.0,36.10938854612947,-12.556647414504207
2015-05-26,7,3,3.0,3.0,3.0,3.0,4.0,37.37397943723858,0.6283648322489341
2015-06-02,1,1,7.0,3.0,3.0,3.0,3.0,38.638570328347676,8.197992463617453
2015-06-09,5,2,1.0,7.0,3.0,3.0,3.0,39.903161219456784,11.863773941139831
2015-06-16,20,3,5.0,1.0,7.0,3.0,3.0,41.1677521105659,21.654555418662184
2015-06-23,29,1,20.0,5.0,1.0,7.0,3.0,42.43234300167501,4.954952280799943
2015-06-30,27,4,29.0,20.0,5.0,1.0,7.0,43.696933892784116,-5.210997010908457
2015-07-07,37,1,27.0,29.0,20.0,5.0,1.0,44.961524783893225,-10.944253994924553
2015-07-14,28,1,37.0,27.0,29.0,20.0,5.0,46.226115675002326,-15.443970446817115
2015-07-21,15,1,28.0,37.0,27.0,29.0,20.0,47.49070656611145,-33.70856133792623
2015-07-28,39,2,15.0,28.0,37.0,27.0,29.0,48.755297457220564,-19.47315222903533
2015-08-04,35,3,39.0,15.0,28.0,37.0,27.0,50.019888348329665,-15.737743120144438
2015-08-11,28,2,35.0,39.0,15.0,28.0,37.0,51.284479239438774,-26.002334011253552
2015-08-18,37,3,28.0,35.0,39.0,15.0,28.0,52.54907013054789,-14.266924902362653
2015-08-25,28,2,37.0,28.0,35.0,39.0,15.0,53.813661021657,-20.03151579347177
2015-09-01,39,1,28.0,37.0,28.0,35.0,39.0,55.078251912766106,38.703893315419116
2015-09-08,30,1,39.0,28.0,37.0,28.0,35.0,56.342842803875214,6.939302424310014
2015-09-15,28,1,30.0,39.0,28.0,37.0,28.0,57.60743369498432,-6.325288466799093
2015-09-22,37,2,28.0,30.0,39.0,28.0,37.0,58.872024586093424,-33.58987935790821
2015-09-29,12,1,37.0,28.0,30.0,39.0,28.0,60.13661547720254,-0.8544702490173179
