date,demand,civilians_rank,distance
2014-02-18,4,3,204.7022408968745
2014-02-25,3,1,286.27106063670925
2014-03-04,7,2,294.488256667718
2014-03-11,7,3,265.3044797036781
2014-03-18,2,2,174.03377815168446
2014-03-25,3,4,272.1721601004583
2014-04-01,2,2,343.74132623942324
2014-04-08,8,4,291.0480789590852
2014-04-15,12,4,159.08227711159182
2014-04-22,7,2,216.76438695832738
2014-04-29,7,3,155.21691544524538
2014-05-06,4,3,187.4942119712016
2014-05-13,3,3,233.25704472194283
2014-05-20,4,3,187.29112172943826
2014-05-27,7,1,196.81623481867055
2014-06-03,4,2,243.04062536849202
2014-06-10,5,2,404.91886144196786
2014-06-17,6,3,209.32060217530037
2014-06-24,6,1,147.42485303268788
2014-07-01,11,2,166.79307191144673
2014-07-08,2,1,137.37682519833885
2014-07-15,6,2,140.48754077511217
2014-07-22,1,3,155.94506986717172
2014-07-29,1,2,298.2069429921869
2014-08-05,9,3,139.67325438478147
2014-08-12,6,1,160.70036123242247
2014-08-19,10,4,179.3079987275705
2014-08-26,4,2,163.36695528913728
2014-09-02,4,1,159.43086895464594
2014-09-09,12,2,226.75540812776185
2014-09-16,5,2,146.1602631492514
2014-09-23,12,1,180.41576560827042
2014-09-30,13,1,276.47272386661024
2014-10-07,7,3,139.1459922251779
2014-10-14,2,1,152.04505023034338
2014-10-21,18,2,246.6772056028548
2014-10-28,11,1,136.31682277886873
2014-11-04,10,1,253.44086610736613
2014-11-11,7,2,257.6468447681421
2014-11-18,10,3,186.87088419911237
2014-11-25,12,1,274.94788852869914
2014-12-02,8,3,137.09312145742055
2014-12-09,10,1,172.3259357748943
2014-12-16,4,2,285.6871746826183
2014-12-23,10,2,495.2882125540938
2014-12-30,10,4,332.09030297819413
2015-01-06,6,2,248.35054791827682
2015-01-13,0,1,561.4532172606861
2015-01-20,5,1,420.0155329557245
2015-01-27,11,1,373.68156357895623
2015-02-03,11,2,257.8005248936521
2015-02-10,6,3,326.56035948676515
2015-02-17,3,1,149.5321143636963
2015-02-24,5,2,440.2742787602143
2015-03-03,3,2,554.3660717559613
2015-03-10,13,1,682.1520523495877
2015-03-17,3,1,303.8131549129461
2015-03-24,5,3,298.17619981454703
2015-03-31,4,2,423.2912271239933
2015-04-07,7,1,246.4975965335192
2015-04-14,3,1,342.4292332945135
2015-04-21,2,2,234.14962279554803
2015-04-28,6,3,332.71173667702703
2015-05-05,4,3,149.19325503302005
2015-05-12,3,3,265.90064407708246
2015-05-19,4,1,166.10572139187138
2015-05-26,5,3,424.21587223399627
2015-06-02,4,1,521.205637585472
2015-06-09,21,2,153.58090466533105
2015-06-16,36,3,255.08887156713573
2015-06-23,64,1,289.82086896348864
2015-06-30,40,4,366.22390840471627
2015-07-07,31,1,395.0797204133365
2015-07-14,30,1,256.33725884144656
2015-07-21,20,1,170.05455882654155
2015-07-28,44,2,167.40125553286424
2015-08-04,44,3,235.92941842583141
2015-08-11,45,2,346.22682005880586
2015-08-18,45,3,250.10940562030984
2015-08-25,46,2,184.16361515872
2015-09-01,55,1,158.09857216652804
2015-09-08,59,1,159.48634255670626
2015-09-15,52,1,109.51373860244844
2015-09-22,35,2,113.74050490935385
2015-09-29,9,1,111.98832726397829
2015-10-06,52,2,179.33014961084587
2015-10-13,55,2,160.8471932462714
2015-10-20,73,3,163.4515018239031
2015-10-27,62,2,168.615227660215
2015-11-03,52,3,291.1016957598875
2015-11-10,67,4,285.3556267215885
2015-11-17,58,3,326.24725053629464
2015-11-24,51,3,240.7493585719894
2015-12-01,62,3,192.87500703128867
2015-12-08,50,2,279.0021568963129
2015-12-15,53,4,252.95216505675717
2015-12-22,79,3,312.95432888928326
2015-12-29,88,2,260.96747248340944
2016-01-05,57,1,224.60387261386262
2016-01-12,46,3,272.53554929695355
2016-01-19,74,1,314.76692150716383
2016-01-26,50,2,261.72855514677786
2016-02-02,49,3,573.9611911012443
2016-02-09,56,3,341.07581848222117
2016-02-16,53,2,267.3044494316712
2016-02-23,58,2,361.3467327149136
2016-03-01,58,3,337.9712768425143
2016-03-08,39,1,329.79149330207736
2016-03-15,36,1,195.8279900957951
2016-03-22,39,1,384.22284560928114
2016-03-29,42,1,345.47184813590286
2016-04-05,66,1,448.5169734055944
2016-04-12,54,1,217.9044497232859
2016-04-19,60,4,314.6206340298981
2016-04-26,64,4,308.9577462080223
2016-05-03,53,4,289.07492072540987
