date,demand,civilians_rank,distance
2014-02-11,9,2,218.85776293262637
2014-02-18,9,3,204.7022408968745
2014-02-25,7,1,286.27106063670925
2014-03-04,6,2,294.488256667718
2014-03-11,20,3,265.3044797036781
2014-03-18,11,2,174.03377815168446
2014-03-25,10,4,272.1721601004583
2014-04-01,14,2,343.74132623942324
2014-04-08,13,4,291.0480789590852
2014-04-15,15,4,159.08227711159182
2014-04-22,17,2,216.76438695832738
2014-04-29,8,3,155.21691544524538
2014-05-06,8,3,187.4942119712016
2014-05-13,20,3,233.25704472194283
2014-05-20,19,3,187.29112172943826
2014-05-27,13,1,196.81623481867055
2014-06-03,15,2,243.04062536849202
2014-06-10,17,2,404.91886144196786
2014-06-17,17,3,209.32060217530037
2014-06-24,9,1,147.42485303268788
2014-07-01,6,2,166.79307191144673
2014-07-08,8,1,137.37682519833885
2014-07-15,7,2,140.48754077511217
2014-07-22,15,3,155.94506986717172
2014-07-29,10,2,298.2069429921869
2014-08-05,1,3,139.67325438478147
2014-08-12,13,1,160.70036123242247
2014-08-19,13,4,179.3079987275705
2014-08-26,7,2,163.36695528913728
2014-09-02,12,1,159.43086895464594
2014-09-09,4,2,226.75540812776185
2014-09-16,22,2,146.1602631492514
2014-09-23,6,1,180.41576560827042
2014-09-30,21,1,276.47272386661024
2014-10-07,13,3,139.1459922251779
2014-10-14,6,1,152.04505023034338
2014-10-21,28,2,246.6772056028548
2014-10-28,28,1,136.31682277886873
2014-11-04,22,1,253.44086610736613
2014-11-11,11,2,257.6468447681421
2014-11-18,29,3,186.87088419911237
2014-11-25,24,1,274.94788852869914
2014-12-02,27,3,137.09312145742055
2014-12-09,10,1,172.3259357748943
2014-12-16,30,2,285.6871746826183
2014-12-23,14,2,495.2882125540938
2014-12-30,12,4,332.09030297819413
2015-01-06,6,2,248.35054791827682
2015-01-13,0,1,561.4532172606861
2015-01-20,7,1,420.0155329557245
2015-01-27,20,1,373.68156357895623
2015-02-03,11,2,257.8005248936521
2015-02-10,21,3,326.56035948676515
2015-02-17,0,1,149.5321143636963
2015-02-24,9,2,440.2742787602143
2015-03-03,15,2,554.3660717559613
2015-03-10,12,1,682.1520523495877
2015-03-17,12,1,303.8131549129461
2015-03-24,3,3,298.17619981454703
2015-03-31,17,2,423.2912271239933
2015-04-07,16,1,246.4975965335192
2015-04-14,14,1,342.4292332945135
2015-04-21,17,2,234.14962279554803
2015-04-28,8,3,332.71173667702703
2015-05-05,9,3,149.19325503302005
2015-05-12,13,3,265.90064407708246
2015-05-19,17,1,166.10572139187138
2015-05-26,7,3,424.21587223399627
2015-06-02,9,1,521.205637585472
2015-06-09,23,2,153.58090466533105
2015-06-16,96,3,255.08887156713573
2015-06-23,71,1,289.82086896348864
2015-06-30,47,4,366.22390840471627
2015-07-07,84,1,395.0797204133365
2015-07-14,67,1,256.33725884144656
2015-07-21,28,1,170.05455882654155
2015-07-28,91,2,167.40125553286424
2015-08-04,96,3,235.92941842583141
2015-08-11,73,2,346.22682005880586
2015-08-18,78,3,250.10940562030984
2015-08-25,69,2,184.16361515872
2015-09-01,71,1,158.09857216652804
2015-09-08,68,1,159.48634255670626
2015-09-15,56,1,109.51373860244844
2015-09-22,79,2,113.74050490935385
2015-09-29,23,1,111.98832726397829
2015-10-06,87,2,179.33014961084587
2015-10-13,88,2,160.8471932462714
2015-10-20,79,3,163.4515018239031
2015-10-27,100,2,168.615227660215
