date,demand,civilians_rank,distance
2015-04-14,6,1,342.4292332945135
2015-04-21,4,2,234.14962279554803
2015-04-28,3,3,332.71173667702703
2015-05-05,3,3,149.19325503302005
2015-05-12,3,3,265.90064407708246
2015-05-19,3,1,166.10572139187138
2015-05-26,7,3,424.21587223399627
2015-06-02,1,1,521.205637585472
2015-06-09,5,2,153.58090466533105
2015-06-16,20,3,255.08887156713573
2015-06-23,29,1,289.82086896348864
2015-06-30,27,4,366.22390840471627
2015-07-07,37,1,395.0797204133365
2015-07-14,28,1,256.33725884144656
2015-07-21,15,1,170.05455882654155
2015-07-28,39,2,167.40125553286424
2015-08-04,35,3,235.92941842583141
2015-08-11,28,2,346.22682005880586
2015-08-18,37,3,250.10940562030984
2015-08-25,28,2,184.16361515872
2015-09-01,39,1,158.09857216652804
2015-09-08,30,1,159.48634255670626
2015-09-15,28,1,109.51373860244844
2015-09-22,37,2,113.74050490935385
2015-09-29,12,1,111.98832726397829
2015-10-06,56,2,179.33014961084587
2015-10-13,56,2,160.8471932462714
2015-10-20,89,3,163.4515018239031
2015-10-27,139,2,168.615227660215
2015-11-03,136,3,291.1016957598875
2015-11-10,130,4,285.3556267215885
2015-11-17,124,3,326.24725053629464
2015-11-24,105,3,240.7493585719894
2015-12-01,103,3,192.87500703128867
2015-12-08,116,2,279.0021568963129
2015-12-15,109,4,252.95216505675717
2015-12-22,89,3,312.95432888928326
2015-12-29,85,2,260.96747248340944
2016-01-05,32,1,224.60387261386262
2016-01-12,91,3,272.53554929695355
2016-01-19,65,1,314.76692150716383
2016-01-26,43,2,261.72855514677786
2016-02-02,65,3,573.9611911012443
2016-02-09,63,3,341.07581848222117
2016-02-16,85,2,267.3044494316712
2016-02-23,81,2,361.3467327149136
2016-03-01,67,3,337.9712768425143
2016-03-08,73,1,329.79149330207736
2016-03-15,84,1,195.8279900957951
2016-03-22,109,1,384.22284560928114
2016-03-29,130,1,345.47184813590286
2016-04-05,110,1,448.5169734055944
2016-04-12,114,1,217.9044497232859
2016-04-19,127,4,314.6206340298981
2016-04-26,139,4,308.9577462080223
2016-05-03,127,4,289.07492072540987
2016-05-10,92,3,348.24398694294007
2016-05-17,119,3,264.59467390634916
2016-05-24,131,4,321.2955316157468
2016-05-31,145,4,195.23944951432773
2016-06-07,161,4,328.10393951807947
2016-06-14,113,4,338.76437156629817
2016-06-21,85,4,277.4739780266264
2016-06-28,78,4,212.83331656493192
2016-07-05,72,4,262.7702987481591
2016-07-12,47,4,224.11951389030293
2016-07-19,91,4,221.61372138524345
2016-07-26,77,4,208.5502390934947
2016-08-02,63,4,218.1098352535269
2016-08-09,96,4,217.88368021716698
2016-08-16,78,4,234.58807799522208
2016-08-23,207,4,384.43834261652916
2016-08-30,135,4,190.3855949728634
2016-09-06,120,4,198.59322042197448
2016-09-13,70,4,191.15147551030282
2016-09-20,129,4,309.67532553171526
2016-09-27,123,4,330.978505754656
2016-10-04,136,4,206.3915172718752
2016-10-11,116,4,204.11149601297438
2016-10-18,136,4,192.49537575924742
2016-10-25,145,3,214.1571776622539
2016-11-01,113,3,191.9029872474057
2016-11-08,84,4,255.05908044557157
2016-11-15,104,4,195.82804893534302
2016-11-22,83,4,196.2342392420316
2016-11-29,63,4,193.42508526477852
2016-12-06,68,4,211.41133222677692
2016-12-13,67,4,220.8052436386959
2016-12-20,138,1,205.84777209139344
2016-12-27,161,3,166.34208095923196
2017-01-03,48,2,202.69176400416455
