date,demand,civilians_rank,w_{t-5}
2014-02-18,4,3,1.0
2014-02-25,3,1,4.0
2014-03-04,7,2,1.0
2014-03-11,7,3,3.0
2014-03-18,2,2,11.0
2014-03-25,3,4,4.0
2014-04-01,2,2,3.0
2014-04-08,8,4,7.0
2014-04-15,12,4,7.0
2014-04-22,7,2,2.0
2014-04-29,7,3,3.0
2014-05-06,4,3,2.0
2014-05-13,3,3,8.0
2014-05-20,4,3,12.0
2014-05-27,7,1,7.0
2014-06-03,4,2,7.0
2014-06-10,5,2,4.0
2014-06-17,6,3,3.0
2014-06-24,6,1,4.0
2014-07-01,11,2,7.0
2014-07-08,2,1,4.0
2014-07-15,6,2,5.0
2014-07-22,1,3,6.0
2014-07-29,1,2,6.0
2014-08-05,9,3,11.0
2014-08-12,6,1,2.0
2014-08-19,10,4,6.0
2014-08-26,4,2,1.0
2014-09-02,4,1,1.0
2014-09-09,12,2,9.0
2014-09-16,5,2,6.0
2014-09-23,12,1,10.0
2014-09-30,13,1,4.0
2014-10-07,7,3,4.0
2014-10-14,2,1,12.0
2014-10-21,18,2,5.0
2014-10-28,11,1,12.0
2014-11-04,10,1,13.0
2014-11-11,7,2,7.0
2014-11-18,10,3,2.0
2014-11-25,12,1,18.0
2014-12-02,8,3,11.0
2014-12-09,10,1,10.0
2014-12-16,4,2,7.0
2014-12-23,10,2,10.0
2014-12-30,10,4,12.0
2015-01-06,6,2,8.0
2015-01-13,0,1,10.0
2015-01-20,5,1,4.0
2015-01-27,11,1,10.0
2015-02-03,11,2,10.0
2015-02-10,6,3,6.0
2015-02-17,3,1,0.0
2015-02-24,5,2,5.0
2015-03-03,3,2,11.0
2015-03-10,13,1,11.0
2015-03-17,3,1,6.0
2015-03-24,5,3,3.0
2015-03-31,4,2,5.0
2015-04-07,7,1,3.0
2015-04-14,3,1,13.0
2015-04-21,2,2,3.0
2015-04-28,6,3,5.0
2015-05-05,4,3,4.0
2015-05-12,3,3,7.0
2015-05-19,4,1,3.0
2015-05-26,5,3,2.0
2015-06-02,4,1,6.0
2015-06-09,21,2,4.0
2015-06-16,36,3,3.0
2015-06-23,64,1,4.0
2015-06-30,40,4,5.0
2015-07-07,31,1,4.0
2015-07-14,30,1,21.0
2015-07-21,20,1,36.0
2015-07-28,44,2,64.0
2015-08-04,44,3,40.0
2015-08-11,45,2,31.0
2015-08-18,45,3,30.0
2015-08-25,46,2,20.0
2015-09-01,55,1,44.0
2015-09-08,59,1,44.0
2015-09-15,52,1,45.0
2015-09-22,35,2,45.0
2015-09-29,9,1,46.0
2015-10-06,52,2,55.0
2015-10-13,55,2,59.0
2015-10-20,73,3,52.0
2015-10-27,62,2,35.0
2015-11-03,52,3,9.0
2015-11-10,67,4,52.0
2015-11-17,58,3,55.0
2015-11-24,51,3,73.0
2015-12-01,62,3,62.0
2015-12-08,50,2,52.0
2015-12-15,53,4,67.0
2015-12-22,79,3,58.0
2015-12-29,88,2,51.0
2016-01-05,57,1,62.0
2016-01-12,46,3,50.0
2016-01-19,74,1,53.0
2016-01-26,50,2,79.0
2016-02-02,49,3,88.0
2016-02-09,56,3,57.0
2016-02-16,53,2,46.0
2016-02-23,58,2,74.0
2016-03-01,58,3,50.0
2016-03-08,39,1,49.0
2016-03-15,36,1,56.0
2016-03-22,39,1,53.0
2016-03-29,42,1,58.0
2016-04-05,66,1,58.0
2016-04-12,54,1,39.0
2016-04-19,60,4,36.0
2016-04-26,64,4,39.0
2016-05-03,53,4,42.0
2016-05-10,52,3,66.0
2016-05-17,61,3,54.0
2016-05-24,70,4,60.0
2016-05-31,77,4,64.0
2016-06-07,75,4,53.0
2016-06-14,64,4,52.0
2016-06-21,55,4,61.0
2016-06-28,74,4,70.0
2016-07-05,64,4,77.0
2016-07-12,38,4,75.0
2016-07-19,80,4,64.0
2016-07-26,105,4,55.0
2016-08-02,77,4,74.0
2016-08-09,98,4,64.0
2016-08-16,101,4,38.0
2016-08-23,108,4,80.0
2016-08-30,89,4,105.0
2016-09-06,85,4,77.0
2016-09-13,45,4,98.0
2016-09-20,121,4,101.0
2016-09-27,107,4,108.0
2016-10-04,142,4,89.0
2016-10-11,104,4,85.0
2016-10-18,81,4,45.0
2016-10-25,110,3,121.0
2016-11-01,126,3,107.0
2016-11-08,85,4,142.0
2016-11-15,119,4,104.0
2016-11-22,111,4,81.0
2016-11-29,88,4,110.0
2016-12-06,73,4,126.0
2016-12-13,100,4,85.0
2016-12-20,80,1,119.0
2016-12-27,184,3,111.0
2017-01-03,145,2,88.0
