date,demand,civilians_rank
2014-02-04,39,1
2014-02-11,48,2
2014-02-18,46,3
2014-02-25,45,1
2014-03-04,31,2
2014-03-11,33,3
2014-03-18,51,2
2014-03-25,47,4
2014-04-01,58,2
2014-04-08,44,4
2014-04-15,52,4
2014-04-22,60,2
2014-04-29,61,3
2014-05-06,42,3
2014-05-13,48,3
2014-05-20,60,3
2014-05-27,51,1
2014-06-03,61,2
2014-06-10,56,2
2014-06-17,62,3
2014-06-24,61,1
2014-07-01,36,2
2014-07-08,50,1
2014-07-15,26,2
2014-07-22,40,3
2014-07-29,18,2
2014-08-05,51,3
2014-08-12,38,1
2014-08-19,41,4
2014-08-26,48,2
2014-09-02,32,1
2014-09-09,51,2
2014-09-16,36,2
2014-09-23,36,1
2014-09-30,42,1
2014-10-07,23,3
2014-10-14,60,1
2014-10-21,47,2
2014-10-28,37,1
2014-11-04,50,1
2014-11-11,50,2
2014-11-18,87,3
2014-11-25,43,1
2014-12-02,53,3
2014-12-09,28,1
2014-12-16,44,2
2014-12-23,28,2
2014-12-30,44,4
2015-01-06,10,2
2015-01-13,38,1
2015-01-20,29,1
2015-01-27,48,1
2015-02-03,40,2
2015-02-10,36,3
2015-02-17,34,1
2015-02-24,48,2
2015-03-03,44,2
2015-03-10,16,1
2015-03-17,66,1
2015-03-24,51,3
2015-03-31,30,2
2015-04-07,65,1
2015-04-14,67,1
2015-04-21,38,2
2015-04-28,35,3
2015-05-05,65,3
2015-05-12,54,3
2015-05-19,44,1
2015-05-26,47,3
2015-06-02,50,1
2015-06-09,64,2
2015-06-16,74,3
2015-06-23,39,1
2015-06-30,40,4
2015-07-07,29,1
2015-07-14,11,1
2015-07-21,24,1
2015-07-28,68,2
2015-08-04,58,3
2015-08-11,37,2
2015-08-18,60,3
2015-08-25,41,2
2015-09-01,47,1
2015-09-08,56,1
2015-09-15,51,1
2015-09-22,62,2
2015-09-29,22,1
2015-10-06,63,2
2015-10-13,53,2
2015-10-20,67,3
2015-10-27,74,2
2015-11-03,64,3
2015-11-10,68,4
2015-11-17,54,3
2015-11-24,53,3
2015-12-01,60,3
2015-12-08,67,2
2015-12-15,74,4
2015-12-22,55,3
2015-12-29,52,2
2016-01-05,49,1
2016-01-12,45,3
2016-01-19,62,1
2016-01-26,71,2
2016-02-02,63,3
2016-02-09,36,3
2016-02-16,23,2
2016-02-23,19,2
2016-03-01,22,3
2016-03-08,32,1
2016-03-15,38,1
2016-03-22,64,1
2016-03-29,54,1
2016-04-05,54,1
2016-04-12,76,1
2016-04-19,74,4
2016-04-26,74,4
2016-05-03,79,4
2016-05-10,57,3
2016-05-17,80,3
2016-05-24,88,4
2016-05-31,75,4
2016-06-07,78,4
2016-06-14,24,4
2016-06-21,57,4
2016-06-28,59,4
2016-07-05,35,4
2016-07-12,31,4
2016-07-19,112,4
2016-07-26,107,4
2016-08-02,81,4
2016-08-09,83,4
2016-08-16,67,4
2016-08-23,92,4
2016-08-30,72,4
2016-09-06,53,4
2016-09-13,26,4
2016-09-20,37,4
2016-09-27,61,4
2016-10-04,77,4
2016-10-11,83,4
2016-10-18,69,4
2016-10-25,70,3
2016-11-01,44,3
2016-11-08,59,4
2016-11-15,62,4
2016-11-22,41,4
2016-11-29,60,4
2016-12-06,41,4
2016-12-13,37,4
2016-12-20,52,1
2016-12-27,48,3
2017-01-03,27,2
