date,demand,civilians_rank,w_{t-5}
2015-04-14,6,1,1.0
2015-04-21,4,2,3.0
2015-04-28,3,3,2.0
2015-05-05,3,3,7.0
2015-05-12,3,3,4.0
2015-05-19,3,1,6.0
2015-05-26,7,3,4.0
2015-06-02,1,1,3.0
2015-06-09,5,2,3.0
2015-06-16,20,3,3.0
2015-06-23,29,1,3.0
2015-06-30,27,4,7.0
2015-07-07,37,1,1.0
2015-07-14,28,1,5.0
2015-07-21,15,1,20.0
2015-07-28,39,2,29.0
2015-08-04,35,3,27.0
2015-08-11,28,2,37.0
2015-08-18,37,3,28.0
2015-08-25,28,2,15.0
2015-09-01,39,1,39.0
2015-09-08,30,1,35.0
2015-09-15,28,1,28.0
2015-09-22,37,2,37.0
2015-09-29,12,1,28.0
2015-10-06,56,2,39.0
2015-10-13,56,2,30.0
2015-10-20,89,3,28.0
2015-10-27,139,2,37.0
2015-11-03,136,3,12.0
2015-11-10,130,4,56.0
2015-11-17,124,3,56.0
2015-11-24,105,3,89.0
2015-12-01,103,3,139.0
2015-12-08,116,2,136.0
2015-12-15,109,4,130.0
2015-12-22,89,3,124.0
2015-12-29,85,2,105.0
2016-01-05,32,1,103.0
2016-01-12,91,3,116.0
2016-01-19,65,1,109.0
2016-01-26,43,2,89.0
2016-02-02,65,3,85.0
2016-02-09,63,3,32.0
2016-02-16,85,2,91.0
2016-02-23,81,2,65.0
2016-03-01,67,3,43.0
2016-03-08,73,1,65.0
2016-03-15,84,1,63.0
2016-03-22,109,1,85.0
2016-03-29,130,1,81.0
2016-04-05,110,1,67.0
2016-04-12,114,1,73.0
2016-04-19,127,4,84.0
2016-04-26,139,4,109.0
2016-05-03,127,4,130.0
2016-05-10,92,3,110.0
2016-05-17,119,3,114.0
2016-05-24,131,4,127.0
2016-05-31,145,4,139.0
2016-06-07,161,4,127.0
2016-06-14,113,4,92.0
2016-06-21,85,4,119.0
2016-06-28,78,4,131.0
2016-07-05,72,4,145.0
2016-07-12,47,4,161.0
2016-07-19,91,4,113.0
2016-07-26,77,4,85.0
2016-08-02,63,4,78.0
2016-08-09,96,4,72.0
2016-08-16,78,4,47.0
2016-08-23,207,4,91.0
2016-08-30,135,4,77.0
2016-09-06,120,4,63.0
2016-09-13,70,4,96.0
2016-09-20,129,4,78.0
2016-09-27,123,4,207.0
2016-10-04,136,4,135.0
2016-10-11,116,4,120.0
2016-10-18,136,4,70.0
2016-10-25,145,3,129.0
2016-11-01,113,3,123.0
2016-11-08,84,4,136.0
2016-11-15,104,4,116.0
2016-11-22,83,4,136.0
2016-11-29,63,4,145.0
2016-12-06,68,4,113.0
2016-12-13,67,4,84.0
2016-12-20,138,1,104.0
2016-12-27,161,3,83.0
2017-01-03,48,2,63.0
