date,demand,civilians_rank,w_{t-5}
2014-02-11,62,2,45.0
2014-02-18,106,3,21.0
2014-02-25,60,1,69.0
2014-03-04,49,2,51.0
2014-03-11,82,3,67.0
2014-03-18,106,2,62.0
2014-03-25,61,4,106.0
2014-04-01,89,2,60.0
2014-04-08,80,4,49.0
2014-04-15,68,4,82.0
2014-04-22,70,2,106.0
2014-04-29,58,3,61.0
2014-05-06,65,3,89.0
2014-05-13,114,3,80.0
2014-05-20,94,3,68.0
2014-05-27,103,1,70.0
2014-06-03,95,2,58.0
2014-06-10,114,2,65.0
2014-06-17,67,3,114.0
2014-06-24,51,1,94.0
2014-07-01,58,2,103.0
2014-07-08,86,1,95.0
2014-07-15,50,2,114.0
2014-07-22,44,3,67.0
2014-07-29,38,2,51.0
2014-08-05,39,3,58.0
2014-08-12,39,1,86.0
2014-08-19,60,4,50.0
2014-08-26,68,2,44.0
2014-09-02,78,1,38.0
2014-09-09,61,2,39.0
2014-09-16,62,2,39.0
2014-09-23,51,1,60.0
2014-09-30,52,1,68.0
2014-10-07,16,3,78.0
2014-10-14,63,1,61.0
2014-10-21,64,2,62.0
2014-10-28,75,1,51.0
2014-11-04,50,1,52.0
2014-11-11,73,2,16.0
2014-11-18,88,3,63.0
2014-11-25,51,1,64.0
2014-12-02,67,3,75.0
2014-12-09,68,1,50.0
2014-12-16,74,2,73.0
2014-12-23,56,2,88.0
2014-12-30,64,4,51.0
2015-01-06,64,2,67.0
2015-01-13,64,1,68.0
2015-01-20,85,1,74.0
2015-01-27,95,1,56.0
2015-02-03,102,2,64.0
2015-02-10,63,3,64.0
2015-02-17,88,1,64.0
2015-02-24,73,2,85.0
2015-03-03,107,2,95.0
2015-03-10,93,1,102.0
2015-03-17,73,1,63.0
2015-03-24,72,3,88.0
2015-03-31,66,2,73.0
2015-04-07,57,1,107.0
2015-04-14,71,1,93.0
2015-04-21,77,2,73.0
2015-04-28,56,3,72.0
2015-05-05,60,3,66.0
2015-05-12,60,3,57.0
2015-05-19,60,1,71.0
2015-05-26,77,3,77.0
2015-06-02,71,1,56.0
2015-06-09,94,2,60.0
2015-06-16,80,3,60.0
2015-06-23,78,1,60.0
2015-06-30,56,4,77.0
2015-07-07,55,1,71.0
2015-07-14,30,1,94.0
2015-07-21,38,1,80.0
2015-07-28,34,2,78.0
2015-08-04,44,3,56.0
2015-08-11,46,2,55.0
2015-08-18,65,3,30.0
2015-08-25,39,2,38.0
2015-09-01,46,1,34.0
2015-09-08,73,1,44.0
2015-09-15,60,1,46.0
2015-09-22,70,2,65.0
2015-09-29,47,1,39.0
2015-10-06,64,2,46.0
2015-10-13,68,2,73.0
2015-10-20,66,3,60.0
2015-10-27,64,2,70.0
2015-11-03,82,3,47.0
2015-11-10,88,4,64.0
2015-11-17,64,3,68.0
2015-11-24,69,3,66.0
2015-12-01,63,3,64.0
2015-12-08,89,2,82.0
2015-12-15,71,4,88.0
2015-12-22,66,3,64.0
2015-12-29,60,2,69.0
2016-01-05,46,1,63.0
2016-01-12,58,3,89.0
2016-01-19,82,1,71.0
2016-01-26,73,2,66.0
2016-02-02,97,3,60.0
2016-02-09,110,3,46.0
2016-02-16,125,2,58.0
2016-02-23,98,2,82.0
2016-03-01,115,3,73.0
2016-03-08,77,1,97.0
2016-03-15,90,1,110.0
2016-03-22,86,1,125.0
2016-03-29,81,1,98.0
2016-04-05,67,1,115.0
2016-04-12,91,1,77.0
2016-04-19,95,4,90.0
2016-04-26,78,4,86.0
2016-05-03,93,4,81.0
2016-05-10,85,3,67.0
2016-05-17,84,3,91.0
2016-05-24,86,4,95.0
2016-05-31,59,4,78.0
2016-06-07,64,4,93.0
2016-06-14,70,4,85.0
2016-06-21,74,4,84.0
2016-06-28,62,4,86.0
2016-07-05,42,4,59.0
2016-07-12,33,4,64.0
2016-07-19,53,4,70.0
2016-07-26,42,4,74.0
2016-08-02,64,4,62.0
2016-08-09,45,4,42.0
2016-08-16,52,4,33.0
2016-08-23,37,4,53.0
2016-08-30,46,4,42.0
2016-09-06,56,4,64.0
2016-09-13,22,4,45.0
2016-09-20,57,4,52.0
2016-09-27,57,4,37.0
2016-10-04,87,4,46.0
2016-10-11,89,4,56.0
2016-10-18,95,4,22.0
2016-10-25,92,3,57.0
2016-11-01,74,3,57.0
2016-11-08,91,4,87.0
2016-11-15,75,4,89.0
2016-11-22,87,4,95.0
2016-11-29,96,4,92.0
2016-12-06,88,4,74.0
2016-12-13,128,4,91.0
2016-12-20,81,1,75.0
2016-12-27,58,3,87.0
2017-01-03,31,2,96.0
