date,demand,civilians_rank,w_{t-5}
2014-02-11,12,2,12.0
2014-02-18,5,3,8.0
2014-02-25,19,1,6.0
2014-03-04,9,2,6.0
2014-03-11,8,3,10.0
2014-03-18,29,2,12.0
2014-03-25,9,4,5.0
2014-04-01,7,2,19.0
2014-04-08,3,4,9.0
2014-04-15,4,4,8.0
2014-04-22,12,2,29.0
2014-04-29,4,3,9.0
2014-05-06,7,3,7.0
2014-05-13,3,3,3.0
2014-05-20,8,3,4.0
2014-05-27,10,1,12.0
2014-06-03,11,2,4.0
2014-06-10,12,2,7.0
2014-06-17,10,3,3.0
2014-06-24,4,1,8.0
2014-07-01,7,2,10.0
2014-07-08,7,1,11.0
2014-07-15,3,2,12.0
2014-07-22,12,3,10.0
2014-07-29,7,2,4.0
2014-08-05,9,3,7.0
2014-08-12,2,1,7.0
2014-08-19,14,4,3.0
2014-08-26,8,2,12.0
2014-09-02,2,1,7.0
2014-09-09,7,2,9.0
2014-09-16,18,2,2.0
2014-09-23,20,1,14.0
2014-09-30,0,1,8.0
2014-10-07,3,3,2.0
2014-10-14,11,1,7.0
2014-10-21,13,2,18.0
2014-10-28,14,1,20.0
2014-11-04,4,1,0.0
2014-11-11,10,2,3.0
2014-11-18,24,3,11.0
2014-11-25,12,1,13.0
2014-12-02,5,3,14.0
2014-12-09,20,1,4.0
2014-12-16,9,2,10.0
2014-12-23,7,2,24.0
2014-12-30,13,4,12.0
2015-01-06,7,2,5.0
2015-01-13,0,1,20.0
2015-01-20,2,1,9.0
2015-01-27,24,1,7.0
2015-02-03,2,2,13.0
2015-02-10,12,3,7.0
2015-02-17,2,1,0.0
2015-02-24,14,2,2.0
2015-03-03,19,2,24.0
2015-03-10,17,1,2.0
2015-03-17,20,1,12.0
2015-03-24,3,3,2.0
2015-03-31,16,2,14.0
2015-04-07,15,1,19.0
2015-04-14,5,1,17.0
2015-04-21,14,2,20.0
2015-04-28,5,3,3.0
2015-05-05,5,3,16.0
2015-05-12,1,3,15.0
2015-05-19,4,1,5.0
2015-05-26,8,3,14.0
2015-06-02,12,1,5.0
2015-06-09,6,2,5.0
2015-06-16,111,3,1.0
2015-06-23,86,1,4.0
2015-06-30,88,4,8.0
2015-07-07,89,1,12.0
2015-07-14,81,1,6.0
2015-07-21,39,1,111.0
2015-07-28,118,2,86.0
2015-08-04,100,3,88.0
2015-08-11,94,2,89.0
2015-08-18,79,3,81.0
2015-08-25,81,2,39.0
2015-09-01,69,1,118.0
2015-09-08,81,1,100.0
2015-09-15,80,1,94.0
2015-09-22,97,2,79.0
2015-09-29,36,1,81.0
2015-10-06,89,2,69.0
2015-10-13,110,2,81.0
2015-10-20,109,3,80.0
2015-10-27,117,2,97.0
2015-11-03,124,3,36.0
2015-11-10,111,4,89.0
2015-11-17,90,3,110.0
2015-11-24,103,3,109.0
2015-12-01,92,3,117.0
2015-12-08,91,2,124.0
2015-12-15,94,4,111.0
2015-12-22,89,3,90.0
2015-12-29,96,2,103.0
2016-01-05,62,1,92.0
2016-01-12,111,3,91.0
2016-01-19,84,1,94.0
2016-01-26,56,2,89.0
2016-02-02,57,3,96.0
2016-02-09,85,3,62.0
2016-02-16,94,2,111.0
2016-02-23,64,2,84.0
2016-03-01,78,3,56.0
2016-03-08,96,1,57.0
2016-03-15,64,1,85.0
2016-03-22,59,1,94.0
2016-03-29,57,1,64.0
2016-04-05,61,1,78.0
2016-04-12,72,1,96.0
2016-04-19,65,4,64.0
2016-04-26,64,4,59.0
2016-05-03,74,4,57.0
2016-05-10,70,3,61.0
2016-05-17,83,3,72.0
2016-05-24,78,4,65.0
2016-05-31,70,4,64.0
2016-06-07,93,4,74.0
2016-06-14,86,4,70.0
2016-06-21,76,4,83.0
2016-06-28,90,4,78.0
2016-07-05,64,4,70.0
2016-07-12,41,4,93.0
2016-07-19,110,4,86.0
2016-07-26,97,4,76.0
2016-08-02,78,4,90.0
2016-08-09,55,4,64.0
2016-08-16,86,4,41.0
2016-08-23,83,4,110.0
2016-08-30,98,4,97.0
2016-09-06,89,4,78.0
2016-09-13,62,4,55.0
2016-09-20,99,4,86.0
2016-09-27,97,4,83.0
2016-10-04,121,4,98.0
2016-10-11,127,4,89.0
2016-10-18,144,4,62.0
2016-10-25,130,3,99.0
2016-11-01,144,3,97.0
2016-11-08,143,4,121.0
2016-11-15,160,4,127.0
2016-11-22,167,4,144.0
2016-11-29,125,4,130.0
2016-12-06,107,4,144.0
2016-12-13,164,4,143.0
2016-12-20,160,1,160.0
2016-12-27,354,3,167.0
2017-01-03,170,2,125.0
