date,demand,civilians_rank,w_{t-5}
2014-02-11,11,2,11.0
2014-02-18,8,3,7.0
2014-02-25,15,1,9.0
2014-03-04,18,2,18.0
2014-03-11,24,3,0.0
2014-03-18,15,2,11.0
2014-03-25,19,4,8.0
2014-04-01,7,2,15.0
2014-04-08,19,4,18.0
2014-04-15,14,4,24.0
2014-04-22,6,2,15.0
2014-04-29,4,3,19.0
2014-05-06,15,3,7.0
2014-05-13,13,3,19.0
2014-05-20,48,3,14.0
2014-05-27,34,1,6.0
2014-06-03,7,2,4.0
2014-06-10,33,2,15.0
2014-06-17,33,3,13.0
2014-06-24,28,1,48.0
2014-07-01,17,2,34.0
2014-07-08,34,1,7.0
2014-07-15,49,2,33.0
2014-07-22,19,3,33.0
2014-07-29,18,2,28.0
2014-08-05,14,3,17.0
2014-08-12,45,1,34.0
2014-08-19,33,4,49.0
2014-08-26,26,2,19.0
2014-09-02,22,1,18.0
2014-09-09,34,2,14.0
2014-09-16,50,2,45.0
2014-09-23,66,1,33.0
2014-09-30,8,1,26.0
2014-10-07,20,3,22.0
2014-10-14,43,1,34.0
2014-10-21,43,2,50.0
2014-10-28,13,1,66.0
2014-11-04,11,1,8.0
2014-11-11,17,2,20.0
2014-11-18,44,3,43.0
2014-11-25,39,1,43.0
2014-12-02,9,3,13.0
2014-12-09,17,1,11.0
2014-12-16,47,2,17.0
2014-12-23,17,2,44.0
2014-12-30,33,4,39.0
2015-01-06,10,2,9.0
2015-01-13,36,1,17.0
2015-01-20,26,1,47.0
2015-01-27,26,1,17.0
2015-02-03,107,2,33.0
2015-02-10,163,3,10.0
2015-02-17,133,1,36.0
2015-02-24,158,2,26.0
2015-03-03,132,2,26.0
2015-03-10,142,1,107.0
2015-03-17,129,1,163.0
2015-03-24,186,3,133.0
2015-03-31,149,2,158.0
2015-04-07,189,1,132.0
2015-04-14,167,1,142.0
2015-04-21,235,2,129.0
2015-04-28,343,3,186.0
2015-05-05,244,3,149.0
2015-05-12,255,3,189.0
2015-05-19,316,1,167.0
2015-05-26,287,3,235.0
2015-06-02,312,1,343.0
2015-06-09,353,2,244.0
2015-06-16,325,3,255.0
2015-06-23,302,1,316.0
2015-06-30,249,4,287.0
2015-07-07,267,1,312.0
2015-07-14,236,1,353.0
2015-07-21,206,1,325.0
2015-07-28,376,2,302.0
2015-08-04,253,3,249.0
2015-08-11,313,2,267.0
2015-08-18,328,3,236.0
2015-08-25,264,2,206.0
2015-09-01,339,1,376.0
2015-09-08,234,1,253.0
2015-09-15,287,1,313.0
2015-09-22,433,2,328.0
2015-09-29,161,1,264.0
2015-10-06,296,2,339.0
2015-10-13,290,2,234.0
2015-10-20,286,3,287.0
2015-10-27,291,2,433.0
2015-11-03,275,3,161.0
2015-11-10,307,4,296.0
2015-11-17,236,3,290.0
2015-11-24,279,3,286.0
2015-12-01,256,3,291.0
2015-12-08,232,2,275.0
2015-12-15,331,4,307.0
2015-12-22,317,3,236.0
2015-12-29,263,2,279.0
2016-01-05,182,1,256.0
2016-01-12,324,3,232.0
2016-01-19,294,1,331.0
2016-01-26,325,2,317.0
2016-02-02,336,3,263.0
2016-02-09,297,3,182.0
2016-02-16,334,2,324.0
2016-02-23,312,2,294.0
2016-03-01,302,3,325.0
2016-03-08,322,1,336.0
2016-03-15,347,1,297.0
2016-03-22,330,1,334.0
2016-03-29,343,1,312.0
2016-04-05,259,1,302.0
2016-04-12,348,1,322.0
2016-04-19,394,4,347.0
2016-04-26,357,4,330.0
2016-05-03,320,4,343.0
2016-05-10,359,3,259.0
2016-05-17,352,3,348.0
2016-05-24,356,4,394.0
2016-05-31,254,4,357.0
2016-06-07,255,4,320.0
2016-06-14,348,4,359.0
2016-06-21,279,4,352.0
2016-06-28,322,4,356.0
2016-07-05,236,4,254.0
2016-07-12,182,4,255.0
2016-07-19,383,4,348.0
2016-07-26,314,4,279.0
2016-08-02,411,4,322.0
2016-08-09,348,4,236.0
2016-08-16,340,4,182.0
2016-08-23,257,4,383.0
2016-08-30,434,4,314.0
2016-09-06,335,4,411.0
2016-09-13,298,4,348.0
2016-09-20,252,4,340.0
2016-09-27,416,4,257.0
2016-10-04,405,4,434.0
2016-10-11,398,4,335.0
2016-10-18,382,4,298.0
2016-10-25,406,3,252.0
2016-11-01,312,3,416.0
2016-11-08,335,4,405.0
2016-11-15,246,4,398.0
2016-11-22,337,4,382.0
2016-11-29,353,4,406.0
2016-12-06,383,4,312.0
2016-12-13,428,4,335.0
2016-12-20,400,1,246.0
2016-12-27,332,3,337.0
2017-01-03,182,2,353.0
