date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-11,22,39.0,34.0,48.0,28.0,21.0
2014-02-18,15,22.0,39.0,34.0,48.0,28.0
2014-02-25,27,15.0,22.0,39.0,34.0,48.0
2014-03-04,30,27.0,15.0,22.0,39.0,34.0
2014-03-11,83,30.0,27.0,15.0,22.0,39.0
2014-03-18,44,83.0,30.0,27.0,15.0,22.0
2014-03-25,29,44.0,83.0,30.0,27.0,15.0
2014-04-01,56,29.0,44.0,83.0,30.0,27.0
2014-04-08,14,56.0,29.0,44.0,83.0,30.0
2014-04-15,29,14.0,56.0,29.0,44.0,83.0
2014-04-22,46,29.0,14.0,56.0,29.0,44.0
2014-04-29,18,46.0,29.0,14.0,56.0,29.0
2014-05-06,20,18.0,46.0,29.0,14.0,56.0
2014-05-13,24,20.0,18.0,46.0,29.0,14.0
2014-05-20,48,24.0,20.0,18.0,46.0,29.0
2014-05-27,33,48.0,24.0,20.0,18.0,46.0
2014-06-03,41,33.0,48.0,24.0,20.0,18.0
2014-06-10,34,41.0,33.0,48.0,24.0,20.0
2014-06-17,16,34.0,41.0,33.0,48.0,24.0
2014-06-24,22,16.0,34.0,41.0,33.0,48.0
2014-07-01,34,22.0,16.0,34.0,41.0,33.0
2014-07-08,29,34.0,22.0,16.0,34.0,41.0
2014-07-15,20,29.0,34.0,22.0,16.0,34.0
2014-07-22,25,20.0,29.0,34.0,22.0,16.0
2014-07-29,6,25.0,20.0,29.0,34.0,22.0
2014-08-05,17,6.0,25.0,20.0,29.0,34.0
2014-08-12,31,17.0,6.0,25.0,20.0,29.0
2014-08-19,20,31.0,17.0,6.0,25.0,20.0
2014-08-26,25,20.0,31.0,17.0,6.0,25.0
2014-09-02,31,25.0,20.0,31.0,17.0,6.0
2014-09-09,57,31.0,25.0,20.0,31.0,17.0
2014-09-16,32,57.0,31.0,25.0,20.0,31.0
2014-09-23,44,32.0,57.0,31.0,25.0,20.0
2014-09-30,45,44.0,32.0,57.0,31.0,25.0
2014-10-07,6,45.0,44.0,32.0,57.0,31.0
2014-10-14,45,6.0,45.0,44.0,32.0,57.0
2014-10-21,52,45.0,6.0,45.0,44.0,32.0
2014-10-28,34,52.0,45.0,6.0,45.0,44.0
2014-11-04,59,34.0,52.0,45.0,6.0,45.0
2014-11-11,59,59.0,34.0,52.0,45.0,6.0
2014-11-18,49,59.0,59.0,34.0,52.0,45.0
2014-11-25,44,49.0,59.0,59.0,34.0,52.0
2014-12-02,42,44.0,49.0,59.0,59.0,34.0
2014-12-09,58,42.0,44.0,49.0,59.0,59.0
2014-12-16,56,58.0,42.0,44.0,49.0,59.0
2014-12-23,61,56.0,58.0,42.0,44.0,49.0
2014-12-30,59,61.0,56.0,58.0,42.0,44.0
2015-01-06,32,59.0,61.0,56.0,58.0,42.0
2015-01-13,44,32.0,59.0,61.0,56.0,58.0
2015-01-20,51,44.0,32.0,59.0,61.0,56.0
2015-01-27,66,51.0,44.0,32.0,59.0,61.0
2015-02-03,66,66.0,51.0,44.0,32.0,59.0
2015-02-10,49,66.0,66.0,51.0,44.0,32.0
2015-02-17,48,49.0,66.0,66.0,51.0,44.0
2015-02-24,58,48.0,49.0,66.0,66.0,51.0
2015-03-03,54,58.0,48.0,49.0,66.0,66.0
2015-03-10,76,54.0,58.0,48.0,49.0,66.0
2015-03-17,82,76.0,54.0,58.0,48.0,49.0
2015-03-24,64,82.0,76.0,54.0,58.0,48.0
2015-03-31,72,64.0,82.0,76.0,54.0,58.0
2015-04-07,85,72.0,64.0,82.0,76.0,54.0
2015-04-14,63,85.0,72.0,64.0,82.0,76.0
2015-04-21,60,63.0,85.0,72.0,64.0,82.0
2015-04-28,66,60.0,63.0,85.0,72.0,64.0
2015-05-05,61,66.0,60.0,63.0,85.0,72.0
2015-05-12,54,61.0,66.0,60.0,63.0,85.0
2015-05-19,41,54.0,61.0,66.0,60.0,63.0
2015-05-26,46,41.0,54.0,61.0,66.0,60.0
2015-06-02,40,46.0,41.0,54.0,61.0,66.0
2015-06-09,48,40.0,46.0,41.0,54.0,61.0
2015-06-16,45,48.0,40.0,46.0,41.0,54.0
2015-06-23,45,45.0,48.0,40.0,46.0,41.0
2015-06-30,53,45.0,45.0,48.0,40.0,46.0
2015-07-07,54,53.0,45.0,45.0,48.0,40.0
2015-07-14,44,54.0,53.0,45.0,45.0,48.0
2015-07-21,35,44.0,54.0,53.0,45.0,45.0
2015-07-28,68,35.0,44.0,54.0,53.0,45.0
2015-08-04,69,68.0,35.0,44.0,54.0,53.0
2015-08-11,39,69.0,68.0,35.0,44.0,54.0
2015-08-18,53,39.0,69.0,68.0,35.0,44.0
2015-08-25,59,53.0,39.0,69.0,68.0,35.0
2015-09-01,57,59.0,53.0,39.0,69.0,68.0
2015-09-08,60,57.0,59.0,53.0,39.0,69.0
2015-09-15,73,60.0,57.0,59.0,53.0,39.0
2015-09-22,64,73.0,60.0,57.0,59.0,53.0
2015-09-29,31,64.0,73.0,60.0,57.0,59.0
2015-10-06,85,31.0,64.0,73.0,60.0,57.0
2015-10-13,60,85.0,31.0,64.0,73.0,60.0
2015-10-20,73,60.0,85.0,31.0,64.0,73.0
2015-10-27,62,73.0,60.0,85.0,31.0,64.0
2015-11-03,78,62.0,73.0,60.0,85.0,31.0
2015-11-10,78,78.0,62.0,73.0,60.0,85.0
2015-11-17,76,78.0,78.0,62.0,73.0,60.0
2015-11-24,69,76.0,78.0,78.0,62.0,73.0
2015-12-01,87,69.0,76.0,78.0,78.0,62.0
2015-12-08,91,87.0,69.0,76.0,78.0,78.0
2015-12-15,79,91.0,87.0,69.0,76.0,78.0
2015-12-22,107,79.0,91.0,87.0,69.0,76.0
2015-12-29,91,107.0,79.0,91.0,87.0,69.0
2016-01-05,82,91.0,107.0,79.0,91.0,87.0
2016-01-12,76,82.0,91.0,107.0,79.0,91.0
2016-01-19,72,76.0,82.0,91.0,107.0,79.0
2016-01-26,57,72.0,76.0,82.0,91.0,107.0
2016-02-02,66,57.0,72.0,76.0,82.0,91.0
2016-02-09,38,66.0,57.0,72.0,76.0,82.0
2016-02-16,28,38.0,66.0,57.0,72.0,76.0
2016-02-23,26,28.0,38.0,66.0,57.0,72.0
2016-03-01,21,26.0,28.0,38.0,66.0,57.0
2016-03-08,18,21.0,26.0,28.0,38.0,66.0
2016-03-15,33,18.0,21.0,26.0,28.0,38.0
2016-03-22,46,33.0,18.0,21.0,26.0,28.0
2016-03-29,51,46.0,33.0,18.0,21.0,26.0
2016-04-05,45,51.0,46.0,33.0,18.0,21.0
2016-04-12,32,45.0,51.0,46.0,33.0,18.0
2016-04-19,46,32.0,45.0,51.0,46.0,33.0
2016-04-26,65,46.0,32.0,45.0,51.0,46.0
2016-05-03,65,65.0,46.0,32.0,45.0,51.0
2016-05-10,69,65.0,65.0,46.0,32.0,45.0
2016-05-17,48,69.0,65.0,65.0,46.0,32.0
