date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-18,4,11.0,3.0,1.0,4.0,1.0
2014-02-25,3,4.0,11.0,3.0,1.0,4.0
2014-03-04,7,3.0,4.0,11.0,3.0,1.0
2014-03-11,7,7.0,3.0,4.0,11.0,3.0
2014-03-18,2,7.0,7.0,3.0,4.0,11.0
2014-03-25,3,2.0,7.0,7.0,3.0,4.0
2014-04-01,2,3.0,2.0,7.0,7.0,3.0
2014-04-08,8,2.0,3.0,2.0,7.0,7.0
2014-04-15,12,8.0,2.0,3.0,2.0,7.0
2014-04-22,7,12.0,8.0,2.0,3.0,2.0
2014-04-29,7,7.0,12.0,8.0,2.0,3.0
2014-05-06,4,7.0,7.0,12.0,8.0,2.0
2014-05-13,3,4.0,7.0,7.0,12.0,8.0
2014-05-20,4,3.0,4.0,7.0,7.0,12.0
2014-05-27,7,4.0,3.0,4.0,7.0,7.0
2014-06-03,4,7.0,4.0,3.0,4.0,7.0
2014-06-10,5,4.0,7.0,4.0,3.0,4.0
2014-06-17,6,5.0,4.0,7.0,4.0,3.0
2014-06-24,6,6.0,5.0,4.0,7.0,4.0
2014-07-01,11,6.0,6.0,5.0,4.0,7.0
2014-07-08,2,11.0,6.0,6.0,5.0,4.0
2014-07-15,6,2.0,11.0,6.0,6.0,5.0
2014-07-22,1,6.0,2.0,11.0,6.0,6.0
2014-07-29,1,1.0,6.0,2.0,11.0,6.0
2014-08-05,9,1.0,1.0,6.0,2.0,11.0
2014-08-12,6,9.0,1.0,1.0,6.0,2.0
2014-08-19,10,6.0,9.0,1.0,1.0,6.0
2014-08-26,4,10.0,6.0,9.0,1.0,1.0
2014-09-02,4,4.0,10.0,6.0,9.0,1.0
2014-09-09,12,4.0,4.0,10.0,6.0,9.0
2014-09-16,5,12.0,4.0,4.0,10.0,6.0
2014-09-23,12,5.0,12.0,4.0,4.0,10.0
2014-09-30,13,12.0,5.0,12.0,4.0,4.0
2014-10-07,7,13.0,12.0,5.0,12.0,4.0
2014-10-14,2,7.0,13.0,12.0,5.0,12.0
2014-10-21,18,2.0,7.0,13.0,12.0,5.0
2014-10-28,11,18.0,2.0,7.0,13.0,12.0
2014-11-04,10,11.0,18.0,2.0,7.0,13.0
2014-11-11,7,10.0,11.0,18.0,2.0,7.0
2014-11-18,10,7.0,10.0,11.0,18.0,2.0
2014-11-25,12,10.0,7.0,10.0,11.0,18.0
2014-12-02,8,12.0,10.0,7.0,10.0,11.0
2014-12-09,10,8.0,12.0,10.0,7.0,10.0
2014-12-16,4,10.0,8.0,12.0,10.0,7.0
2014-12-23,10,4.0,10.0,8.0,12.0,10.0
2014-12-30,10,10.0,4.0,10.0,8.0,12.0
2015-01-06,6,10.0,10.0,4.0,10.0,8.0
2015-01-13,0,6.0,10.0,10.0,4.0,10.0
2015-01-20,5,0.0,6.0,10.0,10.0,4.0
2015-01-27,11,5.0,0.0,6.0,10.0,10.0
2015-02-03,11,11.0,5.0,0.0,6.0,10.0
2015-02-10,6,11.0,11.0,5.0,0.0,6.0
2015-02-17,3,6.0,11.0,11.0,5.0,0.0
2015-02-24,5,3.0,6.0,11.0,11.0,5.0
2015-03-03,3,5.0,3.0,6.0,11.0,11.0
2015-03-10,13,3.0,5.0,3.0,6.0,11.0
2015-03-17,3,13.0,3.0,5.0,3.0,6.0
2015-03-24,5,3.0,13.0,3.0,5.0,3.0
2015-03-31,4,5.0,3.0,13.0,3.0,5.0
2015-04-07,7,4.0,5.0,3.0,13.0,3.0
2015-04-14,3,7.0,4.0,5.0,3.0,13.0
2015-04-21,2,3.0,7.0,4.0,5.0,3.0
2015-04-28,6,2.0,3.0,7.0,4.0,5.0
2015-05-05,4,6.0,2.0,3.0,7.0,4.0
2015-05-12,3,4.0,6.0,2.0,3.0,7.0
2015-05-19,4,3.0,4.0,6.0,2.0,3.0
2015-05-26,5,4.0,3.0,4.0,6.0,2.0
2015-06-02,4,5.0,4.0,3.0,4.0,6.0
2015-06-09,21,4.0,5.0,4.0,3.0,4.0
2015-06-16,36,21.0,4.0,5.0,4.0,3.0
2015-06-23,64,36.0,21.0,4.0,5.0,4.0
2015-06-30,40,64.0,36.0,21.0,4.0,5.0
2015-07-07,31,40.0,64.0,36.0,21.0,4.0
2015-07-14,30,31.0,40.0,64.0,36.0,21.0
2015-07-21,20,30.0,31.0,40.0,64.0,36.0
2015-07-28,44,20.0,30.0,31.0,40.0,64.0
2015-08-04,44,44.0,20.0,30.0,31.0,40.0
2015-08-11,45,44.0,44.0,20.0,30.0,31.0
2015-08-18,45,45.0,44.0,44.0,20.0,30.0
2015-08-25,46,45.0,45.0,44.0,44.0,20.0
2015-09-01,55,46.0,45.0,45.0,44.0,44.0
2015-09-08,59,55.0,46.0,45.0,45.0,44.0
2015-09-15,52,59.0,55.0,46.0,45.0,45.0
2015-09-22,35,52.0,59.0,55.0,46.0,45.0
2015-09-29,9,35.0,52.0,59.0,55.0,46.0
2015-10-06,52,9.0,35.0,52.0,59.0,55.0
2015-10-13,55,52.0,9.0,35.0,52.0,59.0
2015-10-20,73,55.0,52.0,9.0,35.0,52.0
2015-10-27,62,73.0,55.0,52.0,9.0,35.0
2015-11-03,52,62.0,73.0,55.0,52.0,9.0
2015-11-10,67,52.0,62.0,73.0,55.0,52.0
2015-11-17,58,67.0,52.0,62.0,73.0,55.0
2015-11-24,51,58.0,67.0,52.0,62.0,73.0
2015-12-01,62,51.0,58.0,67.0,52.0,62.0
2015-12-08,50,62.0,51.0,58.0,67.0,52.0
2015-12-15,53,50.0,62.0,51.0,58.0,67.0
2015-12-22,79,53.0,50.0,62.0,51.0,58.0
2015-12-29,88,79.0,53.0,50.0,62.0,51.0
2016-01-05,57,88.0,79.0,53.0,50.0,62.0
2016-01-12,46,57.0,88.0,79.0,53.0,50.0
2016-01-19,74,46.0,57.0,88.0,79.0,53.0
2016-01-26,50,74.0,46.0,57.0,88.0,79.0
2016-02-02,49,50.0,74.0,46.0,57.0,88.0
2016-02-09,56,49.0,50.0,74.0,46.0,57.0
2016-02-16,53,56.0,49.0,50.0,74.0,46.0
2016-02-23,58,53.0,56.0,49.0,50.0,74.0
2016-03-01,58,58.0,53.0,56.0,49.0,50.0
2016-03-08,39,58.0,58.0,53.0,56.0,49.0
2016-03-15,36,39.0,58.0,58.0,53.0,56.0
2016-03-22,39,36.0,39.0,58.0,58.0,53.0
2016-03-29,42,39.0,36.0,39.0,58.0,58.0
2016-04-05,66,42.0,39.0,36.0,39.0,58.0
2016-04-12,54,66.0,42.0,39.0,36.0,39.0
2016-04-19,60,54.0,66.0,42.0,39.0,36.0
2016-04-26,64,60.0,54.0,66.0,42.0,39.0
2016-05-03,53,64.0,60.0,54.0,66.0,42.0
2016-05-10,52,53.0,64.0,60.0,54.0,66.0
2016-05-17,61,52.0,53.0,64.0,60.0,54.0
2016-05-24,70,61.0,52.0,53.0,64.0,60.0
2016-05-31,77,70.0,61.0,52.0,53.0,64.0
2016-06-07,75,77.0,70.0,61.0,52.0,53.0
2016-06-14,64,75.0,77.0,70.0,61.0,52.0
2016-06-21,55,64.0,75.0,77.0,70.0,61.0
2016-06-28,74,55.0,64.0,75.0,77.0,70.0
2016-07-05,64,74.0,55.0,64.0,75.0,77.0
2016-07-12,38,64.0,74.0,55.0,64.0,75.0
2016-07-19,80,38.0,64.0,74.0,55.0,64.0
2016-07-26,105,80.0,38.0,64.0,74.0,55.0
2016-08-02,77,105.0,80.0,38.0,64.0,74.0
2016-08-09,98,77.0,105.0,80.0,38.0,64.0
2016-08-16,101,98.0,77.0,105.0,80.0,38.0
2016-08-23,108,101.0,98.0,77.0,105.0,80.0
2016-08-30,89,108.0,101.0,98.0,77.0,105.0
2016-09-06,85,89.0,108.0,101.0,98.0,77.0
2016-09-13,45,85.0,89.0,108.0,101.0,98.0
2016-09-20,121,45.0,85.0,89.0,108.0,101.0
2016-09-27,107,121.0,45.0,85.0,89.0,108.0
2016-10-04,142,107.0,121.0,45.0,85.0,89.0
2016-10-11,104,142.0,107.0,121.0,45.0,85.0
2016-10-18,81,104.0,142.0,107.0,121.0,45.0
2016-10-25,110,81.0,104.0,142.0,107.0,121.0
2016-11-01,126,110.0,81.0,104.0,142.0,107.0
2016-11-08,85,126.0,110.0,81.0,104.0,142.0
2016-11-15,119,85.0,126.0,110.0,81.0,104.0
2016-11-22,111,119.0,85.0,126.0,110.0,81.0
2016-11-29,88,111.0,119.0,85.0,126.0,110.0
2016-12-06,73,88.0,111.0,119.0,85.0,126.0
2016-12-13,100,73.0,88.0,111.0,119.0,85.0
2016-12-20,80,100.0,73.0,88.0,111.0,119.0
2016-12-27,184,80.0,100.0,73.0,88.0,111.0
2017-01-03,145,184.0,80.0,100.0,73.0,88.0
