date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4}
2014-02-04,39,40.0,51.0,44.0,18.0
2014-02-11,48,39.0,40.0,51.0,44.0
2014-02-18,46,48.0,39.0,40.0,51.0
2014-02-25,45,46.0,48.0,39.0,40.0
2014-03-04,31,45.0,46.0,48.0,39.0
2014-03-11,33,31.0,45.0,46.0,48.0
2014-03-18,51,33.0,31.0,45.0,46.0
2014-03-25,47,51.0,33.0,31.0,45.0
2014-04-01,58,47.0,51.0,33.0,31.0
2014-04-08,44,58.0,47.0,51.0,33.0
2014-04-15,52,44.0,58.0,47.0,51.0
2014-04-22,60,52.0,44.0,58.0,47.0
2014-04-29,61,60.0,52.0,44.0,58.0
2014-05-06,42,61.0,60.0,52.0,44.0
2014-05-13,48,42.0,61.0,60.0,52.0
2014-05-20,60,48.0,42.0,61.0,60.0
2014-05-27,51,60.0,48.0,42.0,61.0
2014-06-03,61,51.0,60.0,48.0,42.0
2014-06-10,56,61.0,51.0,60.0,48.0
2014-06-17,62,56.0,61.0,51.0,60.0
2014-06-24,61,62.0,56.0,61.0,51.0
2014-07-01,36,61.0,62.0,56.0,61.0
2014-07-08,50,36.0,61.0,62.0,56.0
2014-07-15,26,50.0,36.0,61.0,62.0
2014-07-22,40,26.0,50.0,36.0,61.0
2014-07-29,18,40.0,26.0,50.0,36.0
2014-08-05,51,18.0,40.0,26.0,50.0
2014-08-12,38,51.0,18.0,40.0,26.0
2014-08-19,41,38.0,51.0,18.0,40.0
2014-08-26,48,41.0,38.0,51.0,18.0
2014-09-02,32,48.0,41.0,38.0,51.0
2014-09-09,51,32.0,48.0,41.0,38.0
2014-09-16,36,51.0,32.0,48.0,41.0
2014-09-23,36,36.0,51.0,32.0,48.0
2014-09-30,42,36.0,36.0,51.0,32.0
2014-10-07,23,42.0,36.0,36.0,51.0
2014-10-14,60,23.0,42.0,36.0,36.0
2014-10-21,47,60.0,23.0,42.0,36.0
2014-10-28,37,47.0,60.0,23.0,42.0
2014-11-04,50,37.0,47.0,60.0,23.0
2014-11-11,50,50.0,37.0,47.0,60.0
2014-11-18,87,50.0,50.0,37.0,47.0
2014-11-25,43,87.0,50.0,50.0,37.0
2014-12-02,53,43.0,87.0,50.0,50.0
2014-12-09,28,53.0,43.0,87.0,50.0
2014-12-16,44,28.0,53.0,43.0,87.0
