date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-11,16,52.0,25.0,46.0,40.0,40.0
2014-02-18,46,16.0,52.0,25.0,46.0,40.0
2014-02-25,37,46.0,16.0,52.0,25.0,46.0
2014-03-04,31,37.0,46.0,16.0,52.0,25.0
2014-03-11,50,31.0,37.0,46.0,16.0,52.0
2014-03-18,43,50.0,31.0,37.0,46.0,16.0
2014-03-25,16,43.0,50.0,31.0,37.0,46.0
2014-04-01,55,16.0,43.0,50.0,31.0,37.0
2014-04-08,59,55.0,16.0,43.0,50.0,31.0
2014-04-15,52,59.0,55.0,16.0,43.0,50.0
2014-04-22,65,52.0,59.0,55.0,16.0,43.0
2014-04-29,26,65.0,52.0,59.0,55.0,16.0
2014-05-06,53,26.0,65.0,52.0,59.0,55.0
2014-05-13,44,53.0,26.0,65.0,52.0,59.0
2014-05-20,52,44.0,53.0,26.0,65.0,52.0
2014-05-27,36,52.0,44.0,53.0,26.0,65.0
2014-06-03,58,36.0,52.0,44.0,53.0,26.0
2014-06-10,58,58.0,36.0,52.0,44.0,53.0
2014-06-17,32,58.0,58.0,36.0,52.0,44.0
2014-06-24,37,32.0,58.0,58.0,36.0,52.0
2014-07-01,50,37.0,32.0,58.0,58.0,36.0
2014-07-08,55,50.0,37.0,32.0,58.0,58.0
2014-07-15,22,55.0,50.0,37.0,32.0,58.0
2014-07-22,47,22.0,55.0,50.0,37.0,32.0
2014-07-29,15,47.0,22.0,55.0,50.0,37.0
2014-08-05,49,15.0,47.0,22.0,55.0,50.0
2014-08-12,32,49.0,15.0,47.0,22.0,55.0
2014-08-19,26,32.0,49.0,15.0,47.0,22.0
2014-08-26,63,26.0,32.0,49.0,15.0,47.0
2014-09-02,59,63.0,26.0,32.0,49.0,15.0
2014-09-09,41,59.0,63.0,26.0,32.0,49.0
2014-09-16,51,41.0,59.0,63.0,26.0,32.0
2014-09-23,48,51.0,41.0,59.0,63.0,26.0
2014-09-30,34,48.0,51.0,41.0,59.0,63.0
2014-10-07,18,34.0,48.0,51.0,41.0,59.0
2014-10-14,59,18.0,34.0,48.0,51.0,41.0
2014-10-21,37,59.0,18.0,34.0,48.0,51.0
2014-10-28,51,37.0,59.0,18.0,34.0,48.0
2014-11-04,53,51.0,37.0,59.0,18.0,34.0
2014-11-11,50,53.0,51.0,37.0,59.0,18.0
2014-11-18,34,50.0,53.0,51.0,37.0,59.0
2014-11-25,55,34.0,50.0,53.0,51.0,37.0
2014-12-02,50,55.0,34.0,50.0,53.0,51.0
2014-12-09,71,50.0,55.0,34.0,50.0,53.0
2014-12-16,54,71.0,50.0,55.0,34.0,50.0
2014-12-23,63,54.0,71.0,50.0,55.0,34.0
2014-12-30,25,63.0,54.0,71.0,50.0,55.0
2015-01-06,60,25.0,63.0,54.0,71.0,50.0
2015-01-13,55,60.0,25.0,63.0,54.0,71.0
2015-01-20,47,55.0,60.0,25.0,63.0,54.0
2015-01-27,42,47.0,55.0,60.0,25.0,63.0
2015-02-03,81,42.0,47.0,55.0,60.0,25.0
2015-02-10,55,81.0,42.0,47.0,55.0,60.0
2015-02-17,69,55.0,81.0,42.0,47.0,55.0
2015-02-24,53,69.0,55.0,81.0,42.0,47.0
2015-03-03,32,53.0,69.0,55.0,81.0,42.0
2015-03-10,89,32.0,53.0,69.0,55.0,81.0
2015-03-17,49,89.0,32.0,53.0,69.0,55.0
2015-03-24,72,49.0,89.0,32.0,53.0,69.0
2015-03-31,44,72.0,49.0,89.0,32.0,53.0
2015-04-07,81,44.0,72.0,49.0,89.0,32.0
2015-04-14,35,81.0,44.0,72.0,49.0,89.0
2015-04-21,73,35.0,81.0,44.0,72.0,49.0
2015-04-28,49,73.0,35.0,81.0,44.0,72.0
2015-05-05,55,49.0,73.0,35.0,81.0,44.0
2015-05-12,54,55.0,49.0,73.0,35.0,81.0
2015-05-19,49,54.0,55.0,49.0,73.0,35.0
2015-05-26,42,49.0,54.0,55.0,49.0,73.0
2015-06-02,61,42.0,49.0,54.0,55.0,49.0
2015-06-09,70,61.0,42.0,49.0,54.0,55.0
2015-06-16,68,70.0,61.0,42.0,49.0,54.0
2015-06-23,61,68.0,70.0,61.0,42.0,49.0
2015-06-30,58,61.0,68.0,70.0,61.0,42.0
2015-07-07,77,58.0,61.0,68.0,70.0,61.0
2015-07-14,59,77.0,58.0,61.0,68.0,70.0
2015-07-21,23,59.0,77.0,58.0,61.0,68.0
2015-07-28,68,23.0,59.0,77.0,58.0,61.0
2015-08-04,79,68.0,23.0,59.0,77.0,58.0
2015-08-11,60,79.0,68.0,23.0,59.0,77.0
2015-08-18,66,60.0,79.0,68.0,23.0,59.0
2015-08-25,50,66.0,60.0,79.0,68.0,23.0
2015-09-01,49,50.0,66.0,60.0,79.0,68.0
2015-09-08,49,49.0,50.0,66.0,60.0,79.0
2015-09-15,45,49.0,49.0,50.0,66.0,60.0
2015-09-22,72,45.0,49.0,49.0,50.0,66.0
2015-09-29,8,72.0,45.0,49.0,49.0,50.0
2015-10-06,92,8.0,72.0,45.0,49.0,49.0
2015-10-13,68,92.0,8.0,72.0,45.0,49.0
2015-10-20,52,68.0,92.0,8.0,72.0,45.0
2015-10-27,59,52.0,68.0,92.0,8.0,72.0
2015-11-03,60,59.0,52.0,68.0,92.0,8.0
2015-11-10,72,60.0,59.0,52.0,68.0,92.0
2015-11-17,52,72.0,60.0,59.0,52.0,68.0
2015-11-24,74,52.0,72.0,60.0,59.0,52.0
2015-12-01,73,74.0,52.0,72.0,60.0,59.0
2015-12-08,63,73.0,74.0,52.0,72.0,60.0
2015-12-15,51,63.0,73.0,74.0,52.0,72.0
2015-12-22,90,51.0,63.0,73.0,74.0,52.0
2015-12-29,42,90.0,51.0,63.0,73.0,74.0
2016-01-05,61,42.0,90.0,51.0,63.0,73.0
2016-01-12,79,61.0,42.0,90.0,51.0,63.0
2016-01-19,58,79.0,61.0,42.0,90.0,51.0
2016-01-26,59,58.0,79.0,61.0,42.0,90.0
2016-02-02,72,59.0,58.0,79.0,61.0,42.0
2016-02-09,113,72.0,59.0,58.0,79.0,61.0
2016-02-16,65,113.0,72.0,59.0,58.0,79.0
2016-02-23,90,65.0,113.0,72.0,59.0,58.0
2016-03-01,82,90.0,65.0,113.0,72.0,59.0
2016-03-08,70,82.0,90.0,65.0,113.0,72.0
2016-03-15,94,70.0,82.0,90.0,65.0,113.0
2016-03-22,69,94.0,70.0,82.0,90.0,65.0
2016-03-29,73,69.0,94.0,70.0,82.0,90.0
2016-04-05,103,73.0,69.0,94.0,70.0,82.0
2016-04-12,76,103.0,73.0,69.0,94.0,70.0
2016-04-19,69,76.0,103.0,73.0,69.0,94.0
2016-04-26,79,69.0,76.0,103.0,73.0,69.0
2016-05-03,65,79.0,69.0,76.0,103.0,73.0
2016-05-10,89,65.0,79.0,69.0,76.0,103.0
2016-05-17,150,89.0,65.0,79.0,69.0,76.0
2016-05-24,73,150.0,89.0,65.0,79.0,69.0
2016-05-31,102,73.0,150.0,89.0,65.0,79.0
2016-06-07,105,102.0,73.0,150.0,89.0,65.0
2016-06-14,102,105.0,102.0,73.0,150.0,89.0
2016-06-21,91,102.0,105.0,102.0,73.0,150.0
2016-06-28,52,91.0,102.0,105.0,102.0,73.0
2016-07-05,51,52.0,91.0,102.0,105.0,102.0
2016-07-12,24,51.0,52.0,91.0,102.0,105.0
2016-07-19,132,24.0,51.0,52.0,91.0,102.0
2016-07-26,102,132.0,24.0,51.0,52.0,91.0
2016-08-02,104,102.0,132.0,24.0,51.0,52.0
2016-08-09,122,104.0,102.0,132.0,24.0,51.0
2016-08-16,95,122.0,104.0,102.0,132.0,24.0
2016-08-23,78,95.0,122.0,104.0,102.0,132.0
2016-08-30,95,78.0,95.0,122.0,104.0,102.0
2016-09-06,136,95.0,78.0,95.0,122.0,104.0
2016-09-13,73,136.0,95.0,78.0,95.0,122.0
2016-09-20,88,73.0,136.0,95.0,78.0,95.0
2016-09-27,159,88.0,73.0,136.0,95.0,78.0
2016-10-04,129,159.0,88.0,73.0,136.0,95.0
