date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-11,9,13.0,10.0,13.0,12.0,4.0
2014-02-18,9,9.0,13.0,10.0,13.0,12.0
2014-02-25,7,9.0,9.0,13.0,10.0,13.0
2014-03-04,6,7.0,9.0,9.0,13.0,10.0
2014-03-11,20,6.0,7.0,9.0,9.0,13.0
2014-03-18,11,20.0,6.0,7.0,9.0,9.0
2014-03-25,10,11.0,20.0,6.0,7.0,9.0
2014-04-01,14,10.0,11.0,20.0,6.0,7.0
2014-04-08,13,14.0,10.0,11.0,20.0,6.0
2014-04-15,15,13.0,14.0,10.0,11.0,20.0
2014-04-22,17,15.0,13.0,14.0,10.0,11.0
2014-04-29,8,17.0,15.0,13.0,14.0,10.0
2014-05-06,8,8.0,17.0,15.0,13.0,14.0
2014-05-13,20,8.0,8.0,17.0,15.0,13.0
2014-05-20,19,20.0,8.0,8.0,17.0,15.0
2014-05-27,13,19.0,20.0,8.0,8.0,17.0
2014-06-03,15,13.0,19.0,20.0,8.0,8.0
2014-06-10,17,15.0,13.0,19.0,20.0,8.0
2014-06-17,17,17.0,15.0,13.0,19.0,20.0
2014-06-24,9,17.0,17.0,15.0,13.0,19.0
2014-07-01,6,9.0,17.0,17.0,15.0,13.0
2014-07-08,8,6.0,9.0,17.0,17.0,15.0
2014-07-15,7,8.0,6.0,9.0,17.0,17.0
2014-07-22,15,7.0,8.0,6.0,9.0,17.0
2014-07-29,10,15.0,7.0,8.0,6.0,9.0
2014-08-05,1,10.0,15.0,7.0,8.0,6.0
2014-08-12,13,1.0,10.0,15.0,7.0,8.0
2014-08-19,13,13.0,1.0,10.0,15.0,7.0
2014-08-26,7,13.0,13.0,1.0,10.0,15.0
2014-09-02,12,7.0,13.0,13.0,1.0,10.0
2014-09-09,4,12.0,7.0,13.0,13.0,1.0
2014-09-16,22,4.0,12.0,7.0,13.0,13.0
2014-09-23,6,22.0,4.0,12.0,7.0,13.0
2014-09-30,21,6.0,22.0,4.0,12.0,7.0
2014-10-07,13,21.0,6.0,22.0,4.0,12.0
2014-10-14,6,13.0,21.0,6.0,22.0,4.0
2014-10-21,28,6.0,13.0,21.0,6.0,22.0
2014-10-28,28,28.0,6.0,13.0,21.0,6.0
2014-11-04,22,28.0,28.0,6.0,13.0,21.0
2014-11-11,11,22.0,28.0,28.0,6.0,13.0
2014-11-18,29,11.0,22.0,28.0,28.0,6.0
2014-11-25,24,29.0,11.0,22.0,28.0,28.0
2014-12-02,27,24.0,29.0,11.0,22.0,28.0
2014-12-09,10,27.0,24.0,29.0,11.0,22.0
2014-12-16,30,10.0,27.0,24.0,29.0,11.0
2014-12-23,14,30.0,10.0,27.0,24.0,29.0
2014-12-30,12,14.0,30.0,10.0,27.0,24.0
2015-01-06,6,12.0,14.0,30.0,10.0,27.0
2015-01-13,0,6.0,12.0,14.0,30.0,10.0
