date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-11,45,37.0,52.0,54.0,62.0,61.0
2014-02-18,59,45.0,37.0,52.0,54.0,62.0
2014-02-25,54,59.0,45.0,37.0,52.0,54.0
2014-03-04,34,54.0,59.0,45.0,37.0,52.0
2014-03-11,54,34.0,54.0,59.0,45.0,37.0
2014-03-18,48,54.0,34.0,54.0,59.0,45.0
2014-03-25,76,48.0,54.0,34.0,54.0,59.0
2014-04-01,45,76.0,48.0,54.0,34.0,54.0
2014-04-08,59,45.0,76.0,48.0,54.0,34.0
2014-04-15,46,59.0,45.0,76.0,48.0,54.0
2014-04-22,66,46.0,59.0,45.0,76.0,48.0
2014-04-29,45,66.0,46.0,59.0,45.0,76.0
2014-05-06,35,45.0,66.0,46.0,59.0,45.0
2014-05-13,42,35.0,45.0,66.0,46.0,59.0
2014-05-20,62,42.0,35.0,45.0,66.0,46.0
2014-05-27,42,62.0,42.0,35.0,45.0,66.0
2014-06-03,49,42.0,62.0,42.0,35.0,45.0
2014-06-10,41,49.0,42.0,62.0,42.0,35.0
2014-06-17,37,41.0,49.0,42.0,62.0,42.0
2014-06-24,44,37.0,41.0,49.0,42.0,62.0
2014-07-01,48,44.0,37.0,41.0,49.0,42.0
2014-07-08,40,48.0,44.0,37.0,41.0,49.0
2014-07-15,39,40.0,48.0,44.0,37.0,41.0
2014-07-22,35,39.0,40.0,48.0,44.0,37.0
2014-07-29,29,35.0,39.0,40.0,48.0,44.0
2014-08-05,30,29.0,35.0,39.0,40.0,48.0
2014-08-12,66,30.0,29.0,35.0,39.0,40.0
2014-08-19,48,66.0,30.0,29.0,35.0,39.0
2014-08-26,44,48.0,66.0,30.0,29.0,35.0
2014-09-02,45,44.0,48.0,66.0,30.0,29.0
2014-09-09,31,45.0,44.0,48.0,66.0,30.0
2014-09-16,41,31.0,45.0,44.0,48.0,66.0
2014-09-23,29,41.0,31.0,45.0,44.0,48.0
2014-09-30,48,29.0,41.0,31.0,45.0,44.0
2014-10-07,21,48.0,29.0,41.0,31.0,45.0
2014-10-14,45,21.0,48.0,29.0,41.0,31.0
2014-10-21,23,45.0,21.0,48.0,29.0,41.0
2014-10-28,39,23.0,45.0,21.0,48.0,29.0
2014-11-04,30,39.0,23.0,45.0,21.0,48.0
2014-11-11,35,30.0,39.0,23.0,45.0,21.0
2014-11-18,39,35.0,30.0,39.0,23.0,45.0
2014-11-25,46,39.0,35.0,30.0,39.0,23.0
2014-12-02,30,46.0,39.0,35.0,30.0,39.0
2014-12-09,24,30.0,46.0,39.0,35.0,30.0
2014-12-16,27,24.0,30.0,46.0,39.0,35.0
2014-12-23,32,27.0,24.0,30.0,46.0,39.0
2014-12-30,37,32.0,27.0,24.0,30.0,46.0
2015-01-06,20,37.0,32.0,27.0,24.0,30.0
2015-01-13,13,20.0,37.0,32.0,27.0,24.0
2015-01-20,39,13.0,20.0,37.0,32.0,27.0
2015-01-27,43,39.0,13.0,20.0,37.0,32.0
2015-02-03,48,43.0,39.0,13.0,20.0,37.0
2015-02-10,52,48.0,43.0,39.0,13.0,20.0
2015-02-17,7,52.0,48.0,43.0,39.0,13.0
2015-02-24,36,7.0,52.0,48.0,43.0,39.0
2015-03-03,39,36.0,7.0,52.0,48.0,43.0
2015-03-10,43,39.0,36.0,7.0,52.0,48.0
2015-03-17,37,43.0,39.0,36.0,7.0,52.0
2015-03-24,39,37.0,43.0,39.0,36.0,7.0
2015-03-31,40,39.0,37.0,43.0,39.0,36.0
2015-04-07,30,40.0,39.0,37.0,43.0,39.0
2015-04-14,40,30.0,40.0,39.0,37.0,43.0
2015-04-21,50,40.0,30.0,40.0,39.0,37.0
2015-04-28,30,50.0,40.0,30.0,40.0,39.0
2015-05-05,13,30.0,50.0,40.0,30.0,40.0
2015-05-12,20,13.0,30.0,50.0,40.0,30.0
2015-05-19,40,20.0,13.0,30.0,50.0,40.0
2015-05-26,23,40.0,20.0,13.0,30.0,50.0
2015-06-02,29,23.0,40.0,20.0,13.0,30.0
2015-06-09,30,29.0,23.0,40.0,20.0,13.0
2015-06-16,18,30.0,29.0,23.0,40.0,20.0
2015-06-23,22,18.0,30.0,29.0,23.0,40.0
2015-06-30,8,22.0,18.0,30.0,29.0,23.0
2015-07-07,16,8.0,22.0,18.0,30.0,29.0
2015-07-14,11,16.0,8.0,22.0,18.0,30.0
2015-07-21,3,11.0,16.0,8.0,22.0,18.0
2015-07-28,22,3.0,11.0,16.0,8.0,22.0
2015-08-04,12,22.0,3.0,11.0,16.0,8.0
2015-08-11,28,12.0,22.0,3.0,11.0,16.0
2015-08-18,15,28.0,12.0,22.0,3.0,11.0
2015-08-25,29,15.0,28.0,12.0,22.0,3.0
