date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-11,62,67.0,51.0,69.0,21.0,45.0
2014-02-18,106,62.0,67.0,51.0,69.0,21.0
2014-02-25,60,106.0,62.0,67.0,51.0,69.0
2014-03-04,49,60.0,106.0,62.0,67.0,51.0
2014-03-11,82,49.0,60.0,106.0,62.0,67.0
2014-03-18,106,82.0,49.0,60.0,106.0,62.0
2014-03-25,61,106.0,82.0,49.0,60.0,106.0
2014-04-01,89,61.0,106.0,82.0,49.0,60.0
2014-04-08,80,89.0,61.0,106.0,82.0,49.0
2014-04-15,68,80.0,89.0,61.0,106.0,82.0
2014-04-22,70,68.0,80.0,89.0,61.0,106.0
2014-04-29,58,70.0,68.0,80.0,89.0,61.0
2014-05-06,65,58.0,70.0,68.0,80.0,89.0
2014-05-13,114,65.0,58.0,70.0,68.0,80.0
2014-05-20,94,114.0,65.0,58.0,70.0,68.0
2014-05-27,103,94.0,114.0,65.0,58.0,70.0
2014-06-03,95,103.0,94.0,114.0,65.0,58.0
2014-06-10,114,95.0,103.0,94.0,114.0,65.0
2014-06-17,67,114.0,95.0,103.0,94.0,114.0
2014-06-24,51,67.0,114.0,95.0,103.0,94.0
2014-07-01,58,51.0,67.0,114.0,95.0,103.0
2014-07-08,86,58.0,51.0,67.0,114.0,95.0
2014-07-15,50,86.0,58.0,51.0,67.0,114.0
2014-07-22,44,50.0,86.0,58.0,51.0,67.0
2014-07-29,38,44.0,50.0,86.0,58.0,51.0
2014-08-05,39,38.0,44.0,50.0,86.0,58.0
2014-08-12,39,39.0,38.0,44.0,50.0,86.0
2014-08-19,60,39.0,39.0,38.0,44.0,50.0
2014-08-26,68,60.0,39.0,39.0,38.0,44.0
2014-09-02,78,68.0,60.0,39.0,39.0,38.0
2014-09-09,61,78.0,68.0,60.0,39.0,39.0
2014-09-16,62,61.0,78.0,68.0,60.0,39.0
2014-09-23,51,62.0,61.0,78.0,68.0,60.0
2014-09-30,52,51.0,62.0,61.0,78.0,68.0
2014-10-07,16,52.0,51.0,62.0,61.0,78.0
2014-10-14,63,16.0,52.0,51.0,62.0,61.0
2014-10-21,64,63.0,16.0,52.0,51.0,62.0
2014-10-28,75,64.0,63.0,16.0,52.0,51.0
2014-11-04,50,75.0,64.0,63.0,16.0,52.0
2014-11-11,73,50.0,75.0,64.0,63.0,16.0
2014-11-18,88,73.0,50.0,75.0,64.0,63.0
2014-11-25,51,88.0,73.0,50.0,75.0,64.0
2014-12-02,67,51.0,88.0,73.0,50.0,75.0
2014-12-09,68,67.0,51.0,88.0,73.0,50.0
2014-12-16,74,68.0,67.0,51.0,88.0,73.0
2014-12-23,56,74.0,68.0,67.0,51.0,88.0
2014-12-30,64,56.0,74.0,68.0,67.0,51.0
2015-01-06,64,64.0,56.0,74.0,68.0,67.0
2015-01-13,64,64.0,64.0,56.0,74.0,68.0
2015-01-20,85,64.0,64.0,64.0,56.0,74.0
2015-01-27,95,85.0,64.0,64.0,64.0,56.0
2015-02-03,102,95.0,85.0,64.0,64.0,64.0
2015-02-10,63,102.0,95.0,85.0,64.0,64.0
2015-02-17,88,63.0,102.0,95.0,85.0,64.0
2015-02-24,73,88.0,63.0,102.0,95.0,85.0
2015-03-03,107,73.0,88.0,63.0,102.0,95.0
2015-03-10,93,107.0,73.0,88.0,63.0,102.0
2015-03-17,73,93.0,107.0,73.0,88.0,63.0
2015-03-24,72,73.0,93.0,107.0,73.0,88.0
2015-03-31,66,72.0,73.0,93.0,107.0,73.0
2015-04-07,57,66.0,72.0,73.0,93.0,107.0
2015-04-14,71,57.0,66.0,72.0,73.0,93.0
2015-04-21,77,71.0,57.0,66.0,72.0,73.0
2015-04-28,56,77.0,71.0,57.0,66.0,72.0
2015-05-05,60,56.0,77.0,71.0,57.0,66.0
2015-05-12,60,60.0,56.0,77.0,71.0,57.0
2015-05-19,60,60.0,60.0,56.0,77.0,71.0
2015-05-26,77,60.0,60.0,60.0,56.0,77.0
2015-06-02,71,77.0,60.0,60.0,60.0,56.0
2015-06-09,94,71.0,77.0,60.0,60.0,60.0
2015-06-16,80,94.0,71.0,77.0,60.0,60.0
2015-06-23,78,80.0,94.0,71.0,77.0,60.0
2015-06-30,56,78.0,80.0,94.0,71.0,77.0
2015-07-07,55,56.0,78.0,80.0,94.0,71.0
2015-07-14,30,55.0,56.0,78.0,80.0,94.0
2015-07-21,38,30.0,55.0,56.0,78.0,80.0
2015-07-28,34,38.0,30.0,55.0,56.0,78.0
2015-08-04,44,34.0,38.0,30.0,55.0,56.0
2015-08-11,46,44.0,34.0,38.0,30.0,55.0
2015-08-18,65,46.0,44.0,34.0,38.0,30.0
2015-08-25,39,65.0,46.0,44.0,34.0,38.0
2015-09-01,46,39.0,65.0,46.0,44.0,34.0
2015-09-08,73,46.0,39.0,65.0,46.0,44.0
2015-09-15,60,73.0,46.0,39.0,65.0,46.0
2015-09-22,70,60.0,73.0,46.0,39.0,65.0
2015-09-29,47,70.0,60.0,73.0,46.0,39.0
2015-10-06,64,47.0,70.0,60.0,73.0,46.0
2015-10-13,68,64.0,47.0,70.0,60.0,73.0
2015-10-20,66,68.0,64.0,47.0,70.0,60.0
2015-10-27,64,66.0,68.0,64.0,47.0,70.0
2015-11-03,82,64.0,66.0,68.0,64.0,47.0
2015-11-10,88,82.0,64.0,66.0,68.0,64.0
2015-11-17,64,88.0,82.0,64.0,66.0,68.0
2015-11-24,69,64.0,88.0,82.0,64.0,66.0
2015-12-01,63,69.0,64.0,88.0,82.0,64.0
2015-12-08,89,63.0,69.0,64.0,88.0,82.0
2015-12-15,71,89.0,63.0,69.0,64.0,88.0
2015-12-22,66,71.0,89.0,63.0,69.0,64.0
2015-12-29,60,66.0,71.0,89.0,63.0,69.0
2016-01-05,46,60.0,66.0,71.0,89.0,63.0
2016-01-12,58,46.0,60.0,66.0,71.0,89.0
2016-01-19,82,58.0,46.0,60.0,66.0,71.0
2016-01-26,73,82.0,58.0,46.0,60.0,66.0
2016-02-02,97,73.0,82.0,58.0,46.0,60.0
2016-02-09,110,97.0,73.0,82.0,58.0,46.0
2016-02-16,125,110.0,97.0,73.0,82.0,58.0
2016-02-23,98,125.0,110.0,97.0,73.0,82.0
2016-03-01,115,98.0,125.0,110.0,97.0,73.0
2016-03-08,77,115.0,98.0,125.0,110.0,97.0
2016-03-15,90,77.0,115.0,98.0,125.0,110.0
2016-03-22,86,90.0,77.0,115.0,98.0,125.0
2016-03-29,81,86.0,90.0,77.0,115.0,98.0
2016-04-05,67,81.0,86.0,90.0,77.0,115.0
2016-04-12,91,67.0,81.0,86.0,90.0,77.0
2016-04-19,95,91.0,67.0,81.0,86.0,90.0
2016-04-26,78,95.0,91.0,67.0,81.0,86.0
2016-05-03,93,78.0,95.0,91.0,67.0,81.0
2016-05-10,85,93.0,78.0,95.0,91.0,67.0
2016-05-17,84,85.0,93.0,78.0,95.0,91.0
2016-05-24,86,84.0,85.0,93.0,78.0,95.0
2016-05-31,59,86.0,84.0,85.0,93.0,78.0
2016-06-07,64,59.0,86.0,84.0,85.0,93.0
2016-06-14,70,64.0,59.0,86.0,84.0,85.0
2016-06-21,74,70.0,64.0,59.0,86.0,84.0
2016-06-28,62,74.0,70.0,64.0,59.0,86.0
2016-07-05,42,62.0,74.0,70.0,64.0,59.0
2016-07-12,33,42.0,62.0,74.0,70.0,64.0
2016-07-19,53,33.0,42.0,62.0,74.0,70.0
2016-07-26,42,53.0,33.0,42.0,62.0,74.0
2016-08-02,64,42.0,53.0,33.0,42.0,62.0
2016-08-09,45,64.0,42.0,53.0,33.0,42.0
2016-08-16,52,45.0,64.0,42.0,53.0,33.0
2016-08-23,37,52.0,45.0,64.0,42.0,53.0
2016-08-30,46,37.0,52.0,45.0,64.0,42.0
2016-09-06,56,46.0,37.0,52.0,45.0,64.0
2016-09-13,22,56.0,46.0,37.0,52.0,45.0
2016-09-20,57,22.0,56.0,46.0,37.0,52.0
2016-09-27,57,57.0,22.0,56.0,46.0,37.0
2016-10-04,87,57.0,57.0,22.0,56.0,46.0
2016-10-11,89,87.0,57.0,57.0,22.0,56.0
2016-10-18,95,89.0,87.0,57.0,57.0,22.0
2016-10-25,92,95.0,89.0,87.0,57.0,57.0
2016-11-01,74,92.0,95.0,89.0,87.0,57.0
2016-11-08,91,74.0,92.0,95.0,89.0,87.0
2016-11-15,75,91.0,74.0,92.0,95.0,89.0
2016-11-22,87,75.0,91.0,74.0,92.0,95.0
2016-11-29,96,87.0,75.0,91.0,74.0,92.0
2016-12-06,88,96.0,87.0,75.0,91.0,74.0
2016-12-13,128,88.0,96.0,87.0,75.0,91.0
2016-12-20,81,128.0,88.0,96.0,87.0,75.0
2016-12-27,58,81.0,128.0,88.0,96.0,87.0
2017-01-03,31,58.0,81.0,128.0,88.0,96.0
