date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-11,12,10.0,6.0,6.0,8.0,12.0
2014-02-18,5,12.0,10.0,6.0,6.0,8.0
2014-02-25,19,5.0,12.0,10.0,6.0,6.0
2014-03-04,9,19.0,5.0,12.0,10.0,6.0
2014-03-11,8,9.0,19.0,5.0,12.0,10.0
2014-03-18,29,8.0,9.0,19.0,5.0,12.0
2014-03-25,9,29.0,8.0,9.0,19.0,5.0
2014-04-01,7,9.0,29.0,8.0,9.0,19.0
2014-04-08,3,7.0,9.0,29.0,8.0,9.0
2014-04-15,4,3.0,7.0,9.0,29.0,8.0
2014-04-22,12,4.0,3.0,7.0,9.0,29.0
2014-04-29,4,12.0,4.0,3.0,7.0,9.0
2014-05-06,7,4.0,12.0,4.0,3.0,7.0
2014-05-13,3,7.0,4.0,12.0,4.0,3.0
2014-05-20,8,3.0,7.0,4.0,12.0,4.0
2014-05-27,10,8.0,3.0,7.0,4.0,12.0
2014-06-03,11,10.0,8.0,3.0,7.0,4.0
2014-06-10,12,11.0,10.0,8.0,3.0,7.0
2014-06-17,10,12.0,11.0,10.0,8.0,3.0
2014-06-24,4,10.0,12.0,11.0,10.0,8.0
2014-07-01,7,4.0,10.0,12.0,11.0,10.0
2014-07-08,7,7.0,4.0,10.0,12.0,11.0
2014-07-15,3,7.0,7.0,4.0,10.0,12.0
2014-07-22,12,3.0,7.0,7.0,4.0,10.0
2014-07-29,7,12.0,3.0,7.0,7.0,4.0
2014-08-05,9,7.0,12.0,3.0,7.0,7.0
2014-08-12,2,9.0,7.0,12.0,3.0,7.0
2014-08-19,14,2.0,9.0,7.0,12.0,3.0
2014-08-26,8,14.0,2.0,9.0,7.0,12.0
2014-09-02,2,8.0,14.0,2.0,9.0,7.0
2014-09-09,7,2.0,8.0,14.0,2.0,9.0
2014-09-16,18,7.0,2.0,8.0,14.0,2.0
2014-09-23,20,18.0,7.0,2.0,8.0,14.0
2014-09-30,0,20.0,18.0,7.0,2.0,8.0
2014-10-07,3,0.0,20.0,18.0,7.0,2.0
2014-10-14,11,3.0,0.0,20.0,18.0,7.0
