date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-02-11,75,97.0,82.0,105.0,51.0,32.0
2014-02-18,111,75.0,97.0,82.0,105.0,51.0
2014-02-25,86,111.0,75.0,97.0,82.0,105.0
2014-03-04,79,86.0,111.0,75.0,97.0,82.0
2014-03-11,84,79.0,86.0,111.0,75.0,97.0
2014-03-18,82,84.0,79.0,86.0,111.0,75.0
2014-03-25,83,82.0,84.0,79.0,86.0,111.0
2014-04-01,97,83.0,82.0,84.0,79.0,86.0
2014-04-08,59,97.0,83.0,82.0,84.0,79.0
2014-04-15,94,59.0,97.0,83.0,82.0,84.0
2014-04-22,92,94.0,59.0,97.0,83.0,82.0
2014-04-29,74,92.0,94.0,59.0,97.0,83.0
2014-05-06,58,74.0,92.0,94.0,59.0,97.0
2014-05-13,68,58.0,74.0,92.0,94.0,59.0
2014-05-20,100,68.0,58.0,74.0,92.0,94.0
2014-05-27,87,100.0,68.0,58.0,74.0,92.0
2014-06-03,104,87.0,100.0,68.0,58.0,74.0
2014-06-10,95,104.0,87.0,100.0,68.0,58.0
2014-06-17,74,95.0,104.0,87.0,100.0,68.0
2014-06-24,101,74.0,95.0,104.0,87.0,100.0
2014-07-01,112,101.0,74.0,95.0,104.0,87.0
2014-07-08,88,112.0,101.0,74.0,95.0,104.0
2014-07-15,80,88.0,112.0,101.0,74.0,95.0
2014-07-22,65,80.0,88.0,112.0,101.0,74.0
2014-07-29,53,65.0,80.0,88.0,112.0,101.0
2014-08-05,75,53.0,65.0,80.0,88.0,112.0
2014-08-12,91,75.0,53.0,65.0,80.0,88.0
2014-08-19,92,91.0,75.0,53.0,65.0,80.0
2014-08-26,97,92.0,91.0,75.0,53.0,65.0
2014-09-02,97,97.0,92.0,91.0,75.0,53.0
2014-09-09,107,97.0,97.0,92.0,91.0,75.0
2014-09-16,84,107.0,97.0,97.0,92.0,91.0
2014-09-23,73,84.0,107.0,97.0,97.0,92.0
2014-09-30,85,73.0,84.0,107.0,97.0,97.0
2014-10-07,37,85.0,73.0,84.0,107.0,97.0
2014-10-14,77,37.0,85.0,73.0,84.0,107.0
2014-10-21,100,77.0,37.0,85.0,73.0,84.0
2014-10-28,80,100.0,77.0,37.0,85.0,73.0
2014-11-04,101,80.0,100.0,77.0,37.0,85.0
2014-11-11,122,101.0,80.0,100.0,77.0,37.0
2014-11-18,151,122.0,101.0,80.0,100.0,77.0
2014-11-25,124,151.0,122.0,101.0,80.0,100.0
2014-12-02,104,124.0,151.0,122.0,101.0,80.0
2014-12-09,101,104.0,124.0,151.0,122.0,101.0
2014-12-16,141,101.0,104.0,124.0,151.0,122.0
2014-12-23,114,141.0,101.0,104.0,124.0,151.0
2014-12-30,134,114.0,141.0,101.0,104.0,124.0
2015-01-06,82,134.0,114.0,141.0,101.0,104.0
2015-01-13,102,82.0,134.0,114.0,141.0,101.0
2015-01-20,118,102.0,82.0,134.0,114.0,141.0
2015-01-27,167,118.0,102.0,82.0,134.0,114.0
2015-02-03,177,167.0,118.0,102.0,82.0,134.0
2015-02-10,145,177.0,167.0,118.0,102.0,82.0
2015-02-17,98,145.0,177.0,167.0,118.0,102.0
2015-02-24,164,98.0,145.0,177.0,167.0,118.0
2015-03-03,177,164.0,98.0,145.0,177.0,167.0
2015-03-10,162,177.0,164.0,98.0,145.0,177.0
2015-03-17,186,162.0,177.0,164.0,98.0,145.0
2015-03-24,165,186.0,162.0,177.0,164.0,98.0
2015-03-31,176,165.0,186.0,162.0,177.0,164.0
2015-04-07,165,176.0,165.0,186.0,162.0,177.0
2015-04-14,130,165.0,176.0,165.0,186.0,162.0
2015-04-21,137,130.0,165.0,176.0,165.0,186.0
2015-04-28,143,137.0,130.0,165.0,176.0,165.0
2015-05-05,110,143.0,137.0,130.0,165.0,176.0
2015-05-12,111,110.0,143.0,137.0,130.0,165.0
2015-05-19,111,111.0,110.0,143.0,137.0,130.0
2015-05-26,123,111.0,111.0,110.0,143.0,137.0
2015-06-02,122,123.0,111.0,111.0,110.0,143.0
2015-06-09,127,122.0,123.0,111.0,111.0,110.0
2015-06-16,128,127.0,122.0,123.0,111.0,111.0
2015-06-23,114,128.0,127.0,122.0,123.0,111.0
2015-06-30,134,114.0,128.0,127.0,122.0,123.0
2015-07-07,114,134.0,114.0,128.0,127.0,122.0
2015-07-14,66,114.0,134.0,114.0,128.0,127.0
2015-07-21,76,66.0,114.0,134.0,114.0,128.0
2015-07-28,164,76.0,66.0,114.0,134.0,114.0
2015-08-04,174,164.0,76.0,66.0,114.0,134.0
2015-08-11,105,174.0,164.0,76.0,66.0,114.0
2015-08-18,114,105.0,174.0,164.0,76.0,66.0
2015-08-25,134,114.0,105.0,174.0,164.0,76.0
2015-09-01,151,134.0,114.0,105.0,174.0,164.0
2015-09-08,131,151.0,134.0,114.0,105.0,174.0
2015-09-15,149,131.0,151.0,134.0,114.0,105.0
2015-09-22,120,149.0,131.0,151.0,134.0,114.0
2015-09-29,51,120.0,149.0,131.0,151.0,134.0
2015-10-06,132,51.0,120.0,149.0,131.0,151.0
2015-10-13,104,132.0,51.0,120.0,149.0,131.0
2015-10-20,226,104.0,132.0,51.0,120.0,149.0
2015-10-27,209,226.0,104.0,132.0,51.0,120.0
2015-11-03,159,209.0,226.0,104.0,132.0,51.0
2015-11-10,188,159.0,209.0,226.0,104.0,132.0
2015-11-17,140,188.0,159.0,209.0,226.0,104.0
2015-11-24,196,140.0,188.0,159.0,209.0,226.0
2015-12-01,143,196.0,140.0,188.0,159.0,209.0
2015-12-08,161,143.0,196.0,140.0,188.0,159.0
2015-12-15,186,161.0,143.0,196.0,140.0,188.0
2015-12-22,204,186.0,161.0,143.0,196.0,140.0
2015-12-29,237,204.0,186.0,161.0,143.0,196.0
2016-01-05,150,237.0,204.0,186.0,161.0,143.0
2016-01-12,166,150.0,237.0,204.0,186.0,161.0
2016-01-19,156,166.0,150.0,237.0,204.0,186.0
2016-01-26,213,156.0,166.0,150.0,237.0,204.0
2016-02-02,119,213.0,156.0,166.0,150.0,237.0
2016-02-09,75,119.0,213.0,156.0,166.0,150.0
2016-02-16,53,75.0,119.0,213.0,156.0,166.0
2016-02-23,38,53.0,75.0,119.0,213.0,156.0
2016-03-01,105,38.0,53.0,75.0,119.0,213.0
2016-03-08,37,105.0,38.0,53.0,75.0,119.0
2016-03-15,66,37.0,105.0,38.0,53.0,75.0
2016-03-22,136,66.0,37.0,105.0,38.0,53.0
2016-03-29,160,136.0,66.0,37.0,105.0,38.0
2016-04-05,105,160.0,136.0,66.0,37.0,105.0
2016-04-12,143,105.0,160.0,136.0,66.0,37.0
2016-04-19,127,143.0,105.0,160.0,136.0,66.0
2016-04-26,163,127.0,143.0,105.0,160.0,136.0
2016-05-03,116,163.0,127.0,143.0,105.0,160.0
2016-05-10,124,116.0,163.0,127.0,143.0,105.0
2016-05-17,109,124.0,116.0,163.0,127.0,143.0
2016-05-24,99,109.0,124.0,116.0,163.0,127.0
2016-05-31,197,99.0,109.0,124.0,116.0,163.0
2016-06-07,109,197.0,99.0,109.0,124.0,116.0
2016-06-14,143,109.0,197.0,99.0,109.0,124.0
2016-06-21,87,143.0,109.0,197.0,99.0,109.0
2016-06-28,82,87.0,143.0,109.0,197.0,99.0
2016-07-05,72,82.0,87.0,143.0,109.0,197.0
2016-07-12,37,72.0,82.0,87.0,143.0,109.0
2016-07-19,106,37.0,72.0,82.0,87.0,143.0
2016-07-26,168,106.0,37.0,72.0,82.0,87.0
2016-08-02,191,168.0,106.0,37.0,72.0,82.0
2016-08-09,79,191.0,168.0,106.0,37.0,72.0
2016-08-16,102,79.0,191.0,168.0,106.0,37.0
2016-08-23,159,102.0,79.0,191.0,168.0,106.0
2016-08-30,122,159.0,102.0,79.0,191.0,168.0
2016-09-06,112,122.0,159.0,102.0,79.0,191.0
2016-09-13,59,112.0,122.0,159.0,102.0,79.0
2016-09-20,71,59.0,112.0,122.0,159.0,102.0
2016-09-27,168,71.0,59.0,112.0,122.0,159.0
2016-10-04,137,168.0,71.0,59.0,112.0,122.0
2016-10-11,118,137.0,168.0,71.0,59.0,112.0
2016-10-18,105,118.0,137.0,168.0,71.0,59.0
2016-10-25,151,105.0,118.0,137.0,168.0,71.0
2016-11-01,25,151.0,105.0,118.0,137.0,168.0
2016-11-08,87,25.0,151.0,105.0,118.0,137.0
2016-11-15,67,87.0,25.0,151.0,105.0,118.0
2016-11-22,95,67.0,87.0,25.0,151.0,105.0
2016-11-29,133,95.0,67.0,87.0,25.0,151.0
2016-12-06,92,133.0,95.0,67.0,87.0,25.0
2016-12-13,118,92.0,133.0,95.0,67.0,87.0
2016-12-20,134,118.0,92.0,133.0,95.0,67.0
2016-12-27,102,134.0,118.0,92.0,133.0,95.0
2017-01-03,52,102.0,134.0,118.0,92.0,133.0
