demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
195,3,231,19,18,19,204,197,200,194,200,201,6,1,0,0,0,0,0,1
187,2,144,16,17,22,195,204,197,200,194,201,19,1,0,0,0,0,0,1
193,4,245,18,11,1,187,195,204,197,200,201,2,1,0,0,0,0,0,1
242,2,317,17,15,0,193,187,195,204,197,200,0,1,0,0,0,0,0,1
154,4,278,19,14,0,242,193,187,195,204,200,0,1,0,0,0,0,0,1
237,4,151,19,14,17,154,242,193,187,195,200,-32,1,0,0,0,0,0,1
235,2,204,21,13,0,237,154,242,193,187,200,3,1,0,0,0,0,0,1
175,3,135,22,13,0,235,237,154,242,193,199,10,1,0,0,0,0,0,1
243,3,171,24,15,0,175,235,237,154,242,199,-26,1,0,0,0,0,0,1
237,3,225,21,14,27,243,175,235,237,154,199,0,1,0,0,0,0,0,1
208,3,155,22,15,0,237,243,175,235,237,199,11,1,0,0,0,0,0,1
273,1,158,23,12,1,208,237,243,175,235,198,-5,1,0,0,0,0,0,1
183,2,222,24,16,0,273,208,237,243,175,198,20,1,0,0,0,0,0,1
207,2,389,25,17,0,183,273,208,237,243,198,-26,1,0,0,0,0,0,1
221,3,204,25,13,0,207,183,273,208,237,198,-11,1,0,0,0,0,0,1
219,1,151,26,17,0,221,207,183,273,208,197,-9,1,0,0,0,0,0,1
193,2,157,27,15,0,219,221,207,183,273,197,-19,1,0,0,0,0,0,1
224,1,142,27,16,0,193,219,221,207,183,197,-24,1,0,0,0,0,0,1
194,2,139,28,17,0,224,193,219,221,207,197,-36,1,0,0,0,0,0,1
178,3,140,28,20,0,194,224,193,219,221,196,-45,1,0,0,0,0,0,1
103,2,288,28,18,0,178,194,224,193,219,196,-28,1,0,0,0,0,0,1
174,3,139,28,19,0,103,178,194,224,193,196,-32,1,0,0,0,0,0,1
166,1,139,28,17,0,174,103,178,194,224,196,-6,1,0,0,0,0,0,1
191,4,152,29,16,0,166,174,103,178,194,196,-7,1,0,0,0,0,0,1
170,2,140,29,12,0,191,166,174,103,178,195,10,1,0,0,0,0,0,1
177,1,141,29,14,0,170,191,166,174,103,195,-16,1,0,0,0,0,0,1
214,2,210,29,12,0,177,170,191,166,174,194,17,1,0,0,0,0,0,1
173,2,128,28,15,0,214,177,170,191,166,195,0,1,0,0,0,0,0,1
169,1,159,28,14,0,173,214,177,170,191,196,-23,1,0,0,0,0,0,1
165,1,252,27,22,16,169,173,214,177,170,196,-16,1,0,0,0,0,0,1
98,3,120,25,13,9,165,169,173,214,177,196,-26,1,0,0,0,0,0,1
212,1,142,25,11,6,98,165,169,173,214,196,-24,1,0,0,0,0,0,1
173,2,241,23,16,30,212,98,165,169,173,196,24,1,0,0,0,0,0,1
193,1,121,23,11,0,173,212,98,165,169,195,-5,1,0,0,0,0,0,1
167,1,234,22,12,16,193,173,212,98,165,195,3,1,0,0,0,0,0,1
