demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
195,231,204,197,200,194,200,201,6,1,0,0,0,0,0,1
187,144,195,204,197,200,194,201,19,1,0,0,0,0,0,1
193,245,187,195,204,197,200,201,2,1,0,0,0,0,0,1
242,317,193,187,195,204,197,200,0,1,0,0,0,0,0,1
154,278,242,193,187,195,204,200,0,1,0,0,0,0,0,1
237,151,154,242,193,187,195,200,-32,1,0,0,0,0,0,1
235,204,237,154,242,193,187,200,3,1,0,0,0,0,0,1
175,135,235,237,154,242,193,199,10,1,0,0,0,0,0,1
243,171,175,235,237,154,242,199,-26,1,0,0,0,0,0,1
237,225,243,175,235,237,154,199,0,1,0,0,0,0,0,1
208,155,237,243,175,235,237,199,11,1,0,0,0,0,0,1
273,158,208,237,243,175,235,198,-5,1,0,0,0,0,0,1
183,222,273,208,237,243,175,198,20,1,0,0,0,0,0,1
207,389,183,273,208,237,243,198,-26,1,0,0,0,0,0,1
221,204,207,183,273,208,237,198,-11,1,0,0,0,0,0,1
219,151,221,207,183,273,208,197,-9,1,0,0,0,0,0,1
193,157,219,221,207,183,273,197,-19,1,0,0,0,0,0,1
224,142,193,219,221,207,183,197,-24,1,0,0,0,0,0,1
194,139,224,193,219,221,207,197,-36,1,0,0,0,0,0,1
178,140,194,224,193,219,221,196,-45,1,0,0,0,0,0,1
103,288,178,194,224,193,219,196,-28,1,0,0,0,0,0,1
174,139,103,178,194,224,193,196,-32,1,0,0,0,0,0,1
166,139,174,103,178,194,224,196,-6,1,0,0,0,0,0,1
191,152,166,174,103,178,194,196,-7,1,0,0,0,0,0,1
170,140,191,166,174,103,178,195,10,1,0,0,0,0,0,1
177,141,170,191,166,174,103,195,-16,1,0,0,0,0,0,1
214,210,177,170,191,166,174,194,17,1,0,0,0,0,0,1
173,128,214,177,170,191,166,195,0,1,0,0,0,0,0,1
169,159,173,214,177,170,191,196,-23,1,0,0,0,0,0,1
165,252,169,173,214,177,170,196,-16,1,0,0,0,0,0,1
98,120,165,169,173,214,177,196,-26,1,0,0,0,0,0,1
212,142,98,165,169,173,214,196,-24,1,0,0,0,0,0,1
173,241,212,98,165,169,173,196,24,1,0,0,0,0,0,1
