demand,civilians_rank,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
195,3,231,1,0,0,0,0,0,1
187,2,144,1,0,0,0,0,0,1
193,4,245,1,0,0,0,0,0,1
242,2,317,1,0,0,0,0,0,1
154,4,278,1,0,0,0,0,0,1
237,4,151,1,0,0,0,0,0,1
235,2,204,1,0,0,0,0,0,1
175,3,135,1,0,0,0,0,0,1
243,3,171,1,0,0,0,0,0,1
237,3,225,1,0,0,0,0,0,1
208,3,155,1,0,0,0,0,0,1
273,1,158,1,0,0,0,0,0,1
183,2,222,1,0,0,0,0,0,1
207,2,389,1,0,0,0,0,0,1
221,3,204,1,0,0,0,0,0,1
219,1,151,1,0,0,0,0,0,1
193,2,157,1,0,0,0,0,0,1
224,1,142,1,0,0,0,0,0,1
194,2,139,1,0,0,0,0,0,1
178,3,140,1,0,0,0,0,0,1
103,2,288,1,0,0,0,0,0,1
174,3,139,1,0,0,0,0,0,1
166,1,139,1,0,0,0,0,0,1
191,4,152,1,0,0,0,0,0,1
170,2,140,1,0,0,0,0,0,1
177,1,141,1,0,0,0,0,0,1
214,2,210,1,0,0,0,0,0,1
173,2,128,1,0,0,0,0,0,1
169,1,159,1,0,0,0,0,0,1
165,1,252,1,0,0,0,0,0,1
98,3,120,1,0,0,0,0,0,1
212,1,142,1,0,0,0,0,0,1
173,2,241,1,0,0,0,0,0,1
193,1,121,1,0,0,0,0,0,1
167,1,234,1,0,0,0,0,0,1
205,2,237,1,0,0,0,0,0,1
212,3,176,1,0,0,0,0,0,1
190,1,262,1,0,0,0,0,0,1
184,3,134,1,0,0,0,0,0,1
172,1,168,1,0,0,0,0,0,1
169,2,261,1,0,0,0,0,0,1
222,2,491,1,0,0,0,0,0,1
195,4,319,1,0,0,0,0,0,1
168,2,237,1,0,0,0,0,0,1
157,1,512,1,0,0,0,0,0,1
190,1,378,1,0,0,0,0,0,1
216,1,342,1,0,0,0,0,0,1
217,2,238,1,0,0,0,0,0,1
240,3,328,1,0,0,0,0,0,1
216,1,138,1,0,0,0,0,0,1
205,2,435,1,0,0,0,0,0,1
206,2,529,1,0,0,0,0,0,1
244,1,669,1,0,0,0,0,0,1
228,1,278,1,0,0,0,0,0,1
216,3,287,1,0,0,0,0,0,1
198,2,393,1,0,0,0,0,0,1
179,1,250,1,0,0,0,0,0,1
190,1,333,1,0,0,0,0,0,1
201,2,235,1,0,0,0,0,0,1
187,3,333,1,0,0,0,0,0,1
185,3,145,1,0,0,0,0,0,1
193,3,252,1,0,0,0,0,0,1
211,1,155,1,0,0,0,0,0,1
201,3,406,1,0,0,0,0,0,1
188,1,488,1,0,0,0,0,0,1
190,2,141,1,0,0,0,0,0,1
192,3,239,1,0,0,0,0,0,1
183,1,274,1,0,0,0,0,0,1
156,4,360,1,0,0,0,0,0,1
157,1,396,1,0,0,0,0,0,1
146,1,252,1,0,0,0,0,0,1
106,1,159,1,0,0,0,0,0,1
189,2,160,1,0,0,0,0,0,1
151,3,215,1,0,0,0,0,0,1
165,2,328,1,0,0,0,0,0,1
178,3,234,1,0,0,0,0,0,1
177,2,152,1,0,0,0,0,0,1
193,1,153,1,0,0,0,0,0,1
166,1,143,1,0,0,0,0,0,1
182,1,125,1,0,0,0,0,0,1
182,2,120,1,0,0,0,0,0,1
78,1,124,1,0,0,0,0,0,1
174,2,154,1,0,0,0,0,0,1
177,2,145,1,0,0,0,0,0,1
174,3,136,1,0,0,0,0,0,1
177,2,145,1,0,0,0,0,0,1
160,3,271,1,0,0,0,0,0,1
181,4,263,1,0,0,0,0,0,1
168,3,310,1,0,0,0,0,0,1
150,3,224,1,0,0,0,0,0,1
190,3,162,1,0,0,0,0,0,1
166,2,246,1,0,0,0,0,0,1
209,4,217,1,0,0,0,0,0,1
214,3,265,1,0,0,0,0,0,1
248,2,228,1,0,0,0,0,0,1
192,1,188,1,0,0,0,0,0,1
191,3,248,1,0,0,0,0,0,1
159,1,261,1,0,0,0,0,0,1
181,2,208,1,0,0,0,0,0,1
282,3,529,1,0,0,0,0,0,1
203,3,317,1,0,0,0,0,0,1
210,2,233,1,0,0,0,0,0,1
210,2,326,1,0,0,0,0,0,1
188,3,316,1,0,0,0,0,0,1
199,1,298,1,0,0,0,0,0,1
173,1,177,1,0,0,0,0,0,1
171,1,389,1,0,0,0,0,0,1
142,1,346,1,0,0,0,0,0,1
153,1,427,1,0,0,0,0,0,1
166,1,186,1,0,0,0,0,0,1
180,4,279,1,0,0,0,0,0,1
145,4,265,1,0,0,0,0,0,1
159,4,248,1,0,0,0,0,0,1
188,3,322,1,0,0,0,0,0,1
151,3,225,1,0,0,0,0,0,1
171,4,284,1,0,0,0,0,0,1
137,4,173,1,0,0,0,0,0,1
156,4,271,1,0,0,0,0,0,1
4,3,205,1,0,0,0,1,0,0
3,1,286,1,0,0,0,1,0,0
7,2,294,1,0,0,0,1,0,0
7,3,265,1,0,0,0,1,0,0
2,2,174,1,0,0,0,1,0,0
3,4,272,1,0,0,0,1,0,0
2,2,344,1,0,0,0,1,0,0
8,4,291,1,0,0,0,1,0,0
12,4,159,1,0,0,0,1,0,0
7,2,217,1,0,0,0,1,0,0
7,3,155,1,0,0,0,1,0,0
4,3,187,1,0,0,0,1,0,0
3,3,233,1,0,0,0,1,0,0
4,3,187,1,0,0,0,1,0,0
7,1,197,1,0,0,0,1,0,0
4,2,243,1,0,0,0,1,0,0
5,2,405,1,0,0,0,1,0,0
6,3,209,1,0,0,0,1,0,0
6,1,147,1,0,0,0,1,0,0
11,2,167,1,0,0,0,1,0,0
2,1,137,1,0,0,0,1,0,0
6,2,140,1,0,0,0,1,0,0
1,3,156,1,0,0,0,1,0,0
1,2,298,1,0,0,0,1,0,0
9,3,140,1,0,0,0,1,0,0
6,1,161,1,0,0,0,1,0,0
10,4,179,1,0,0,0,1,0,0
4,2,163,1,0,0,0,1,0,0
4,1,159,1,0,0,0,1,0,0
12,2,227,1,0,0,0,1,0,0
5,2,146,1,0,0,0,1,0,0
12,1,180,1,0,0,0,1,0,0
13,1,276,1,0,0,0,1,0,0
7,3,139,1,0,0,0,1,0,0
2,1,152,1,0,0,0,1,0,0
18,2,247,1,0,0,0,1,0,0
11,1,136,1,0,0,0,1,0,0
10,1,253,1,0,0,0,1,0,0
7,2,258,1,0,0,0,1,0,0
10,3,187,1,0,0,0,1,0,0
12,1,275,1,0,0,0,1,0,0
8,3,137,1,0,0,0,1,0,0
10,1,172,1,0,0,0,1,0,0
4,2,286,1,0,0,0,1,0,0
10,2,495,1,0,0,0,1,0,0
10,4,332,1,0,0,0,1,0,0
6,2,248,1,0,0,0,1,0,0
1,1,561,1,0,0,0,1,0,0
5,1,420,1,0,0,0,1,0,0
11,1,374,1,0,0,0,1,0,0
11,2,258,1,0,0,0,1,0,0
6,3,327,1,0,0,0,1,0,0
3,1,150,1,0,0,0,1,0,0
5,2,440,1,0,0,0,1,0,0
3,2,554,1,0,0,0,1,0,0
13,1,682,1,0,0,0,1,0,0
3,1,304,1,0,0,0,1,0,0
5,3,298,1,0,0,0,1,0,0
4,2,423,1,0,0,0,1,0,0
7,1,246,1,0,0,0,1,0,0
3,1,342,1,0,0,0,1,0,0
2,2,234,1,0,0,0,1,0,0
6,3,333,1,0,0,0,1,0,0
4,3,149,1,0,0,0,1,0,0
3,3,266,1,0,0,0,1,0,0
4,1,166,1,0,0,0,1,0,0
5,3,424,1,0,0,0,1,0,0
4,1,521,1,0,0,0,1,0,0
21,2,154,1,0,0,0,1,0,0
36,3,255,1,0,0,0,1,0,0
64,1,290,1,0,0,0,1,0,0
40,4,366,1,0,0,0,1,0,0
31,1,395,1,0,0,0,1,0,0
30,1,256,1,0,0,0,1,0,0
20,1,170,1,0,0,0,1,0,0
44,2,167,1,0,0,0,1,0,0
44,3,236,1,0,0,0,1,0,0
45,2,346,1,0,0,0,1,0,0
45,3,250,1,0,0,0,1,0,0
46,2,184,1,0,0,0,1,0,0
55,1,158,1,0,0,0,1,0,0
59,1,159,1,0,0,0,1,0,0
52,1,110,1,0,0,0,1,0,0
35,2,114,1,0,0,0,1,0,0
9,1,112,1,0,0,0,1,0,0
52,2,179,1,0,0,0,1,0,0
55,2,161,1,0,0,0,1,0,0
73,3,163,1,0,0,0,1,0,0
62,2,169,1,0,0,0,1,0,0
52,3,291,1,0,0,0,1,0,0
67,4,285,1,0,0,0,1,0,0
58,3,326,1,0,0,0,1,0,0
51,3,241,1,0,0,0,1,0,0
62,3,193,1,0,0,0,1,0,0
50,2,279,1,0,0,0,1,0,0
53,4,253,1,0,0,0,1,0,0
79,3,313,1,0,0,0,1,0,0
88,2,261,1,0,0,0,1,0,0
57,1,225,1,0,0,0,1,0,0
46,3,273,1,0,0,0,1,0,0
74,1,315,1,0,0,0,1,0,0
50,2,262,1,0,0,0,1,0,0
49,3,574,1,0,0,0,1,0,0
56,3,341,1,0,0,0,1,0,0
53,2,267,1,0,0,0,1,0,0
58,2,361,1,0,0,0,1,0,0
58,3,338,1,0,0,0,1,0,0
39,1,330,1,0,0,0,1,0,0
36,1,196,1,0,0,0,1,0,0
39,1,384,1,0,0,0,1,0,0
42,1,345,1,0,0,0,1,0,0
66,1,449,1,0,0,0,1,0,0
54,1,218,1,0,0,0,1,0,0
60,4,315,1,0,0,0,1,0,0
64,4,309,1,0,0,0,1,0,0
53,4,289,1,0,0,0,1,0,0
52,3,348,1,0,0,0,1,0,0
61,3,265,1,0,0,0,1,0,0
70,4,321,1,0,0,0,1,0,0
77,4,195,1,0,0,0,1,0,0
75,4,328,1,0,0,0,1,0,0
22,2,186,1,0,0,0,0,1,0
15,3,182,1,0,0,0,0,1,0
27,1,263,1,0,0,0,0,1,0
30,2,277,1,0,0,0,0,1,0
83,3,248,1,0,0,0,0,1,0
44,2,158,1,0,0,0,0,1,0
29,4,258,1,0,0,0,0,1,0
56,2,329,1,0,0,0,0,1,0
14,4,286,1,0,0,0,0,1,0
29,4,156,1,0,0,0,0,1,0
46,2,211,1,0,0,0,0,1,0
18,3,145,1,0,0,0,0,1,0
20,3,180,1,0,0,0,0,1,0
24,3,230,1,0,0,0,0,1,0
48,3,170,1,0,0,0,0,1,0
33,1,177,1,0,0,0,0,1,0
41,2,232,1,0,0,0,0,1,0
34,2,398,1,0,0,0,0,1,0
