demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
195,231,1,0,0,0,0,0,1
187,144,1,0,0,0,0,0,1
193,245,1,0,0,0,0,0,1
242,317,1,0,0,0,0,0,1
154,278,1,0,0,0,0,0,1
237,151,1,0,0,0,0,0,1
235,204,1,0,0,0,0,0,1
175,135,1,0,0,0,0,0,1
243,171,1,0,0,0,0,0,1
237,225,1,0,0,0,0,0,1
208,155,1,0,0,0,0,0,1
273,158,1,0,0,0,0,0,1
183,222,1,0,0,0,0,0,1
207,389,1,0,0,0,0,0,1
221,204,1,0,0,0,0,0,1
219,151,1,0,0,0,0,0,1
193,157,1,0,0,0,0,0,1
224,142,1,0,0,0,0,0,1
194,139,1,0,0,0,0,0,1
178,140,1,0,0,0,0,0,1
103,288,1,0,0,0,0,0,1
174,139,1,0,0,0,0,0,1
166,139,1,0,0,0,0,0,1
191,152,1,0,0,0,0,0,1
170,140,1,0,0,0,0,0,1
177,141,1,0,0,0,0,0,1
214,210,1,0,0,0,0,0,1
173,128,1,0,0,0,0,0,1
169,159,1,0,0,0,0,0,1
165,252,1,0,0,0,0,0,1
98,120,1,0,0,0,0,0,1
212,142,1,0,0,0,0,0,1
173,241,1,0,0,0,0,0,1
193,121,1,0,0,0,0,0,1
167,234,1,0,0,0,0,0,1
205,237,1,0,0,0,0,0,1
212,176,1,0,0,0,0,0,1
190,262,1,0,0,0,0,0,1
184,134,1,0,0,0,0,0,1
172,168,1,0,0,0,0,0,1
169,261,1,0,0,0,0,0,1
222,491,1,0,0,0,0,0,1
195,319,1,0,0,0,0,0,1
168,237,1,0,0,0,0,0,1
157,512,1,0,0,0,0,0,1
190,378,1,0,0,0,0,0,1
216,342,1,0,0,0,0,0,1
217,238,1,0,0,0,0,0,1
240,328,1,0,0,0,0,0,1
216,138,1,0,0,0,0,0,1
205,435,1,0,0,0,0,0,1
206,529,1,0,0,0,0,0,1
244,669,1,0,0,0,0,0,1
228,278,1,0,0,0,0,0,1
216,287,1,0,0,0,0,0,1
198,393,1,0,0,0,0,0,1
179,250,1,0,0,0,0,0,1
190,333,1,0,0,0,0,0,1
201,235,1,0,0,0,0,0,1
187,333,1,0,0,0,0,0,1
185,145,1,0,0,0,0,0,1
193,252,1,0,0,0,0,0,1
211,155,1,0,0,0,0,0,1
201,406,1,0,0,0,0,0,1
188,488,1,0,0,0,0,0,1
190,141,1,0,0,0,0,0,1
192,239,1,0,0,0,0,0,1
183,274,1,0,0,0,0,0,1
156,360,1,0,0,0,0,0,1
157,396,1,0,0,0,0,0,1
146,252,1,0,0,0,0,0,1
106,159,1,0,0,0,0,0,1
189,160,1,0,0,0,0,0,1
151,215,1,0,0,0,0,0,1
165,328,1,0,0,0,0,0,1
178,234,1,0,0,0,0,0,1
177,152,1,0,0,0,0,0,1
193,153,1,0,0,0,0,0,1
166,143,1,0,0,0,0,0,1
182,125,1,0,0,0,0,0,1
182,120,1,0,0,0,0,0,1
78,124,1,0,0,0,0,0,1
174,154,1,0,0,0,0,0,1
177,145,1,0,0,0,0,0,1
174,136,1,0,0,0,0,0,1
177,145,1,0,0,0,0,0,1
160,271,1,0,0,0,0,0,1
181,263,1,0,0,0,0,0,1
168,310,1,0,0,0,0,0,1
150,224,1,0,0,0,0,0,1
190,162,1,0,0,0,0,0,1
166,246,1,0,0,0,0,0,1
209,217,1,0,0,0,0,0,1
214,265,1,0,0,0,0,0,1
248,228,1,0,0,0,0,0,1
192,188,1,0,0,0,0,0,1
191,248,1,0,0,0,0,0,1
159,261,1,0,0,0,0,0,1
181,208,1,0,0,0,0,0,1
282,529,1,0,0,0,0,0,1
203,317,1,0,0,0,0,0,1
210,233,1,0,0,0,0,0,1
210,326,1,0,0,0,0,0,1
188,316,1,0,0,0,0,0,1
199,298,1,0,0,0,0,0,1
173,177,1,0,0,0,0,0,1
171,389,1,0,0,0,0,0,1
142,346,1,0,0,0,0,0,1
153,427,1,0,0,0,0,0,1
166,186,1,0,0,0,0,0,1
180,279,1,0,0,0,0,0,1
145,265,1,0,0,0,0,0,1
159,248,1,0,0,0,0,0,1
188,322,1,0,0,0,0,0,1
151,225,1,0,0,0,0,0,1
171,284,1,0,0,0,0,0,1
137,173,1,0,0,0,0,0,1
156,271,1,0,0,0,0,0,1
4,205,1,0,0,0,1,0,0
3,286,1,0,0,0,1,0,0
7,294,1,0,0,0,1,0,0
7,265,1,0,0,0,1,0,0
2,174,1,0,0,0,1,0,0
3,272,1,0,0,0,1,0,0
2,344,1,0,0,0,1,0,0
8,291,1,0,0,0,1,0,0
12,159,1,0,0,0,1,0,0
7,217,1,0,0,0,1,0,0
7,155,1,0,0,0,1,0,0
