demand,civilians_rank,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
195,3,1,0,0,0,0,0,1
187,2,1,0,0,0,0,0,1
193,4,1,0,0,0,0,0,1
242,2,1,0,0,0,0,0,1
154,4,1,0,0,0,0,0,1
237,4,1,0,0,0,0,0,1
235,2,1,0,0,0,0,0,1
175,3,1,0,0,0,0,0,1
243,3,1,0,0,0,0,0,1
237,3,1,0,0,0,0,0,1
208,3,1,0,0,0,0,0,1
273,1,1,0,0,0,0,0,1
183,2,1,0,0,0,0,0,1
207,2,1,0,0,0,0,0,1
221,3,1,0,0,0,0,0,1
219,1,1,0,0,0,0,0,1
193,2,1,0,0,0,0,0,1
224,1,1,0,0,0,0,0,1
194,2,1,0,0,0,0,0,1
178,3,1,0,0,0,0,0,1
103,2,1,0,0,0,0,0,1
174,3,1,0,0,0,0,0,1
166,1,1,0,0,0,0,0,1
191,4,1,0,0,0,0,0,1
170,2,1,0,0,0,0,0,1
177,1,1,0,0,0,0,0,1
214,2,1,0,0,0,0,0,1
173,2,1,0,0,0,0,0,1
169,1,1,0,0,0,0,0,1
165,1,1,0,0,0,0,0,1
98,3,1,0,0,0,0,0,1
212,1,1,0,0,0,0,0,1
173,2,1,0,0,0,0,0,1
193,1,1,0,0,0,0,0,1
167,1,1,0,0,0,0,0,1
205,2,1,0,0,0,0,0,1
212,3,1,0,0,0,0,0,1
190,1,1,0,0,0,0,0,1
184,3,1,0,0,0,0,0,1
172,1,1,0,0,0,0,0,1
169,2,1,0,0,0,0,0,1
222,2,1,0,0,0,0,0,1
195,4,1,0,0,0,0,0,1
168,2,1,0,0,0,0,0,1
157,1,1,0,0,0,0,0,1
190,1,1,0,0,0,0,0,1
216,1,1,0,0,0,0,0,1
217,2,1,0,0,0,0,0,1
240,3,1,0,0,0,0,0,1
216,1,1,0,0,0,0,0,1
205,2,1,0,0,0,0,0,1
206,2,1,0,0,0,0,0,1
244,1,1,0,0,0,0,0,1
