demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
195,204,197,200,194,200
187,195,204,197,200,194
193,187,195,204,197,200
242,193,187,195,204,197
154,242,193,187,195,204
237,154,242,193,187,195
235,237,154,242,193,187
175,235,237,154,242,193
243,175,235,237,154,242
237,243,175,235,237,154
208,237,243,175,235,237
273,208,237,243,175,235
183,273,208,237,243,175
207,183,273,208,237,243
221,207,183,273,208,237
219,221,207,183,273,208
193,219,221,207,183,273
224,193,219,221,207,183
194,224,193,219,221,207
178,194,224,193,219,221
103,178,194,224,193,219
174,103,178,194,224,193
166,174,103,178,194,224
191,166,174,103,178,194
170,191,166,174,103,178
177,170,191,166,174,103
214,177,170,191,166,174
173,214,177,170,191,166
169,173,214,177,170,191
165,169,173,214,177,170
98,165,169,173,214,177
212,98,165,169,173,214
173,212,98,165,169,173
193,173,212,98,165,169
167,193,173,212,98,165
205,167,193,173,212,98
212,205,167,193,173,212
190,212,205,167,193,173
184,190,212,205,167,193
172,184,190,212,205,167
169,172,184,190,212,205
222,169,172,184,190,212
195,222,169,172,184,190
168,195,222,169,172,184
157,168,195,222,169,172
190,157,168,195,222,169
216,190,157,168,195,222
217,216,190,157,168,195
240,217,216,190,157,168
216,240,217,216,190,157
205,216,240,217,216,190
206,205,216,240,217,216
244,206,205,216,240,217
228,244,206,205,216,240
216,228,244,206,205,216
198,216,228,244,206,205
179,198,216,228,244,206
190,179,198,216,228,244
201,190,179,198,216,228
187,201,190,179,198,216
185,187,201,190,179,198
193,185,187,201,190,179
211,193,185,187,201,190
201,211,193,185,187,201
188,201,211,193,185,187
190,188,201,211,193,185
192,190,188,201,211,193
183,192,190,188,201,211
156,183,192,190,188,201
157,156,183,192,190,188
146,157,156,183,192,190
106,146,157,156,183,192
189,106,146,157,156,183
151,189,106,146,157,156
165,151,189,106,146,157
178,165,151,189,106,146
177,178,165,151,189,106
193,177,178,165,151,189
166,193,177,178,165,151
182,166,193,177,178,165
182,182,166,193,177,178
78,182,182,166,193,177
174,78,182,182,166,193
177,174,78,182,182,166
174,177,174,78,182,182
177,174,177,174,78,182
160,177,174,177,174,78
181,160,177,174,177,174
168,181,160,177,174,177
150,168,181,160,177,174
190,150,168,181,160,177
166,190,150,168,181,160
209,166,190,150,168,181
214,209,166,190,150,168
248,214,209,166,190,150
192,248,214,209,166,190
191,192,248,214,209,166
159,191,192,248,214,209
181,159,191,192,248,214
282,181,159,191,192,248
203,282,181,159,191,192
210,203,282,181,159,191
210,210,203,282,181,159
188,210,210,203,282,181
199,188,210,210,203,282
173,199,188,210,210,203
171,173,199,188,210,210
142,171,173,199,188,210
153,142,171,173,199,188
166,153,142,171,173,199
180,166,153,142,171,173
145,180,166,153,142,171
159,145,180,166,153,142
188,159,145,180,166,153
151,188,159,145,180,166
171,151,188,159,145,180
137,171,151,188,159,145
156,137,171,151,188,159
4,11,3,1,4,1
3,4,11,3,1,4
7,3,4,11,3,1
7,7,3,4,11,3
2,7,7,3,4,11
3,2,7,7,3,4
2,3,2,7,7,3
8,2,3,2,7,7
12,8,2,3,2,7
7,12,8,2,3,2
7,7,12,8,2,3
4,7,7,12,8,2
3,4,7,7,12,8
4,3,4,7,7,12
7,4,3,4,7,7
4,7,4,3,4,7
5,4,7,4,3,4
