demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
16,2,159.98611276654668,13.885714285714286,8.850000000000003,0.0,52.0,25.0,46.0,40.0,40.0,38.70396099994088,13.559997951815538
46,3,163.489738777563,16.214285714285715,10.114285714285714,26.2,16.0,52.0,25.0,46.0,40.0,38.97772650703687,6.003999193039951
37,1,246.2899429166637,17.228571428571428,12.750000000000002,7.1,46.0,16.0,52.0,25.0,46.0,39.251492014132864,4.069795306059239
31,2,264.1132733307715,17.085714285714285,15.857142857142856,7.1,37.0,46.0,16.0,52.0,25.0,39.52525752122886,3.7093093677964735
50,3,231.33095211468566,19.285714285714285,17.585714285714285,19.1,31.0,37.0,46.0,16.0,52.0,39.799023028324854,-8.212074006363729
43,2,144.40668466006133,15.957142857142856,16.657142857142855,22.200000000000006,50.0,31.0,37.0,46.0,16.0,40.07278853542085,12.61013236306581
16,4,244.8754863754608,17.942857142857143,10.564285714285717,0.6,43.0,50.0,31.0,37.0,46.0,40.34655404251684,4.477210527367145
55,2,316.91085895810045,16.585714285714285,14.578571428571431,0.0,16.0,43.0,50.0,31.0,37.0,40.620319549612844,-5.479429257049474
59,4,278.3157747216301,19.04285714285714,13.785714285714285,0.3,55.0,16.0,43.0,50.0,31.0,40.894085056708825,-1.0995305799276305
52,4,150.5467487191338,18.585714285714285,14.014285714285714,17.3,59.0,55.0,16.0,43.0,50.0,41.167850563804826,21.719470661296786
65,2,203.5695670556664,21.185714285714287,12.871428571428574,0.3,52.0,59.0,55.0,16.0,43.0,41.44161607090082,-5.54806655901726
26,3,134.50350458080393,22.142857142857146,12.978571428571426,0.3,65.0,52.0,59.0,55.0,16.0,41.71538157799681,8.585037246309723
53,3,171.14750310169006,23.728571428571428,14.592857142857143,0.0,26.0,65.0,52.0,59.0,55.0,41.98914708509281,-9.73057689708125
44,3,224.5389332868084,20.785714285714285,14.242857142857144,26.9,53.0,26.0,65.0,52.0,59.0,42.26291259218881,-3.9372166814978655
52,3,155.38830661683824,21.6,14.714285714285715,0.3,44.0,53.0,26.0,65.0,52.0,42.5366780992848,0.14781020075219273
36,1,158.32790812801647,22.685714285714287,11.95,0.8,52.0,44.0,53.0,26.0,65.0,42.810443606380794,20.960401185566344
