demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
75,2,186.43526517277485,13.885714285714286,8.850000000000003,0.0,97.0,82.0,105.0,51.0,32.0,71.98701721952594,22.846163389297924
111,3,181.55742689909763,16.214285714285715,10.114285714285714,26.2,75.0,97.0,82.0,105.0,51.0,72.9216994266725,-10.465397346417603
86,1,263.392347974706,17.228571428571428,12.750000000000002,7.1,111.0,75.0,97.0,82.0,105.0,73.85638163381907,-21.770547825722872
79,2,277.10359385370367,17.085714285714285,15.857142857142856,7.1,86.0,111.0,75.0,97.0,82.0,74.79106384096562,-13.646211125540946
84,3,248.01479352285432,19.285714285714285,17.585714285714285,19.1,79.0,86.0,111.0,75.0,97.0,75.72574604811219,10.096715318230704
82,2,157.92623268711583,15.957142857142856,16.657142857142855,22.200000000000006,84.0,79.0,86.0,111.0,75.0,76.66042825525875,-16.31099926363866
83,4,257.817279482238,17.942857142857143,10.564285714285717,0.6,82.0,84.0,79.0,86.0,111.0,77.59511046240532,0.44154256474838216
97,2,329.26301704747834,16.585714285714285,14.578571428571431,0.0,83.0,82.0,84.0,79.0,86.0,78.52979266955188,16.88318695723799
59,4,285.5165397063073,19.04285714285714,13.785714285714285,0.3,97.0,83.0,82.0,84.0,79.0,79.46447487669846,32.64534417024041
94,4,156.34774483563137,18.585714285714285,14.014285714285714,17.3,59.0,97.0,83.0,82.0,84.0,80.39915708384501,-2.919421693680227
92,2,211.09091637462063,21.185714285714287,12.871428571428574,0.3,94.0,59.0,97.0,83.0,82.0,81.33383929099156,8.983761160347846
74,3,144.512714366764,22.142857142857146,12.978571428571426,0.3,92.0,94.0,59.0,97.0,83.0,82.26852149813813,4.858097860529762
58,3,180.22726773569332,23.728571428571428,14.592857142857143,0.0,74.0,92.0,94.0,59.0,97.0,83.20320370528471,12.302947381224485
68,3,230.27464388098664,20.785714285714285,14.242857142857144,26.9,58.0,74.0,92.0,94.0,59.0,84.13788591243127,-19.992587713465397
100,3,169.8745938593517,21.6,14.714285714285715,0.3,68.0,58.0,74.0,92.0,94.0,85.07256811957781,-13.61504588507836
87,1,176.8631885734666,22.685714285714287,11.95,0.8,100.0,68.0,58.0,74.0,92.0,86.00725032672439,-7.878529697716953
104,2,232.11952042456716,24.128571428571433,15.857142857142858,0.3,87.0,100.0,68.0,58.0,74.0,86.94193253387094,-11.494577612919645
95,2,398.12420355153574,25.385714285714286,17.45,0.0,104.0,87.0,100.0,68.0,58.0,87.87661474101749,26.19386165136484
74,3,208.4436685556848,24.82857142857143,13.092857142857143,0.0,95.0,104.0,87.0,100.0,68.0,88.81129694816406,-4.848468315119918
101,1,151.89446655709568,25.985714285714284,16.885714285714286,0.0,74.0,95.0,104.0,87.0,100.0,89.74597915531065,-0.3907982816046615
112,2,162.8816983486657,26.91428571428571,15.285714285714285,0.0,101.0,74.0,95.0,104.0,87.0,90.6806613624572,-15.026076966038131
88,1,141.9443609098556,27.314285714285717,16.428571428571427,0.0,112.0,101.0,74.0,95.0,104.0,91.61534356960377,-6.6325094966254605
80,2,140.420895478268,27.87142857142857,16.885714285714286,0.0,88.0,112.0,101.0,74.0,95.0,92.55002577675032,-27.74197147947603
65,3,147.52670643127001,28.02857142857143,19.65714285714285,0.0,80.0,88.0,112.0,101.0,74.0,93.48470798389691,-58.66823355514478
53,2,294.0767818932507,27.942857142857147,18.15,0.0,65.0,80.0,88.0,112.0,101.0,94.41939019104343,-37.83167511799296
75,3,140.30938835006742,28.02857142857143,19.06428571428572,0.0,53.0,65.0,80.0,88.0,112.0,95.35407239819,7.729242293517808
91,1,147.72537301503448,28.40000000000001,16.55,0.0,75.0,53.0,65.0,80.0,88.0,94.11538461538464,26.655642009371533
92,4,164.92997875385663,28.657142857142862,16.435714285714287,0.0,91.0,75.0,53.0,65.0,80.0,95.55769230769234,-28.27316189468422
97,2,151.93731121128332,28.500000000000004,11.714285714285712,0.0,92.0,91.0,75.0,53.0,65.0,96.10576923076924,-16.94555554232972
97,1,149.16119185994813,29.442857142857147,14.014285714285714,0.0,97.0,92.0,91.0,75.0,53.0,96.73076923076924,10.869230297204261
107,2,216.67776898409556,28.571428571428577,11.6,0.0,97.0,97.0,92.0,91.0,75.0,98.42307692307692,4.414785367507466
84,2,135.32577063195959,28.1,15.164285714285715,0.0,107.0,97.0,97.0,92.0,91.0,100.11538461538464,-2.0428646903944347
73,1,169.62627738948876,27.7,14.235714285714286,0.0,84.0,107.0,97.0,97.0,92.0,101.86538461538464,-21.032566030347635
85,1,263.89250020465084,26.6,22.300000000000004,16.0,73.0,84.0,107.0,97.0,97.0,103.6538461538462,-30.342780190813674
37,3,128.52077614999587,25.342857142857138,13.192857142857141,8.9,85.0,73.0,84.0,107.0,97.0,105.20192307692308,-17.239532812818133
77,1,147.3543433336823,25.17142857142857,10.678571428571429,5.8,37.0,85.0,73.0,84.0,107.0,106.98076923076924,-16.78051620405338
100,2,244.44156065939887,22.7,15.971428571428573,29.800000000000004,77.0,37.0,85.0,73.0,84.0,108.34615384615385,-19.27662780041684
80,1,127.80122864757334,23.228571428571428,10.571428571428571,0.0,100.0,77.0,37.0,85.0,73.0,109.125,24.59585034680946
101,1,244.582438204952,21.828571428571426,11.95,16.5,80.0,100.0,77.0,37.0,85.0,110.22115384615385,27.340123365830607
122,2,247.29137080029238,20.628571428571426,8.735714285714286,0.0,101.0,80.0,100.0,77.0,37.0,111.3846153846154,-24.65598823053284
151,3,183.148415771314,20.4,11.714285714285715,46.3,122.0,101.0,80.0,100.0,77.0,112.29807692307692,12.453669403872945
124,1,269.54253763020483,18.18571428571429,17.928571428571427,37.9,151.0,122.0,101.0,80.0,100.0,112.81730769230771,-0.6129550130033453
104,3,137.09378685065437,17.7,12.985714285714286,19.3,124.0,151.0,122.0,101.0,80.0,113.26923076923076,18.46144621114604
101,1,172.36733261652537,20.4,9.428571428571429,13.0,104.0,124.0,151.0,122.0,101.0,113.78846153846152,6.599949999397963
141,2,274.01678826786844,18.414285714285715,13.664285714285715,6.699999999999998,101.0,104.0,124.0,151.0,122.0,114.26923076923076,-2.2679564687603664
114,2,495.8699226951202,17.014285714285712,10.571428571428571,17.0,141.0,101.0,104.0,124.0,151.0,115.09615384615385,27.941060140004385
134,4,327.19062223784437,16.75714285714286,14.592857142857143,3.0,114.0,141.0,101.0,104.0,124.0,115.7403846153846,30.23982033851272
82,2,243.04366444330762,14.914285714285715,18.95,34.6,134.0,114.0,141.0,101.0,104.0,116.07692307692308,37.522554895995405
102,1,532.5640666321978,10.157142857142855,15.52142857142857,17.8,82.0,134.0,114.0,141.0,101.0,116.53846153846158,-8.622907793937024
118,1,398.0549685709452,14.357142857142856,10.335714285714287,16.3,102.0,82.0,134.0,114.0,141.0,116.65384615384615,9.66074605221683
167,1,357.3140855152916,16.614285714285714,8.735714285714286,0.0,118.0,102.0,82.0,134.0,114.0,116.625,12.670361436832211
177,2,248.08535369829758,15.957142857142856,14.821428571428571,16.0,167.0,118.0,102.0,82.0,134.0,117.79807692307692,64.92036143683221
145,3,329.90649829564273,16.842857142857145,19.76428571428571,9.4,177.0,167.0,118.0,102.0,82.0,119.81730769230772,22.846163389297924
98,1,143.27778209209572,12.371428571428574,22.071428571428577,41.2,145.0,177.0,167.0,118.0,102.0,120.90384615384615,-10.465397346417603
164,2,437.928780015276,11.828571428571431,17.571428571428573,22.0,98.0,145.0,177.0,167.0,118.0,121.25,-21.770547825722872
177,2,543.890244487772,16.928571428571427,14.578571428571431,4.8,164.0,98.0,145.0,177.0,167.0,121.81730769230772,-13.646211125540946
162,1,676.429951648845,18.342857142857145,9.421428571428573,0.3,177.0,164.0,98.0,145.0,177.0,122.69230769230771,10.096715318230704
186,1,289.4455708326017,16.52857142857143,14.585714285714287,6.3,162.0,177.0,164.0,98.0,145.0,123.44230769230772,-16.31099926363866
165,3,293.8561287895166,16.285714285714285,20.45714285714286,6.6,186.0,162.0,177.0,164.0,98.0,124.29807692307695,0.44154256474838216
176,2,406.24290334188566,18.81428571428572,12.757142857142856,2.6,165.0,186.0,162.0,177.0,164.0,125.375,16.88318695723799
165,1,249.80694004045944,18.32857142857143,15.171428571428573,0.0,176.0,165.0,186.0,162.0,177.0,125.5,32.64534417024041
130,1,339.2408266600142,16.52857142857143,18.95,27.800000000000004,165.0,176.0,165.0,186.0,162.0,126.08653846153848,-2.919421693680227
137,2,235.8041949035175,18.885714285714286,15.75,0.6,130.0,165.0,176.0,165.0,186.0,127.25961538461536,8.983761160347846
143,3,334.6220287735815,19.428571428571427,19.29285714285714,1.3,137.0,130.0,165.0,176.0,165.0,128.73076923076923,4.858097860529762
110,3,147.7523274445889,21.04285714285714,14.242857142857144,0.6,143.0,137.0,130.0,165.0,176.0,131.18269230769232,12.302947381224485
111,3,260.7197065295859,21.814285714285717,12.064285714285715,2.3,110.0,143.0,137.0,130.0,165.0,132.98076923076923,-19.992587713465397
111,1,160.72669000091332,24.74285714285714,13.442857142857143,3.1,111.0,110.0,143.0,137.0,130.0,134.17307692307696,-13.61504588507836
123,3,416.49747286204354,24.2,14.135714285714286,0.6,111.0,111.0,110.0,143.0,137.0,134.7019230769231,-7.878529697716953
