demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
11,2,159.98611276654668,13.885714285714286,8.850000000000003,0.0,0.0,18.0,9.0,7.0,11.0,-111.94037936152466,31.29308664545423
8,3,163.489738777563,16.214285714285715,10.114285714285714,26.2,11.0,0.0,18.0,9.0,7.0,-107.22329151041906,36.810467618162654
15,1,246.2899429166637,17.228571428571428,12.750000000000002,7.1,8.0,11.0,0.0,18.0,9.0,-102.50620365931343,34.616310129332554
18,2,264.1132733307715,17.085714285714285,15.857142857142856,7.1,15.0,8.0,11.0,0.0,18.0,-97.78911580820784,34.6529218712717
24,3,231.33095211468566,19.285714285714285,17.585714285714285,19.1,18.0,15.0,8.0,11.0,0.0,-93.07202795710222,20.01966181833909
15,2,144.40668466006133,15.957142857142856,16.657142857142855,22.200000000000006,24.0,18.0,15.0,8.0,11.0,-88.35494010599663,28.162042791047448
19,4,244.8754863754608,17.942857142857143,10.564285714285717,0.6,15.0,24.0,18.0,15.0,8.0,-83.63785225489102,25.83006478939688
7,2,316.91085895810045,16.585714285714285,14.578571428571431,0.0,19.0,15.0,24.0,18.0,15.0,-78.92076440378541,37.53334319800271
19,4,278.3157747216301,19.04285714285714,13.785714285714285,0.3,7.0,19.0,15.0,24.0,18.0,-74.2036765526798,22.05713442712134
14,4,150.5467487191338,18.585714285714285,14.014285714285714,17.3,19.0,7.0,19.0,15.0,24.0,-69.48658870157419,7.276438476752826
6,2,203.5695670556664,21.185714285714287,12.871428571428574,0.3,14.0,19.0,7.0,19.0,15.0,-64.76950085046857,23.998947654589397
4,3,134.50350458080393,22.142857142857146,12.978571428571426,0.3,6.0,14.0,19.0,7.0,19.0,-60.052412999362964,55.53555939652857
15,3,171.14750310169006,23.728571428571428,14.592857142857143,0.0,4.0,6.0,14.0,19.0,7.0,-55.33532514825736,74.6170429333395
13,3,224.5389332868084,20.785714285714285,14.242857142857144,26.9,15.0,4.0,6.0,14.0,19.0,-50.618237297151744,29.153654675278663
48,3,155.38830661683824,21.6,14.714285714285715,0.3,13.0,15.0,4.0,6.0,14.0,-45.901149446046155,41.5973176992691
34,1,158.32790812801647,22.685714285714287,11.95,0.8,48.0,13.0,15.0,4.0,6.0,-41.18406159494053,68.02495508223389
7,2,221.72564598648083,24.128571428571433,15.857142857142858,0.3,34.0,48.0,13.0,15.0,4.0,-36.46697374383493,51.85002836263456
33,2,388.9571769963118,25.385714285714286,17.45,0.0,7.0,34.0,48.0,13.0,15.0,-31.749885892729324,13.553306771240432
33,3,203.91777922854146,24.82857142857143,13.092857142857143,0.0,33.0,7.0,34.0,48.0,13.0,-27.03279804162371,32.371969795230854
28,1,151.38852626192013,25.985714285714284,16.885714285714286,0.0,33.0,33.0,7.0,34.0,48.0,-22.315710190518107,50.07204307563154
