demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
200,142.5365490045076,149.0,235.0,151.0,151.0,202.50022657271006,-8.911383903650774
194,159.98611276654668,200.0,149.0,235.0,151.0,202.24213275518974,41.69708326629189
200,163.489738777563,194.0,200.0,149.0,235.0,201.98403893766948,20.722217102901226
197,246.2899429166637,200.0,194.0,200.0,149.0,201.7259451201492,16.785812477972087
204,264.1132733307715,197.0,200.0,194.0,200.0,201.46785130262887,12.003254006889136
195,231.33095211468566,204.0,197.0,200.0,194.0,201.20975748510853,7.111721176831773
187,144.40668466006133,195.0,204.0,197.0,200.0,200.95166366758824,20.31313706472318
193,244.8754863754608,187.0,195.0,204.0,197.0,200.6935698500679,3.838270901332532
242,316.91085895810045,193.0,187.0,195.0,204.0,200.4354760325476,1.2864816610187697
154,278.3157747216301,242.0,193.0,187.0,195.0,200.1773822150273,1.718666779679392
237,150.5467487191338,154.0,242.0,193.0,187.0,199.91928839750702,-30.916455793967685
235,203.5695670556664,237.0,154.0,242.0,193.0,199.6611945799867,4.256113940077541
175,134.50350458080393,235.0,237.0,154.0,242.0,199.40310076246638,11.72996572540482
243,171.14750310169006,175.0,235.0,237.0,154.0,199.1450069449461,-24.70964402772941
237,224.5389332868084,243.0,175.0,235.0,237.0,198.88691312742577,1.9725410909311933
208,155.38830661683824,237.0,243.0,175.0,235.0,198.62881930990542,12.302162107027721
273,158.32790812801647,208.0,237.0,243.0,175.0,198.37072549238513,-3.650268158927057
183,221.72564598648083,273.0,208.0,237.0,243.0,198.11263167486484,21.38448106229765
207,388.9571769963118,183.0,273.0,208.0,237.0,197.85453785734447,-24.47179535750327
221,203.91777922854146,207.0,183.0,273.0,208.0,197.59644403982418,-9.888969213201626
219,151.38852626192013,221.0,207.0,183.0,273.0,197.33835022230392,-7.453578966335896
193,156.57328905189775,219.0,221.0,207.0,183.0,197.0802564047836,-17.540624616906037
224,142.20932151761502,193.0,219.0,221.0,207.0,196.8221625872633,-21.948183087988987
194,138.5196039382167,224.0,193.0,219.0,221.0,196.56406876974296,-33.99797531424648
178,139.80512555796142,194.0,224.0,193.0,219.0,196.30597495222267,-43.783424229214944
103,287.70612039690474,178.0,194.0,224.0,193.0,196.04788113470238,-26.392591092901373
174,138.60799647929295,103.0,178.0,194.0,224.0,192.00961538461542,-29.187213466245066
166,138.72947912932148,174.0,103.0,178.0,194.0,192.8173076923077,-3.9048474998741365
191,152.1570146606666,166.0,174.0,103.0,178.0,193.42307692307702,-4.5487635847852905
170,140.35075927291882,191.0,166.0,174.0,103.0,194.0192307692308,12.038089561072832
177,140.51583307609846,170.0,191.0,166.0,174.0,194.25000000000003,-14.054544472556262
214,210.15648967129678,177.0,170.0,191.0,166.0,194.34615384615384,18.936154827148
173,127.68577111437149,214.0,177.0,170.0,191.0,194.8365384615384,1.9557002806984196
169,158.59826831992697,173.0,214.0,177.0,170.0,195.70192307692304,-21.03116452216144
165,251.96159610520385,169.0,173.0,214.0,177.0,196.31730769230762,-14.601362658354617
98,120.26244551510351,165.0,169.0,173.0,214.0,196.11538461538458,-24.229253102240094
212,141.70898315820412,98.0,165.0,169.0,173.0,195.9326923076923,-22.257784571766628
173,241.269479438795,212.0,98.0,165.0,169.0,195.72115384615387,25.95406857409147
193,121.2296599827298,173.0,212.0,98.0,165.0,194.9423076923077,-2.9943346903068564
167,234.01050395106338,193.0,173.0,212.0,98.0,194.73076923076923,4.925851788884587
205,237.09754485573674,167.0,193.0,173.0,212.0,194.28846153846158,-23.727679680641927
212,176.18147371500538,205.0,167.0,193.0,173.0,193.3076923076923,17.013019619062305
190,261.9147598367712,212.0,205.0,167.0,193.0,192.9134615384616,4.333847123894762
184,134.393734517519,190.0,212.0,205.0,167.0,192.25000000000003,-1.175453576400987
172,167.50560593542014,184.0,190.0,212.0,205.0,191.60576923076928,17.279989313046848
169,261.457238154341,172.0,184.0,190.0,212.0,191.49038461538458,16.57197066403316
222,491.394636770253,169.0,172.0,184.0,190.0,191.0480769230769,29.613952015019454
195,319.498671941728,222.0,169.0,172.0,184.0,190.4230769230769,51.77452310959553
168,236.8490643520759,195.0,222.0,169.0,172.0,189.72115384615384,59.43829933237669
157,511.7760807547797,168.0,195.0,222.0,169.0,188.72115384615387,-4.161308379414094
190,378.4098319062547,157.0,168.0,195.0,222.0,187.61538461538458,-9.094000687106387
216,342.04500762797335,190.0,157.0,168.0,195.0,186.4615384615385,-8.324769917875656
217,238.2593286643031,216.0,190.0,157.0,168.0,186.59615384615387,-8.911383903650774
240,328.21376989662764,217.0,216.0,190.0,157.0,187.2019230769231,41.69708326629189
216,137.89196640059237,240.0,217.0,216.0,190.0,186.97115384615387,20.722217102901226
205,434.52163652403084,216.0,240.0,217.0,216.0,186.83653846153848,16.785812477972087
206,529.2205090613355,205.0,216.0,240.0,217.0,186.77884615384616,12.003254006889136
244,668.8810772298386,206.0,205.0,216.0,240.0,187.00000000000009,7.111721176831773
228,278.0753279508005,244.0,206.0,205.0,216.0,186.6923076923077,20.31313706472318
216,287.2448691716446,228.0,244.0,206.0,205.0,186.3173076923077,3.838270901332532
198,392.8115727000725,216.0,228.0,244.0,206.0,186.52884615384616,1.2864816610187697
179,249.79011004945184,198.0,216.0,228.0,244.0,185.8173076923077,1.718666779679392
190,333.07868317493063,179.0,198.0,216.0,228.0,185.71153846153848,-30.916455793967685
201,235.0583756769028,190.0,179.0,198.0,216.0,186.10576923076923,4.256113940077541
187,332.6924391872425,201.0,190.0,179.0,198.0,185.77884615384616,11.72996572540482
185,144.99572085524701,187.0,201.0,190.0,179.0,185.63461538461536,-24.70964402772941
193,251.63810573525055,185.0,187.0,201.0,190.0,185.41346153846158,1.9725410909311933
211,155.02993560344143,193.0,185.0,187.0,201.0,185.11538461538458,12.302162107027721
201,406.1898188511355,211.0,193.0,185.0,187.0,184.46153846153842,-3.650268158927057
188,488.3615268611296,201.0,211.0,193.0,185.0,183.65384615384613,21.38448106229765
190,141.39110247532528,188.0,201.0,211.0,193.0,183.3269230769231,-24.47179535750327
192,239.46691351095112,190.0,188.0,201.0,211.0,183.3269230769231,-9.888969213201626
183,273.94801411654163,192.0,190.0,188.0,201.0,183.65384615384616,-7.453578966335896
156,360.10442926713137,183.0,192.0,190.0,188.0,183.96153846153848,-17.540624616906037
157,396.4088883050607,156.0,183.0,192.0,190.0,184.3942307692308,-21.948183087988987
146,252.19411319528686,157.0,156.0,183.0,192.0,185.13461538461542,-33.99797531424648
106,158.61879215769974,146.0,157.0,156.0,183.0,185.6923076923077,-43.783424229214944
189,160.09739658610275,106.0,146.0,157.0,156.0,185.72115384615387,-26.392591092901373
151,214.85438926836213,189.0,106.0,146.0,157.0,185.0865384615385,-29.187213466245066
165,328.4506766388863,151.0,189.0,106.0,146.0,185.37500000000003,-3.9048474998741365
178,234.23798697906426,165.0,151.0,189.0,106.0,185.6442307692308,-4.5487635847852905
177,152.15397252145584,178.0,165.0,151.0,189.0,185.23076923076923,12.038089561072832
193,152.9202433964371,177.0,178.0,165.0,151.0,185.22115384615387,-14.054544472556262
166,143.30540338989647,193.0,177.0,178.0,165.0,185.0961538461539,18.936154827148
182,124.90719360421714,166.0,193.0,177.0,178.0,184.49038461538464,1.9557002806984196
182,120.11121493277264,182.0,166.0,193.0,177.0,183.52884615384616,-21.03116452216144
78,123.60917788305954,182.0,182.0,166.0,193.0,182.5673076923077,-14.601362658354617
174,153.85731434366443,78.0,182.0,182.0,166.0,181.59615384615384,-24.229253102240094
177,145.04687997590838,174.0,78.0,182.0,182.0,180.8076923076923,-22.257784571766628
174,135.54905812514548,177.0,174.0,78.0,182.0,180.32692307692304,25.95406857409147
177,145.46682493624232,174.0,177.0,174.0,78.0,179.89423076923077,-2.9943346903068564
160,271.438602510306,177.0,174.0,177.0,174.0,179.28846153846152,4.925851788884587
181,263.05949130140715,160.0,177.0,174.0,177.0,178.63461538461536,-23.727679680641927
168,310.1821045170236,181.0,160.0,177.0,174.0,178.33653846153848,17.013019619062305
150,223.79669465417254,168.0,181.0,160.0,177.0,177.71153846153842,4.333847123894762
190,162.39738766956145,150.0,168.0,181.0,160.0,176.84615384615387,-1.175453576400987
166,245.7364223706256,190.0,150.0,168.0,181.0,176.0673076923077,17.279989313046848
209,217.24995999179643,166.0,190.0,150.0,168.0,175.25000000000003,16.57197066403316
214,265.00806860189056,209.0,166.0,190.0,150.0,174.50961538461542,29.613952015019454
248,228.00801663131847,214.0,209.0,166.0,190.0,173.59615384615387,51.77452310959553
192,187.5912648184849,248.0,214.0,209.0,166.0,173.25,59.43829933237669
191,247.59080064555252,192.0,248.0,214.0,209.0,172.77884615384616,-4.161308379414094
159,261.14588935713857,191.0,192.0,248.0,214.0,171.75000000000003,-9.094000687106387
181,207.6128084931577,159.0,191.0,192.0,248.0,172.36538461538467,-8.324769917875656
282,529.1215034424091,181.0,159.0,191.0,192.0,173.40384615384616,-8.911383903650774
