demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
39,162.7586994435919,40.0,51.0,44.0,18.0,40.68838699932357,6.470906476914758
48,186.43526517277485,39.0,40.0,51.0,44.0,40.77459586324203,0.3940932658650181
46,181.55742689909763,48.0,39.0,40.0,51.0,40.86080472716049,-7.208360970825755
45,263.392347974706,46.0,48.0,39.0,40.0,40.94701359107896,-13.131328028029346
31,277.10359385370367,45.0,46.0,48.0,39.0,41.03322245499741,-10.384423290361136
33,248.01479352285432,31.0,45.0,46.0,48.0,41.119431318915865,-15.682390347564732
51,157.92623268711583,33.0,31.0,45.0,46.0,41.20564018283433,-21.179075353486272
47,257.817279482238,51.0,33.0,31.0,45.0,41.291849046752795,3.4844960508486063
58,329.26301704747834,47.0,51.0,33.0,31.0,41.378057910671245,5.817939250055269
44,285.5165397063073,58.0,47.0,51.0,33.0,41.46426677458971,-0.9415662686867764
52,156.34774483563137,44.0,58.0,47.0,51.0,41.550475638508175,5.7957230843660446
60,211.09091637462063,52.0,44.0,58.0,47.0,41.63668450242663,16.186858591265022
61,144.512714366764,60.0,52.0,44.0,58.0,41.7228933663451,8.347224867394766
42,180.22726773569332,61.0,60.0,52.0,44.0,41.80910223026355,7.475539861473226
48,230.27464388098664,42.0,61.0,60.0,52.0,41.89531109418201,12.693598445295276
60,169.8745938593517,48.0,42.0,61.0,60.0,41.98151995810046,3.655246772707067
51,176.8631885734666,60.0,48.0,42.0,61.0,42.06772882201893,12.011125869349634
61,232.11952042456716,51.0,60.0,48.0,42.0,42.15393768593738,12.735594709581942
56,398.12420355153574,61.0,51.0,60.0,48.0,42.24014654985585,12.690832780583474
62,208.4436685556848,56.0,61.0,51.0,60.0,42.326355413774316,16.597993928508107
61,151.89446655709568,62.0,56.0,61.0,51.0,42.41256427769277,3.8833602046378415
36,162.8816983486657,61.0,62.0,56.0,61.0,42.49877314161123,2.800136737177845
50,141.9443609098556,36.0,61.0,62.0,56.0,42.58498200552969,-4.651676473871898
26,140.420895478268,50.0,36.0,61.0,62.0,42.67119086944815,-13.010966885358586
40,147.52670643127001,26.0,50.0,36.0,61.0,42.75739973336661,-28.6082344403654
18,294.0767818932507,40.0,26.0,50.0,36.0,42.84360859728507,7.147062107191879
51,140.30938835006742,18.0,40.0,26.0,50.0,44.53846153846154,11.981528577714439
38,147.72537301503448,51.0,18.0,40.0,26.0,44.62500000000001,10.717484490167617
41,164.92997875385663,38.0,51.0,18.0,40.0,44.519230769230774,-0.07540575122534797
48,151.93731121128332,41.0,38.0,51.0,18.0,44.28846153846154,3.2823450330227013
32,149.16119185994813,48.0,41.0,38.0,51.0,44.20192307692307,7.6849676121425485
51,216.67776898409556,32.0,48.0,41.0,38.0,44.355769230769226,-2.2906149369427298
36,135.32577063195959,51.0,32.0,48.0,41.0,44.31730769230769,0.6536743088437819
36,169.62627738948876,36.0,51.0,32.0,48.0,44.29807692307693,-15.055882599215856
42,263.89250020465084,36.0,36.0,51.0,32.0,44.480769230769226,-7.823131814967803
23,128.52077614999587,42.0,36.0,36.0,51.0,44.25,-11.285893851232574
60,147.3543433336823,23.0,42.0,36.0,36.0,44.18269230769232,1.2737800099385517
