demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
16,159.98611276654668,52.0,25.0,46.0,40.0,40.0,38.70396099994088,13.559997951815538
46,163.489738777563,16.0,52.0,25.0,46.0,40.0,38.97772650703687,6.003999193039951
37,246.2899429166637,46.0,16.0,52.0,25.0,46.0,39.251492014132864,4.069795306059239
31,264.1132733307715,37.0,46.0,16.0,52.0,25.0,39.52525752122886,3.7093093677964735
50,231.33095211468566,31.0,37.0,46.0,16.0,52.0,39.799023028324854,-8.212074006363729
43,144.40668466006133,50.0,31.0,37.0,46.0,16.0,40.07278853542085,12.61013236306581
16,244.8754863754608,43.0,50.0,31.0,37.0,46.0,40.34655404251684,4.477210527367145
55,316.91085895810045,16.0,43.0,50.0,31.0,37.0,40.620319549612844,-5.479429257049474
59,278.3157747216301,55.0,16.0,43.0,50.0,31.0,40.894085056708825,-1.0995305799276305
52,150.5467487191338,59.0,55.0,16.0,43.0,50.0,41.167850563804826,21.719470661296786
65,203.5695670556664,52.0,59.0,55.0,16.0,43.0,41.44161607090082,-5.54806655901726
26,134.50350458080393,65.0,52.0,59.0,55.0,16.0,41.71538157799681,8.585037246309723
53,171.14750310169006,26.0,65.0,52.0,59.0,55.0,41.98914708509281,-9.73057689708125
44,224.5389332868084,53.0,26.0,65.0,52.0,59.0,42.26291259218881,-3.9372166814978655
52,155.38830661683824,44.0,53.0,26.0,65.0,52.0,42.5366780992848,0.14781020075219273
36,158.32790812801647,52.0,44.0,53.0,26.0,65.0,42.810443606380794,20.960401185566344
58,221.72564598648083,36.0,52.0,44.0,53.0,26.0,43.08420911347679,-12.807136034747709
58,388.9571769963118,58.0,36.0,52.0,44.0,53.0,43.357974620572776,10.082378026989524
32,203.91777922854146,58.0,58.0,36.0,52.0,44.0,43.631740127668785,13.824456191290858
37,151.38852626192013,32.0,58.0,58.0,36.0,52.0,43.90550563476478,3.2908933299511767
50,156.57328905189775,37.0,32.0,58.0,58.0,36.0,44.179271141860774,-1.2843361980551828
55,142.20932151761502,50.0,37.0,32.0,58.0,58.0,44.453036648956754,-11.221745213241036
22,138.5196039382167,55.0,50.0,37.0,32.0,58.0,44.72680215605276,-3.418666177674597
47,139.80512555796142,22.0,55.0,50.0,37.0,32.0,45.00056766314874,-29.811484287948737
15,287.70612039690474,47.0,22.0,55.0,50.0,37.0,45.274333170244745,2.0969796530591704
49,138.60799647929295,15.0,47.0,22.0,55.0,50.0,45.54809867734075,-3.972120508497023
32,138.72947912932148,49.0,15.0,47.0,22.0,55.0,45.16346153846154,11.575682776041074
26,152.1570146606666,32.0,49.0,15.0,47.0,22.0,45.81730769230769,4.979248039927139
63,140.35075927291882,26.0,32.0,49.0,15.0,47.0,46.41346153846154,-4.613981567981674
59,140.51583307609846,63.0,26.0,32.0,49.0,15.0,46.78846153846154,-3.7328522015315087
41,210.15648967129678,59.0,63.0,26.0,32.0,49.0,46.95192307692307,-0.2876202709787794
51,127.68577111437149,41.0,59.0,63.0,26.0,32.0,47.33653846153846,6.930047557009847
48,158.59826831992697,51.0,41.0,59.0,63.0,26.0,47.769230769230774,-12.518951281668196
34,251.96159610520385,48.0,51.0,41.0,59.0,63.0,48.365384615384606,-0.07371935111546847
18,120.26244551510351,34.0,48.0,51.0,41.0,59.0,48.79807692307693,-2.8560515231268413
59,141.70898315820412,18.0,34.0,48.0,51.0,41.0,48.903846153846146,9.390462458707935
37,241.269479438795,59.0,18.0,34.0,48.0,51.0,48.95192307692307,7.284412337978614
51,121.2296599827298,37.0,59.0,18.0,34.0,48.0,48.86538461538462,0.9732340121210854
53,234.01050395106338,51.0,37.0,59.0,18.0,34.0,49.16346153846153,10.235773634981507
50,237.09754485573674,53.0,51.0,37.0,59.0,18.0,49.403846153846146,2.139338898867567
34,176.18147371500538,50.0,53.0,51.0,37.0,59.0,49.51923076923076,17.401878521727994
55,261.9147598367712,34.0,50.0,53.0,51.0,37.0,49.58653846153847,-20.611222881052626
50,134.393734517519,55.0,34.0,50.0,53.0,51.0,49.615384615384606,11.067983408474467
71,167.50560593542014,50.0,55.0,34.0,50.0,53.0,49.70192307692307,-3.0797333789215218
54,261.457238154341,71.0,50.0,55.0,34.0,50.0,49.846153846153854,-2.2595014483688014
63,491.394636770253,54.0,71.0,50.0,55.0,34.0,50.30769230769231,-14.855936184482735
25,319.498671941728,63.0,54.0,71.0,50.0,55.0,50.88461538461538,4.525193181967428
60,236.8490643520759,25.0,63.0,54.0,71.0,50.0,51.19230769230769,-35.20906206696702
55,511.7760807547797,60.0,25.0,63.0,54.0,71.0,51.48076923076921,-0.4713740225631392
47,378.4098319062547,55.0,60.0,25.0,63.0,54.0,52.04807692307693,6.038241362052244
42,342.04500762797335,47.0,55.0,60.0,25.0,63.0,52.17307692307693,-8.880027868716986
81,238.2593286643031,42.0,47.0,55.0,60.0,25.0,52.45192307692307,-11.706950945640068
55,328.21376989662764,81.0,42.0,47.0,55.0,60.0,53.25000000000001,13.559997951815538
69,137.89196640059237,55.0,81.0,42.0,47.0,55.0,53.80769230769232,6.003999193039951
53,434.52163652403084,69.0,55.0,81.0,42.0,47.0,54.46153846153847,4.069795306059239
32,529.2205090613355,53.0,69.0,55.0,81.0,42.0,54.721153846153854,3.7093093677964735
89,668.8810772298386,32.0,53.0,69.0,55.0,81.0,54.49999999999999,-8.212074006363729
