demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
45,186.43526517277485,37.0,52.0,54.0,62.0,61.0,47.4730538553481,8.322591105215118
59,181.55742689909763,45.0,37.0,52.0,54.0,62.0,47.19804137743074,5.202723469649115
54,263.392347974706,59.0,45.0,37.0,52.0,54.0,46.92302889951336,-8.27611852489125
34,277.10359385370367,54.0,59.0,45.0,37.0,52.0,46.648016421596004,1.793116403645309
54,248.01479352285432,34.0,54.0,59.0,45.0,37.0,46.37300394367864,-7.410084565254032
48,157.92623268711583,54.0,34.0,54.0,59.0,45.0,46.097991465761254,-0.6036701495379853
76,257.817279482238,48.0,54.0,34.0,54.0,59.0,45.82297898784388,-2.476742913309121
45,329.26301704747834,76.0,48.0,54.0,34.0,54.0,45.54796650992652,11.291209963945384
59,285.5165397063073,45.0,76.0,48.0,54.0,34.0,45.272954032009146,3.3091628411998952
46,156.34774483563137,59.0,45.0,76.0,48.0,54.0,44.99794155409178,3.5835259748646613
66,211.09091637462063,46.0,59.0,45.0,76.0,48.0,44.7229290761744,8.200837826478145
45,144.512714366764,66.0,46.0,59.0,45.0,76.0,44.44791659825704,10.151483011424963
35,180.22726773569332,45.0,66.0,46.0,59.0,45.0,44.17290412033967,-0.21838462414104487
42,230.27464388098664,35.0,45.0,66.0,46.0,59.0,43.89789164242229,-3.171585593040384
62,169.8745938593517,42.0,35.0,45.0,66.0,46.0,43.622879164504916,-8.08953015168331
42,176.8631885734666,62.0,42.0,35.0,45.0,66.0,43.347866686587544,10.71047400762248
49,232.11952042456716,42.0,62.0,42.0,35.0,45.0,43.072854208670186,-4.470291063840962
41,398.12420355153574,49.0,42.0,62.0,42.0,35.0,42.797841730752815,2.566892582644316
37,208.4436685556848,41.0,49.0,42.0,62.0,42.0,42.522829252835436,0.8668967419501098
44,151.89446655709568,37.0,41.0,49.0,42.0,62.0,42.24781677491807,-11.121560637205642
48,162.8816983486657,44.0,37.0,41.0,49.0,42.0,41.97280429700071,-7.09719750354088
40,141.9443609098556,48.0,44.0,37.0,41.0,49.0,41.697791819083335,-6.069629241670986
39,140.420895478268,40.0,48.0,44.0,37.0,41.0,41.42277934116596,-10.446747340780682
35,147.52670643127001,39.0,40.0,48.0,44.0,37.0,41.14776686324859,-15.594568247640689
29,294.0767818932507,35.0,39.0,40.0,48.0,44.0,40.87275438533122,-10.380209667321214
30,140.30938835006742,29.0,35.0,39.0,40.0,48.0,40.59774190741385,-2.7748254459760924
66,147.72537301503448,30.0,29.0,35.0,39.0,40.0,41.18269230769232,-13.725326286593685
48,164.92997875385663,66.0,30.0,29.0,35.0,39.0,41.355769230769226,3.5415922369841035
44,151.93731121128332,48.0,66.0,30.0,29.0,35.0,40.92307692307693,1.9815876836388204
45,149.16119185994813,44.0,48.0,66.0,30.0,29.0,40.25000000000001,1.7965831302935344
31,216.67776898409556,45.0,44.0,48.0,66.0,30.0,40.125,-5.452523987154316
41,135.32577063195959,31.0,45.0,44.0,48.0,66.0,40.0673076923077,-11.653554181525244
29,169.62627738948876,41.0,31.0,45.0,44.0,48.0,39.85576923076925,-9.816122837434634
48,263.89250020465084,29.0,41.0,31.0,45.0,44.0,39.394230769230774,-7.962665852318379
21,128.52077614999587,48.0,29.0,41.0,31.0,45.0,38.99038461538462,2.8266885686953094
45,147.3543433336823,21.0,48.0,29.0,41.0,31.0,38.66346153846154,-3.4480595743935667
23,244.44156065939887,45.0,21.0,48.0,29.0,41.0,38.32692307692308,15.568858949184225
39,127.80122864757334,23.0,45.0,21.0,48.0,29.0,38.11538461538462,-2.3693507323661898
30,244.582438204952,39.0,23.0,45.0,21.0,48.0,37.817307692307686,4.067439586083396
35,247.29137080029238,30.0,39.0,23.0,45.0,21.0,37.46153846153847,-8.351539326236251
39,183.148415771314,35.0,30.0,39.0,23.0,45.0,37.03846153846154,1.5884561204184657
46,269.54253763020483,39.0,35.0,30.0,39.0,23.0,36.61538461538462,1.9899900286116436
30,137.09378685065437,46.0,39.0,35.0,30.0,39.0,36.221153846153854,7.70242137270225
