demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
39,1,40.0,51.0,44.0,18.0,40.68838699932357,6.470906476914758
48,2,39.0,40.0,51.0,44.0,40.77459586324203,0.3940932658650181
46,3,48.0,39.0,40.0,51.0,40.86080472716049,-7.208360970825755
45,1,46.0,48.0,39.0,40.0,40.94701359107896,-13.131328028029346
31,2,45.0,46.0,48.0,39.0,41.03322245499741,-10.384423290361136
33,3,31.0,45.0,46.0,48.0,41.119431318915865,-15.682390347564732
51,2,33.0,31.0,45.0,46.0,41.20564018283433,-21.179075353486272
47,4,51.0,33.0,31.0,45.0,41.291849046752795,3.4844960508486063
58,2,47.0,51.0,33.0,31.0,41.378057910671245,5.817939250055269
44,4,58.0,47.0,51.0,33.0,41.46426677458971,-0.9415662686867764
52,4,44.0,58.0,47.0,51.0,41.550475638508175,5.7957230843660446
60,2,52.0,44.0,58.0,47.0,41.63668450242663,16.186858591265022
61,3,60.0,52.0,44.0,58.0,41.7228933663451,8.347224867394766
42,3,61.0,60.0,52.0,44.0,41.80910223026355,7.475539861473226
48,3,42.0,61.0,60.0,52.0,41.89531109418201,12.693598445295276
60,3,48.0,42.0,61.0,60.0,41.98151995810046,3.655246772707067
51,1,60.0,48.0,42.0,61.0,42.06772882201893,12.011125869349634
61,2,51.0,60.0,48.0,42.0,42.15393768593738,12.735594709581942
56,2,61.0,51.0,60.0,48.0,42.24014654985585,12.690832780583474
62,3,56.0,61.0,51.0,60.0,42.326355413774316,16.597993928508107
61,1,62.0,56.0,61.0,51.0,42.41256427769277,3.8833602046378415
36,2,61.0,62.0,56.0,61.0,42.49877314161123,2.800136737177845
50,1,36.0,61.0,62.0,56.0,42.58498200552969,-4.651676473871898
26,2,50.0,36.0,61.0,62.0,42.67119086944815,-13.010966885358586
40,3,26.0,50.0,36.0,61.0,42.75739973336661,-28.6082344403654
18,2,40.0,26.0,50.0,36.0,42.84360859728507,7.147062107191879
51,3,18.0,40.0,26.0,50.0,44.53846153846154,11.981528577714439
38,1,51.0,18.0,40.0,26.0,44.62500000000001,10.717484490167617
41,4,38.0,51.0,18.0,40.0,44.519230769230774,-0.07540575122534797
48,2,41.0,38.0,51.0,18.0,44.28846153846154,3.2823450330227013
32,1,48.0,41.0,38.0,51.0,44.20192307692307,7.6849676121425485
51,2,32.0,48.0,41.0,38.0,44.355769230769226,-2.2906149369427298
36,2,51.0,32.0,48.0,41.0,44.31730769230769,0.6536743088437819
36,1,36.0,51.0,32.0,48.0,44.29807692307693,-15.055882599215856
42,1,36.0,36.0,51.0,32.0,44.480769230769226,-7.823131814967803
23,3,42.0,36.0,36.0,51.0,44.25,-11.285893851232574
60,1,23.0,42.0,36.0,36.0,44.18269230769232,1.2737800099385517
47,2,60.0,23.0,42.0,36.0,44.528846153846146,12.077043614699425
37,1,47.0,60.0,23.0,42.0,44.46153846153847,7.534153373306447
50,1,37.0,47.0,60.0,23.0,44.00000000000001,6.693186208836554
50,2,50.0,37.0,47.0,60.0,43.97115384615384,-1.2214989043512872
87,3,50.0,50.0,37.0,47.0,44.25,4.876636495281381
43,1,87.0,50.0,50.0,37.0,44.153846153846146,13.36259240773456
53,3,43.0,87.0,50.0,50.0,43.96153846153847,-8.90786193622252
28,1,53.0,43.0,87.0,50.0,43.81730769230769,2.840914489051173
44,2,28.0,53.0,43.0,87.0,43.78846153846153,-9.69556549593154
28,2,44.0,28.0,53.0,43.0,43.980769230769226,-3.398712147580929
44,4,28.0,44.0,28.0,53.0,43.884615384615394,-10.018525465896976
10,2,44.0,28.0,44.0,28.0,43.71153846153846,-7.1671849380591794
38,1,10.0,44.0,28.0,44.0,43.54807692307693,-19.05123375407995
29,1,38.0,10.0,44.0,28.0,43.20192307692307,-7.003156831003027
48,1,29.0,38.0,10.0,44.0,42.903846153846146,-3.3733491386953367
40,2,48.0,29.0,38.0,10.0,43.230769230769226,6.470906476914758
36,3,40.0,48.0,29.0,38.0,43.778846153846146,0.3940932658650181
34,1,36.0,40.0,48.0,29.0,43.83653846153846,-7.208360970825755
48,2,34.0,36.0,40.0,48.0,44.009615384615394,-13.131328028029346
44,2,48.0,34.0,36.0,40.0,44.12499999999999,-10.384423290361136
16,1,44.0,48.0,34.0,36.0,44.201923076923094,-15.682390347564732
66,1,16.0,44.0,48.0,34.0,44.394230769230774,-21.179075353486272
51,3,66.0,16.0,44.0,48.0,44.58653846153846,3.4844960508486063
30,2,51.0,66.0,16.0,44.0,44.98076923076924,5.817939250055269
65,1,30.0,51.0,66.0,16.0,45.03846153846154,-0.9415662686867764
67,1,65.0,30.0,51.0,66.0,45.23076923076924,5.7957230843660446
38,2,67.0,65.0,30.0,51.0,45.54807692307693,16.186858591265022
35,3,38.0,67.0,65.0,30.0,45.673076923076906,8.347224867394766
65,3,35.0,38.0,67.0,65.0,46.22115384615384,7.475539861473226
54,3,65.0,35.0,38.0,67.0,46.71153846153846,12.693598445295276
44,1,54.0,65.0,35.0,38.0,47.019230769230774,3.655246772707067
47,3,44.0,54.0,65.0,35.0,46.875,12.011125869349634
50,1,47.0,44.0,54.0,65.0,46.65384615384616,12.735594709581942
64,2,50.0,47.0,44.0,54.0,46.8173076923077,12.690832780583474
74,3,64.0,50.0,47.0,44.0,47.25961538461538,16.597993928508107
39,1,74.0,64.0,50.0,47.0,47.92307692307693,3.8833602046378415
40,4,39.0,74.0,64.0,50.0,48.47115384615384,2.800136737177845
29,1,40.0,39.0,74.0,64.0,48.80769230769231,-4.651676473871898
11,1,29.0,40.0,39.0,74.0,49.259615384615394,-13.010966885358586
24,1,11.0,29.0,40.0,39.0,49.701923076923066,-28.6082344403654
68,2,24.0,11.0,29.0,40.0,50.08653846153846,7.147062107191879
58,3,68.0,24.0,11.0,29.0,50.625,11.981528577714439
37,2,58.0,68.0,24.0,11.0,51.0673076923077,10.717484490167617
60,3,37.0,58.0,68.0,24.0,51.28846153846153,-0.07540575122534797
41,2,60.0,37.0,58.0,68.0,51.18269230769231,3.2823450330227013
47,1,41.0,60.0,37.0,58.0,50.79807692307693,7.6849676121425485
56,1,47.0,41.0,60.0,37.0,50.30769230769231,-2.2906149369427298
51,1,56.0,47.0,41.0,60.0,50.25,0.6536743088437819
62,2,51.0,56.0,47.0,41.0,50.13461538461538,-15.055882599215856
22,1,62.0,51.0,56.0,47.0,49.990384615384606,-7.823131814967803
63,2,22.0,62.0,51.0,56.0,50.346153846153854,-11.285893851232574
53,2,63.0,22.0,62.0,51.0,50.47115384615386,1.2737800099385517
67,3,53.0,63.0,22.0,62.0,50.451923076923094,12.077043614699425
74,2,67.0,53.0,63.0,22.0,50.884615384615394,7.534153373306447
64,3,74.0,67.0,53.0,63.0,51.60576923076921,6.693186208836554
68,4,64.0,74.0,67.0,53.0,52.115384615384606,-1.2214989043512872
54,3,68.0,64.0,74.0,67.0,52.278846153846146,4.876636495281381
53,3,54.0,68.0,64.0,74.0,52.653846153846146,13.36259240773456
60,3,53.0,54.0,68.0,64.0,53.394230769230774,-8.90786193622252
67,2,60.0,53.0,54.0,68.0,54.02884615384616,2.840914489051173
74,4,67.0,60.0,53.0,54.0,54.40384615384616,-9.69556549593154
55,3,74.0,67.0,60.0,53.0,54.05769230769232,-3.398712147580929
52,2,55.0,74.0,67.0,60.0,53.75000000000001,-10.018525465896976
49,1,52.0,55.0,74.0,67.0,54.10576923076924,-7.1671849380591794
45,3,49.0,52.0,55.0,74.0,54.346153846153854,-19.05123375407995
62,1,45.0,49.0,52.0,55.0,54.59615384615384,-7.003156831003027
71,2,62.0,45.0,49.0,52.0,55.634615384615394,-3.3733491386953367
63,3,71.0,62.0,45.0,49.0,56.855769230769226,6.470906476914758
36,3,63.0,71.0,62.0,45.0,57.45192307692307,0.3940932658650181
23,2,36.0,63.0,71.0,62.0,58.115384615384606,-7.208360970825755
19,2,23.0,36.0,63.0,71.0,58.62499999999999,-13.131328028029346
22,3,19.0,23.0,36.0,63.0,59.18269230769232,-10.384423290361136
32,1,22.0,19.0,23.0,36.0,59.91346153846154,-15.682390347564732
38,1,32.0,22.0,19.0,23.0,60.12500000000001,-21.179075353486272
64,1,38.0,32.0,22.0,19.0,59.855769230769226,3.4844960508486063
54,1,64.0,38.0,32.0,22.0,59.375,5.817939250055269
54,1,54.0,64.0,38.0,32.0,59.50961538461538,-0.9415662686867764
76,1,54.0,54.0,64.0,38.0,60.01923076923076,5.7957230843660446
74,4,76.0,54.0,54.0,64.0,60.44230769230768,16.186858591265022
74,4,74.0,76.0,54.0,54.0,60.75,8.347224867394766
79,4,74.0,74.0,76.0,54.0,60.730769230769226,7.475539861473226
57,3,79.0,74.0,74.0,76.0,60.50000000000001,12.693598445295276
80,3,57.0,79.0,74.0,74.0,60.22115384615386,3.655246772707067
88,4,80.0,57.0,79.0,74.0,60.21153846153847,12.011125869349634
75,4,88.0,80.0,57.0,79.0,60.17307692307693,12.735594709581942
78,4,75.0,88.0,80.0,57.0,60.05769230769232,12.690832780583474
24,4,78.0,75.0,88.0,80.0,59.80769230769231,16.597993928508107
57,4,24.0,78.0,75.0,88.0,59.20192307692307,3.8833602046378415
59,4,57.0,24.0,78.0,75.0,58.81730769230769,2.800136737177845
35,4,59.0,57.0,24.0,78.0,58.75,-4.651676473871898
31,4,35.0,59.0,57.0,24.0,62.28973929361854,-13.010966885358586
112,4,31.0,35.0,59.0,57.0,62.55302540241282,-28.6082344403654
107,4,112.0,31.0,35.0,59.0,62.81631151120713,7.147062107191879
81,4,107.0,112.0,31.0,35.0,63.07959762000144,11.981528577714439
83,4,81.0,107.0,112.0,31.0,63.34288372879574,10.717484490167617
67,4,83.0,81.0,107.0,112.0,63.606169837590045,-0.07540575122534797
92,4,67.0,83.0,81.0,107.0,63.869455946384356,3.2823450330227013
72,4,92.0,67.0,83.0,81.0,64.13274205517865,7.6849676121425485
53,4,72.0,92.0,67.0,83.0,64.39602816397296,-2.2906149369427298
26,4,53.0,72.0,92.0,67.0,64.65931427276726,0.6536743088437819
37,4,26.0,53.0,72.0,92.0,64.92260038156158,-15.055882599215856
61,4,37.0,26.0,53.0,72.0,65.18588649035587,-7.823131814967803
77,4,61.0,37.0,26.0,53.0,65.44917259915017,-11.285893851232574
83,4,77.0,61.0,37.0,26.0,65.71245870794448,1.2737800099385517
69,4,83.0,77.0,61.0,37.0,65.97574481673878,12.077043614699425
70,3,69.0,83.0,77.0,61.0,66.2390309255331,7.534153373306447
44,3,70.0,69.0,83.0,77.0,66.5023170343274,6.693186208836554
59,4,44.0,70.0,69.0,83.0,66.76560314312171,-1.2214989043512872
62,4,59.0,44.0,70.0,69.0,67.02888925191601,4.876636495281381
