demand,civilians_rank,distance
22,2,186.43526517277485
15,3,181.55742689909763
27,1,263.392347974706
30,2,277.10359385370367
83,3,248.01479352285432
44,2,157.92623268711583
29,4,257.817279482238
56,2,329.26301704747834
14,4,285.5165397063073
29,4,156.34774483563137
46,2,211.09091637462063
18,3,144.512714366764
20,3,180.22726773569332
24,3,230.27464388098664
48,3,169.8745938593517
33,1,176.8631885734666
41,2,232.11952042456716
34,2,398.12420355153574
16,3,208.4436685556848
22,1,151.89446655709568
34,2,162.8816983486657
29,1,141.9443609098556
20,2,140.420895478268
25,3,147.52670643127001
6,2,294.0767818932507
17,3,140.30938835006742
31,1,147.72537301503448
20,4,164.92997875385663
25,2,151.93731121128332
31,1,149.16119185994813
57,2,216.67776898409556
32,2,135.32577063195959
44,1,169.62627738948876
45,1,263.89250020465084
6,3,128.52077614999587
45,1,147.3543433336823
52,2,244.44156065939887
34,1,127.80122864757334
59,1,244.582438204952
59,2,247.29137080029238
49,3,183.148415771314
44,1,269.54253763020483
42,3,137.09378685065437
58,1,172.36733261652537
56,2,274.01678826786844
61,2,495.8699226951202
59,4,327.19062223784437
32,2,243.04366444330762
44,1,532.5640666321978
51,1,398.0549685709452
66,1,357.3140855152916
66,2,248.08535369829758
49,3,329.90649829564273
48,1,143.27778209209572
58,2,437.928780015276
54,2,543.890244487772
76,1,676.429951648845
82,1,289.4455708326017
64,3,293.8561287895166
72,2,406.24290334188566
85,1,249.80694004045944
63,1,339.2408266600142
60,2,235.8041949035175
66,3,334.6220287735815
61,3,147.7523274445889
54,3,260.7197065295859
41,1,160.72669000091332
46,3,416.49747286204354
40,1,504.73709285072374
48,2,147.8564842497624
45,3,248.16637839808118
45,1,284.6151630807675
53,4,366.3959753678413
54,1,398.784088038704
44,1,255.43835894038497
35,1,164.44523865453291
68,2,165.34012215829915
69,3,226.20350221911065
39,2,338.1664309546827
53,3,241.9945633346221
59,2,166.71196639574237
57,1,155.89001013322988
60,1,150.36836691986392
73,1,119.73695048369845
64,2,117.56951795130188
31,1,119.9405160641516
85,2,166.95558448410063
60,2,153.81295664374167
73,3,148.7848177555266
62,2,156.9651965226074
78,3,282.84526519091037
78,4,274.86205506012084
76,3,319.4314017725323
69,3,233.7686641936492
87,3,177.95138626393563
91,2,263.5010994303953
79,4,235.7568737112083
107,3,287.8915796600832
91,2,245.01578608483214
82,1,206.63900622114681
76,3,261.3550678200407
72,1,287.03585469537586
57,2,235.13062609889855
66,3,552.1806749254147
38,3,329.1364949280054
28,2,250.36485208349444
26,2,345.0780772957265
21,3,328.67799948553056
18,1,314.8217189645772
33,1,187.83679965065738
46,1,391.95256049918856
51,1,350.38261901263513
45,1,440.6501573233557
32,1,203.54175381900436
46,4,298.41944566876236
65,4,286.86605323058114
65,4,269.4393617719913
69,3,337.28538930397275
48,3,246.00093016376846
31,4,304.03056532028864
26,4,186.44626581374862
24,4,299.4909135289364
18,4,311.05292367801707
22,4,250.21719197175858
19,4,190.6607217977681
16,4,248.1869542884468
10,4,203.85807397795867
24,4,203.1415835957333
38,4,188.1946382345801
22,4,198.84217082760918
17,4,195.35900217049183
23,4,206.70080320383812
46,4,366.03849416869264
37,4,175.79121628399915
36,4,176.49892546568225
34,4,179.12926643453048
68,4,289.3895129962328
52,4,307.54904020174666
57,4,185.25333005055265
71,4,186.942618383218
67,4,176.60183126047497
70,3,186.56891136829518
43,3,174.81304200561692
71,4,237.25247938910383
58,4,173.01701033691631
69,4,173.6872849994055
73,4,172.73441365359787
62,4,190.5660568249821
81,4,196.6425361804014
114,1,198.64353819461132
74,3,163.31881767666232
54,2,194.8470083057963
