demand,civilians_rank,distance
200,1,142.5365490045076
194,2,159.98611276654668
200,3,163.489738777563
197,1,246.2899429166637
204,2,264.1132733307715
195,3,231.33095211468566
187,2,144.40668466006133
193,4,244.8754863754608
242,2,316.91085895810045
154,4,278.3157747216301
237,4,150.5467487191338
235,2,203.5695670556664
175,3,134.50350458080393
243,3,171.14750310169006
237,3,224.5389332868084
208,3,155.38830661683824
273,1,158.32790812801647
183,2,221.72564598648083
207,2,388.9571769963118
221,3,203.91777922854146
219,1,151.38852626192013
193,2,156.57328905189775
224,1,142.20932151761502
194,2,138.5196039382167
178,3,139.80512555796142
103,2,287.70612039690474
174,3,138.60799647929295
166,1,138.72947912932148
191,4,152.1570146606666
170,2,140.35075927291882
177,1,140.51583307609846
214,2,210.15648967129678
173,2,127.68577111437149
169,1,158.59826831992697
165,1,251.96159610520385
98,3,120.26244551510351
212,1,141.70898315820412
173,2,241.269479438795
193,1,121.2296599827298
167,1,234.01050395106338
205,2,237.09754485573674
212,3,176.18147371500538
190,1,261.9147598367712
184,3,134.393734517519
172,1,167.50560593542014
169,2,261.457238154341
222,2,491.394636770253
195,4,319.498671941728
168,2,236.8490643520759
157,1,511.7760807547797
190,1,378.4098319062547
216,1,342.04500762797335
217,2,238.2593286643031
240,3,328.21376989662764
216,1,137.89196640059237
205,2,434.52163652403084
206,2,529.2205090613355
244,1,668.8810772298386
228,1,278.0753279508005
216,3,287.2448691716446
198,2,392.8115727000725
179,1,249.79011004945184
190,1,333.07868317493063
201,2,235.0583756769028
187,3,332.6924391872425
185,3,144.99572085524701
193,3,251.63810573525055
211,1,155.02993560344143
201,3,406.1898188511355
188,1,488.3615268611296
190,2,141.39110247532528
192,3,239.46691351095112
183,1,273.94801411654163
156,4,360.10442926713137
157,1,396.4088883050607
146,1,252.19411319528686
106,1,158.61879215769974
189,2,160.09739658610275
151,3,214.85438926836213
165,2,328.4506766388863
178,3,234.23798697906426
177,2,152.15397252145584
193,1,152.9202433964371
166,1,143.30540338989647
182,1,124.90719360421714
182,2,120.11121493277264
78,1,123.60917788305954
174,2,153.85731434366443
177,2,145.04687997590838
174,3,135.54905812514548
177,2,145.46682493624232
160,3,271.438602510306
181,4,263.05949130140715
168,3,310.1821045170236
150,3,223.79669465417254
190,3,162.39738766956145
166,2,245.7364223706256
209,4,217.24995999179643
214,3,265.00806860189056
248,2,228.00801663131847
192,1,187.5912648184849
191,3,247.59080064555252
159,1,261.14588935713857
181,2,207.6128084931577
282,3,529.1215034424091
203,3,316.8258414835159
210,2,233.04738922160604
210,2,325.65167307528577
188,3,316.06531566758287
199,1,297.8261133900001
173,1,176.8307052438284
171,1,389.19186137525804
142,1,345.5434381918775
153,1,426.50300918267294
166,1,185.67930082261287
180,4,278.72289816077785
145,4,264.64129452282185
159,4,248.08211729070683
188,3,321.68791847972136
151,3,225.23396782581676
171,4,284.4278330801852
137,4,172.84445377371605
156,4,270.53253819311095
149,4,283.7387196792672
131,4,222.5065362892579
172,4,167.81574636460223
92,4,229.90341897508011
104,4,181.68071007556847
212,4,182.74981586967687
191,4,166.5802264329663
235,4,177.75829421796763
228,4,172.12768811348565
240,4,179.0198613680544
184,4,344.72824105169923
260,4,158.85920697142106
199,4,153.64198921366315
155,4,164.34521740351278
178,4,265.8666190081093
256,4,282.94747548703083
232,4,162.7416312101989
259,4,167.57959067602346
213,4,159.2683967975012
213,3,160.4930369064086
169,3,156.08491401674925
231,4,217.84603761884497
198,4,150.28471606655762
220,4,151.13176240892216
240,4,151.99436438464355
273,4,168.5609965208124
271,4,172.0474593165351
278,1,185.44505788373817
293,3,155.4705921828375
177,2,182.7531487800263
