demand,civilians_rank,distance
4,3,204.7022408968745
3,1,286.27106063670925
7,2,294.488256667718
7,3,265.3044797036781
2,2,174.03377815168446
3,4,272.1721601004583
2,2,343.74132623942324
8,4,291.0480789590852
12,4,159.08227711159182
7,2,216.76438695832738
7,3,155.21691544524538
4,3,187.4942119712016
3,3,233.25704472194283
4,3,187.29112172943826
7,1,196.81623481867055
4,2,243.04062536849202
5,2,404.91886144196786
6,3,209.32060217530037
6,1,147.42485303268788
11,2,166.79307191144673
2,1,137.37682519833885
6,2,140.48754077511217
1,3,155.94506986717172
1,2,298.2069429921869
9,3,139.67325438478147
6,1,160.70036123242247
10,4,179.3079987275705
4,2,163.36695528913728
4,1,159.43086895464594
12,2,226.75540812776185
5,2,146.1602631492514
12,1,180.41576560827042
13,1,276.47272386661024
7,3,139.1459922251779
2,1,152.04505023034338
18,2,246.6772056028548
11,1,136.31682277886873
10,1,253.44086610736613
7,2,257.6468447681421
10,3,186.87088419911237
12,1,274.94788852869914
8,3,137.09312145742055
10,1,172.3259357748943
4,2,285.6871746826183
10,2,495.2882125540938
10,4,332.09030297819413
6,2,248.35054791827682
0,1,561.4532172606861
5,1,420.0155329557245
11,1,373.68156357895623
11,2,257.8005248936521
6,3,326.56035948676515
3,1,149.5321143636963
5,2,440.2742787602143
3,2,554.3660717559613
13,1,682.1520523495877
3,1,303.8131549129461
5,3,298.17619981454703
4,2,423.2912271239933
7,1,246.4975965335192
3,1,342.4292332945135
2,2,234.14962279554803
6,3,332.71173667702703
4,3,149.19325503302005
3,3,265.90064407708246
4,1,166.10572139187138
5,3,424.21587223399627
4,1,521.205637585472
21,2,153.58090466533105
36,3,255.08887156713573
64,1,289.82086896348864
40,4,366.22390840471627
31,1,395.0797204133365
30,1,256.33725884144656
20,1,170.05455882654155
44,2,167.40125553286424
44,3,235.92941842583141
45,2,346.22682005880586
45,3,250.10940562030984
46,2,184.16361515872
55,1,158.09857216652804
59,1,159.48634255670626
52,1,109.51373860244844
35,2,113.74050490935385
9,1,111.98832726397829
52,2,179.33014961084587
55,2,160.8471932462714
73,3,163.4515018239031
62,2,168.615227660215
52,3,291.1016957598875
67,4,285.3556267215885
58,3,326.24725053629464
51,3,240.7493585719894
62,3,192.87500703128867
50,2,279.0021568963129
53,4,252.95216505675717
79,3,312.95432888928326
88,2,260.96747248340944
57,1,224.60387261386262
46,3,272.53554929695355
74,1,314.76692150716383
50,2,261.72855514677786
49,3,573.9611911012443
56,3,341.07581848222117
53,2,267.3044494316712
58,2,361.3467327149136
58,3,337.9712768425143
39,1,329.79149330207736
36,1,195.8279900957951
39,1,384.22284560928114
42,1,345.47184813590286
66,1,448.5169734055944
54,1,217.9044497232859
60,4,314.6206340298981
64,4,308.9577462080223
53,4,289.07492072540987
52,3,348.24398694294007
61,3,264.59467390634916
70,4,321.2955316157468
77,4,195.23944951432773
75,4,328.10393951807947
64,4,338.76437156629817
55,4,277.4739780266264
74,4,212.83331656493192
64,4,262.7702987481591
38,4,224.11951389030293
80,4,221.61372138524345
105,4,208.5502390934947
77,4,218.1098352535269
98,4,217.88368021716698
101,4,234.58807799522208
108,4,384.43834261652916
89,4,190.3855949728634
85,4,198.59322042197448
45,4,191.15147551030282
121,4,309.67532553171526
107,4,330.978505754656
142,4,206.3915172718752
104,4,204.11149601297438
81,4,192.49537575924742
110,3,214.1571776622539
126,3,191.9029872474057
85,4,255.05908044557157
119,4,195.82804893534302
111,4,196.2342392420316
88,4,193.42508526477852
73,4,211.41133222677692
100,4,220.8052436386959
80,1,205.84777209139344
184,3,166.34208095923196
145,2,202.69176400416455
