demand,civilians_rank,distance
39,1,162.7586994435919
48,2,186.43526517277485
46,3,181.55742689909763
45,1,263.392347974706
31,2,277.10359385370367
33,3,248.01479352285432
51,2,157.92623268711583
47,4,257.817279482238
58,2,329.26301704747834
44,4,285.5165397063073
52,4,156.34774483563137
60,2,211.09091637462063
61,3,144.512714366764
42,3,180.22726773569332
48,3,230.27464388098664
60,3,169.8745938593517
51,1,176.8631885734666
61,2,232.11952042456716
56,2,398.12420355153574
62,3,208.4436685556848
61,1,151.89446655709568
36,2,162.8816983486657
50,1,141.9443609098556
26,2,140.420895478268
40,3,147.52670643127001
18,2,294.0767818932507
51,3,140.30938835006742
38,1,147.72537301503448
41,4,164.92997875385663
48,2,151.93731121128332
32,1,149.16119185994813
51,2,216.67776898409556
36,2,135.32577063195959
36,1,169.62627738948876
42,1,263.89250020465084
23,3,128.52077614999587
60,1,147.3543433336823
47,2,244.44156065939887
37,1,127.80122864757334
50,1,244.582438204952
50,2,247.29137080029238
87,3,183.148415771314
43,1,269.54253763020483
53,3,137.09378685065437
28,1,172.36733261652537
44,2,274.01678826786844
28,2,495.8699226951202
44,4,327.19062223784437
10,2,243.04366444330762
38,1,532.5640666321978
29,1,398.0549685709452
48,1,357.3140855152916
40,2,248.08535369829758
36,3,329.90649829564273
34,1,143.27778209209572
48,2,437.928780015276
44,2,543.890244487772
16,1,676.429951648845
66,1,289.4455708326017
51,3,293.8561287895166
30,2,406.24290334188566
65,1,249.80694004045944
67,1,339.2408266600142
38,2,235.8041949035175
35,3,334.6220287735815
65,3,147.7523274445889
54,3,260.7197065295859
44,1,160.72669000091332
47,3,416.49747286204354
50,1,504.73709285072374
64,2,147.8564842497624
74,3,248.16637839808118
39,1,284.6151630807675
40,4,366.3959753678413
29,1,398.784088038704
11,1,255.43835894038497
24,1,164.44523865453291
68,2,165.34012215829915
58,3,226.20350221911065
37,2,338.1664309546827
60,3,241.9945633346221
41,2,166.71196639574237
47,1,155.89001013322988
56,1,150.36836691986392
51,1,119.73695048369845
62,2,117.56951795130188
22,1,119.9405160641516
63,2,166.95558448410063
53,2,153.81295664374167
67,3,148.7848177555266
74,2,156.9651965226074
64,3,282.84526519091037
68,4,274.86205506012084
54,3,319.4314017725323
53,3,233.7686641936492
60,3,177.95138626393563
67,2,263.5010994303953
74,4,235.7568737112083
55,3,287.8915796600832
52,2,245.01578608483214
49,1,206.63900622114681
45,3,261.3550678200407
62,1,287.03585469537586
71,2,235.13062609889855
63,3,552.1806749254147
36,3,329.1364949280054
23,2,250.36485208349444
19,2,345.0780772957265
22,3,328.67799948553056
32,1,314.8217189645772
38,1,187.83679965065738
64,1,391.95256049918856
54,1,350.38261901263513
54,1,440.6501573233557
76,1,203.54175381900436
74,4,298.41944566876236
74,4,286.86605323058114
79,4,269.4393617719913
57,3,337.28538930397275
80,3,246.00093016376846
88,4,304.03056532028864
75,4,186.44626581374862
78,4,299.4909135289364
24,4,311.05292367801707
57,4,250.21719197175858
59,4,190.6607217977681
35,4,248.1869542884468
31,4,203.85807397795867
112,4,203.1415835957333
107,4,188.1946382345801
81,4,198.84217082760918
83,4,195.35900217049183
67,4,206.70080320383812
92,4,366.03849416869264
72,4,175.79121628399915
53,4,176.49892546568225
26,4,179.12926643453048
37,4,289.3895129962328
61,4,307.54904020174666
77,4,185.25333005055265
83,4,186.942618383218
69,4,176.60183126047497
70,3,186.56891136829518
44,3,174.81304200561692
59,4,237.25247938910383
62,4,173.01701033691631
41,4,173.6872849994055
60,4,172.73441365359787
41,4,190.5660568249821
37,4,196.6425361804014
52,1,198.64353819461132
48,3,163.31881767666232
27,2,194.8470083057963
