demand,civilians_rank,distance
16,2,159.98611276654668
46,3,163.489738777563
37,1,246.2899429166637
31,2,264.1132733307715
50,3,231.33095211468566
43,2,144.40668466006133
16,4,244.8754863754608
55,2,316.91085895810045
59,4,278.3157747216301
52,4,150.5467487191338
65,2,203.5695670556664
26,3,134.50350458080393
53,3,171.14750310169006
44,3,224.5389332868084
52,3,155.38830661683824
36,1,158.32790812801647
58,2,221.72564598648083
58,2,388.9571769963118
32,3,203.91777922854146
37,1,151.38852626192013
50,2,156.57328905189775
55,1,142.20932151761502
22,2,138.5196039382167
47,3,139.80512555796142
15,2,287.70612039690474
49,3,138.60799647929295
32,1,138.72947912932148
26,4,152.1570146606666
63,2,140.35075927291882
59,1,140.51583307609846
41,2,210.15648967129678
51,2,127.68577111437149
48,1,158.59826831992697
34,1,251.96159610520385
18,3,120.26244551510351
59,1,141.70898315820412
37,2,241.269479438795
51,1,121.2296599827298
53,1,234.01050395106338
50,2,237.09754485573674
34,3,176.18147371500538
55,1,261.9147598367712
50,3,134.393734517519
71,1,167.50560593542014
54,2,261.457238154341
63,2,491.394636770253
25,4,319.498671941728
60,2,236.8490643520759
55,1,511.7760807547797
47,1,378.4098319062547
42,1,342.04500762797335
81,2,238.2593286643031
55,3,328.21376989662764
69,1,137.89196640059237
53,2,434.52163652403084
32,2,529.2205090613355
89,1,668.8810772298386
49,1,278.0753279508005
72,3,287.2448691716446
44,2,392.8115727000725
81,1,249.79011004945184
35,1,333.07868317493063
73,2,235.0583756769028
49,3,332.6924391872425
55,3,144.99572085524701
54,3,251.63810573525055
49,1,155.02993560344143
42,3,406.1898188511355
61,1,488.3615268611296
70,2,141.39110247532528
68,3,239.46691351095112
61,1,273.94801411654163
58,4,360.10442926713137
77,1,396.4088883050607
59,1,252.19411319528686
23,1,158.61879215769974
68,2,160.09739658610275
79,3,214.85438926836213
60,2,328.4506766388863
66,3,234.23798697906426
50,2,152.15397252145584
49,1,152.9202433964371
49,1,143.30540338989647
45,1,124.90719360421714
72,2,120.11121493277264
8,1,123.60917788305954
92,2,153.85731434366443
68,2,145.04687997590838
52,3,135.54905812514548
59,2,145.46682493624232
60,3,271.438602510306
72,4,263.05949130140715
52,3,310.1821045170236
74,3,223.79669465417254
73,3,162.39738766956145
63,2,245.7364223706256
51,4,217.24995999179643
90,3,265.00806860189056
42,2,228.00801663131847
61,1,187.5912648184849
79,3,247.59080064555252
58,1,261.14588935713857
59,2,207.6128084931577
72,3,529.1215034424091
113,3,316.8258414835159
65,2,233.04738922160604
90,2,325.65167307528577
82,3,316.06531566758287
70,1,297.8261133900001
94,1,176.8307052438284
69,1,389.19186137525804
73,1,345.5434381918775
103,1,426.50300918267294
76,1,185.67930082261287
69,4,278.72289816077785
79,4,264.64129452282185
65,4,248.08211729070683
89,3,321.68791847972136
150,3,225.23396782581676
73,4,284.4278330801852
102,4,172.84445377371605
105,4,270.53253819311095
102,4,283.7387196792672
91,4,222.5065362892579
52,4,167.81574636460223
51,4,229.90341897508011
24,4,181.68071007556847
132,4,182.74981586967687
102,4,166.5802264329663
104,4,177.75829421796763
122,4,172.12768811348565
95,4,179.0198613680544
78,4,344.72824105169923
95,4,158.85920697142106
136,4,153.64198921366315
73,4,164.34521740351278
88,4,265.8666190081093
159,4,282.94747548703083
129,4,162.7416312101989
107,4,167.57959067602346
127,4,159.2683967975012
135,3,160.4930369064086
109,3,156.08491401674925
147,4,217.84603761884497
71,4,150.28471606655762
125,4,151.13176240892216
90,4,151.99436438464355
83,4,168.5609965208124
76,4,172.0474593165351
88,1,185.44505788373817
56,3,155.4705921828375
42,2,182.7531487800263
