demand,civilians_rank,distance
9,2,218.85776293262637
9,3,204.7022408968745
7,1,286.27106063670925
6,2,294.488256667718
20,3,265.3044797036781
11,2,174.03377815168446
10,4,272.1721601004583
14,2,343.74132623942324
13,4,291.0480789590852
15,4,159.08227711159182
17,2,216.76438695832738
8,3,155.21691544524538
8,3,187.4942119712016
20,3,233.25704472194283
19,3,187.29112172943826
13,1,196.81623481867055
15,2,243.04062536849202
17,2,404.91886144196786
17,3,209.32060217530037
9,1,147.42485303268788
6,2,166.79307191144673
8,1,137.37682519833885
7,2,140.48754077511217
15,3,155.94506986717172
10,2,298.2069429921869
1,3,139.67325438478147
13,1,160.70036123242247
13,4,179.3079987275705
7,2,163.36695528913728
12,1,159.43086895464594
4,2,226.75540812776185
22,2,146.1602631492514
6,1,180.41576560827042
21,1,276.47272386661024
13,3,139.1459922251779
6,1,152.04505023034338
28,2,246.6772056028548
28,1,136.31682277886873
22,1,253.44086610736613
11,2,257.6468447681421
29,3,186.87088419911237
24,1,274.94788852869914
27,3,137.09312145742055
10,1,172.3259357748943
30,2,285.6871746826183
14,2,495.2882125540938
12,4,332.09030297819413
6,2,248.35054791827682
0,1,561.4532172606861
7,1,420.0155329557245
20,1,373.68156357895623
11,2,257.8005248936521
21,3,326.56035948676515
0,1,149.5321143636963
9,2,440.2742787602143
15,2,554.3660717559613
12,1,682.1520523495877
12,1,303.8131549129461
3,3,298.17619981454703
17,2,423.2912271239933
16,1,246.4975965335192
14,1,342.4292332945135
17,2,234.14962279554803
8,3,332.71173667702703
9,3,149.19325503302005
13,3,265.90064407708246
17,1,166.10572139187138
7,3,424.21587223399627
9,1,521.205637585472
23,2,153.58090466533105
96,3,255.08887156713573
71,1,289.82086896348864
47,4,366.22390840471627
84,1,395.0797204133365
67,1,256.33725884144656
28,1,170.05455882654155
91,2,167.40125553286424
96,3,235.92941842583141
73,2,346.22682005880586
78,3,250.10940562030984
69,2,184.16361515872
71,1,158.09857216652804
68,1,159.48634255670626
56,1,109.51373860244844
79,2,113.74050490935385
23,1,111.98832726397829
87,2,179.33014961084587
88,2,160.8471932462714
79,3,163.4515018239031
100,2,168.615227660215
78,3,291.1016957598875
54,4,285.3556267215885
88,3,326.24725053629464
64,3,240.7493585719894
73,3,192.87500703128867
90,2,279.0021568963129
93,4,252.95216505675717
89,3,312.95432888928326
82,2,260.96747248340944
52,1,224.60387261386262
81,3,272.53554929695355
71,1,314.76692150716383
38,2,261.72855514677786
55,3,573.9611911012443
91,3,341.07581848222117
66,2,267.3044494316712
70,2,361.3467327149136
70,3,337.9712768425143
67,1,329.79149330207736
66,1,195.8279900957951
55,1,384.22284560928114
57,1,345.47184813590286
59,1,448.5169734055944
56,1,217.9044497232859
48,4,314.6206340298981
54,4,308.9577462080223
49,4,289.07492072540987
46,3,348.24398694294007
57,3,264.59467390634916
68,4,321.2955316157468
72,4,195.23944951432773
37,4,328.10393951807947
55,4,338.76437156629817
64,4,277.4739780266264
45,4,212.83331656493192
48,4,262.7702987481591
39,4,224.11951389030293
90,4,221.61372138524345
63,4,208.5502390934947
67,4,218.1098352535269
59,4,217.88368021716698
55,4,234.58807799522208
78,4,384.43834261652916
53,4,190.3855949728634
64,4,198.59322042197448
32,4,191.15147551030282
66,4,309.67532553171526
77,4,330.978505754656
74,4,206.3915172718752
46,4,204.11149601297438
73,4,192.49537575924742
76,3,214.1571776622539
74,3,191.9029872474057
60,4,255.05908044557157
81,4,195.82804893534302
65,4,196.2342392420316
63,4,193.42508526477852
51,4,211.41133222677692
65,4,220.8052436386959
55,1,205.84777209139344
214,3,166.34208095923196
127,2,202.69176400416455
