demand,civilians_rank,distance
45,2,186.43526517277485
59,3,181.55742689909763
54,1,263.392347974706
34,2,277.10359385370367
54,3,248.01479352285432
48,2,157.92623268711583
76,4,257.817279482238
45,2,329.26301704747834
59,4,285.5165397063073
46,4,156.34774483563137
66,2,211.09091637462063
45,3,144.512714366764
35,3,180.22726773569332
42,3,230.27464388098664
62,3,169.8745938593517
42,1,176.8631885734666
49,2,232.11952042456716
41,2,398.12420355153574
37,3,208.4436685556848
44,1,151.89446655709568
48,2,162.8816983486657
40,1,141.9443609098556
39,2,140.420895478268
35,3,147.52670643127001
29,2,294.0767818932507
30,3,140.30938835006742
66,1,147.72537301503448
48,4,164.92997875385663
44,2,151.93731121128332
45,1,149.16119185994813
31,2,216.67776898409556
41,2,135.32577063195959
29,1,169.62627738948876
48,1,263.89250020465084
21,3,128.52077614999587
45,1,147.3543433336823
23,2,244.44156065939887
39,1,127.80122864757334
30,1,244.582438204952
35,2,247.29137080029238
39,3,183.148415771314
46,1,269.54253763020483
30,3,137.09378685065437
24,1,172.36733261652537
27,2,274.01678826786844
32,2,495.8699226951202
37,4,327.19062223784437
20,2,243.04366444330762
13,1,532.5640666321978
39,1,398.0549685709452
43,1,357.3140855152916
48,2,248.08535369829758
52,3,329.90649829564273
7,1,143.27778209209572
36,2,437.928780015276
39,2,543.890244487772
43,1,676.429951648845
37,1,289.4455708326017
39,3,293.8561287895166
40,2,406.24290334188566
30,1,249.80694004045944
40,1,339.2408266600142
50,2,235.8041949035175
30,3,334.6220287735815
13,3,147.7523274445889
20,3,260.7197065295859
40,1,160.72669000091332
23,3,416.49747286204354
29,1,504.73709285072374
30,2,147.8564842497624
18,3,248.16637839808118
22,1,284.6151630807675
8,4,366.3959753678413
16,1,398.784088038704
11,1,255.43835894038497
3,1,164.44523865453291
22,2,165.34012215829915
12,3,226.20350221911065
28,2,338.1664309546827
15,3,241.9945633346221
29,2,166.71196639574237
17,1,155.89001013322988
17,1,150.36836691986392
7,1,119.73695048369845
23,2,117.56951795130188
4,1,119.9405160641516
28,2,166.95558448410063
51,2,153.81295664374167
27,3,148.7848177555266
32,2,156.9651965226074
21,3,282.84526519091037
44,4,274.86205506012084
50,3,319.4314017725323
46,3,233.7686641936492
36,3,177.95138626393563
54,2,263.5010994303953
37,4,235.7568737112083
56,3,287.8915796600832
74,2,245.01578608483214
54,1,206.63900622114681
35,3,261.3550678200407
64,1,287.03585469537586
47,2,235.13062609889855
53,3,552.1806749254147
31,3,329.1364949280054
21,2,250.36485208349444
27,2,345.0780772957265
16,3,328.67799948553056
12,1,314.8217189645772
18,1,187.83679965065738
29,1,391.95256049918856
35,1,350.38261901263513
32,1,440.6501573233557
49,1,203.54175381900436
25,4,298.41944566876236
35,4,286.86605323058114
53,4,269.4393617719913
24,3,337.28538930397275
40,3,246.00093016376846
31,4,304.03056532028864
39,4,186.44626581374862
41,4,299.4909135289364
21,4,311.05292367801707
22,4,250.21719197175858
35,4,190.6607217977681
23,4,248.1869542884468
14,4,203.85807397795867
42,4,203.1415835957333
52,4,188.1946382345801
29,4,198.84217082760918
29,4,195.35900217049183
55,4,206.70080320383812
44,4,366.03849416869264
33,4,175.79121628399915
28,4,176.49892546568225
33,4,179.12926643453048
34,4,289.3895129962328
66,4,307.54904020174666
50,4,185.25333005055265
60,4,186.942618383218
52,4,176.60183126047497
50,3,186.56891136829518
33,3,174.81304200561692
35,4,237.25247938910383
26,4,173.01701033691631
40,4,173.6872849994055
53,4,172.73441365359787
40,4,190.5660568249821
36,4,196.6425361804014
44,1,198.64353819461132
45,3,163.31881767666232
33,2,194.8470083057963
