demand,civilians_rank,distance
62,2,159.98611276654668
106,3,163.489738777563
60,1,246.2899429166637
49,2,264.1132733307715
82,3,231.33095211468566
106,2,144.40668466006133
61,4,244.8754863754608
89,2,316.91085895810045
80,4,278.3157747216301
68,4,150.5467487191338
70,2,203.5695670556664
58,3,134.50350458080393
65,3,171.14750310169006
114,3,224.5389332868084
94,3,155.38830661683824
103,1,158.32790812801647
95,2,221.72564598648083
114,2,388.9571769963118
67,3,203.91777922854146
51,1,151.38852626192013
58,2,156.57328905189775
86,1,142.20932151761502
50,2,138.5196039382167
44,3,139.80512555796142
38,2,287.70612039690474
39,3,138.60799647929295
39,1,138.72947912932148
60,4,152.1570146606666
68,2,140.35075927291882
78,1,140.51583307609846
61,2,210.15648967129678
62,2,127.68577111437149
51,1,158.59826831992697
52,1,251.96159610520385
16,3,120.26244551510351
63,1,141.70898315820412
64,2,241.269479438795
75,1,121.2296599827298
50,1,234.01050395106338
73,2,237.09754485573674
88,3,176.18147371500538
51,1,261.9147598367712
67,3,134.393734517519
68,1,167.50560593542014
74,2,261.457238154341
56,2,491.394636770253
64,4,319.498671941728
64,2,236.8490643520759
64,1,511.7760807547797
85,1,378.4098319062547
95,1,342.04500762797335
102,2,238.2593286643031
63,3,328.21376989662764
88,1,137.89196640059237
73,2,434.52163652403084
107,2,529.2205090613355
93,1,668.8810772298386
73,1,278.0753279508005
72,3,287.2448691716446
66,2,392.8115727000725
57,1,249.79011004945184
71,1,333.07868317493063
77,2,235.0583756769028
56,3,332.6924391872425
60,3,144.99572085524701
60,3,251.63810573525055
60,1,155.02993560344143
77,3,406.1898188511355
71,1,488.3615268611296
94,2,141.39110247532528
80,3,239.46691351095112
78,1,273.94801411654163
56,4,360.10442926713137
55,1,396.4088883050607
30,1,252.19411319528686
38,1,158.61879215769974
34,2,160.09739658610275
44,3,214.85438926836213
46,2,328.4506766388863
65,3,234.23798697906426
39,2,152.15397252145584
46,1,152.9202433964371
73,1,143.30540338989647
60,1,124.90719360421714
70,2,120.11121493277264
47,1,123.60917788305954
64,2,153.85731434366443
68,2,145.04687997590838
66,3,135.54905812514548
64,2,145.46682493624232
82,3,271.438602510306
88,4,263.05949130140715
64,3,310.1821045170236
69,3,223.79669465417254
63,3,162.39738766956145
89,2,245.7364223706256
71,4,217.24995999179643
66,3,265.00806860189056
60,2,228.00801663131847
46,1,187.5912648184849
58,3,247.59080064555252
82,1,261.14588935713857
73,2,207.6128084931577
97,3,529.1215034424091
110,3,316.8258414835159
125,2,233.04738922160604
98,2,325.65167307528577
115,3,316.06531566758287
77,1,297.8261133900001
90,1,176.8307052438284
86,1,389.19186137525804
81,1,345.5434381918775
67,1,426.50300918267294
91,1,185.67930082261287
95,4,278.72289816077785
78,4,264.64129452282185
93,4,248.08211729070683
85,3,321.68791847972136
84,3,225.23396782581676
86,4,284.4278330801852
59,4,172.84445377371605
64,4,270.53253819311095
70,4,283.7387196792672
74,4,222.5065362892579
62,4,167.81574636460223
42,4,229.90341897508011
33,4,181.68071007556847
53,4,182.74981586967687
42,4,166.5802264329663
64,4,177.75829421796763
45,4,172.12768811348565
52,4,179.0198613680544
37,4,344.72824105169923
46,4,158.85920697142106
56,4,153.64198921366315
22,4,164.34521740351278
57,4,265.8666190081093
57,4,282.94747548703083
87,4,162.7416312101989
89,4,167.57959067602346
95,4,159.2683967975012
92,3,160.4930369064086
74,3,156.08491401674925
91,4,217.84603761884497
75,4,150.28471606655762
87,4,151.13176240892216
96,4,151.99436438464355
88,4,168.5609965208124
128,4,172.0474593165351
81,1,185.44505788373817
58,3,155.4705921828375
31,2,182.7531487800263
