demand,civilians_rank,distance
12,2,218.85776293262637
5,3,204.7022408968745
19,1,286.27106063670925
9,2,294.488256667718
8,3,265.3044797036781
29,2,174.03377815168446
9,4,272.1721601004583
7,2,343.74132623942324
3,4,291.0480789590852
4,4,159.08227711159182
12,2,216.76438695832738
4,3,155.21691544524538
7,3,187.4942119712016
3,3,233.25704472194283
8,3,187.29112172943826
10,1,196.81623481867055
11,2,243.04062536849202
12,2,404.91886144196786
10,3,209.32060217530037
4,1,147.42485303268788
7,2,166.79307191144673
7,1,137.37682519833885
3,2,140.48754077511217
12,3,155.94506986717172
7,2,298.2069429921869
9,3,139.67325438478147
2,1,160.70036123242247
14,4,179.3079987275705
8,2,163.36695528913728
2,1,159.43086895464594
7,2,226.75540812776185
18,2,146.1602631492514
20,1,180.41576560827042
0,1,276.47272386661024
3,3,139.1459922251779
11,1,152.04505023034338
13,2,246.6772056028548
14,1,136.31682277886873
4,1,253.44086610736613
10,2,257.6468447681421
24,3,186.87088419911237
12,1,274.94788852869914
5,3,137.09312145742055
20,1,172.3259357748943
9,2,285.6871746826183
7,2,495.2882125540938
13,4,332.09030297819413
7,2,248.35054791827682
0,1,561.4532172606861
2,1,420.0155329557245
24,1,373.68156357895623
2,2,257.8005248936521
12,3,326.56035948676515
2,1,149.5321143636963
14,2,440.2742787602143
19,2,554.3660717559613
17,1,682.1520523495877
20,1,303.8131549129461
3,3,298.17619981454703
16,2,423.2912271239933
15,1,246.4975965335192
5,1,342.4292332945135
14,2,234.14962279554803
5,3,332.71173667702703
5,3,149.19325503302005
1,3,265.90064407708246
4,1,166.10572139187138
8,3,424.21587223399627
12,1,521.205637585472
6,2,153.58090466533105
111,3,255.08887156713573
86,1,289.82086896348864
88,4,366.22390840471627
89,1,395.0797204133365
81,1,256.33725884144656
39,1,170.05455882654155
118,2,167.40125553286424
100,3,235.92941842583141
94,2,346.22682005880586
79,3,250.10940562030984
81,2,184.16361515872
69,1,158.09857216652804
81,1,159.48634255670626
80,1,109.51373860244844
97,2,113.74050490935385
36,1,111.98832726397829
89,2,179.33014961084587
110,2,160.8471932462714
109,3,163.4515018239031
117,2,168.615227660215
124,3,291.1016957598875
111,4,285.3556267215885
90,3,326.24725053629464
103,3,240.7493585719894
92,3,192.87500703128867
91,2,279.0021568963129
94,4,252.95216505675717
89,3,312.95432888928326
96,2,260.96747248340944
62,1,224.60387261386262
111,3,272.53554929695355
84,1,314.76692150716383
56,2,261.72855514677786
57,3,573.9611911012443
85,3,341.07581848222117
94,2,267.3044494316712
64,2,361.3467327149136
78,3,337.9712768425143
96,1,329.79149330207736
64,1,195.8279900957951
59,1,384.22284560928114
57,1,345.47184813590286
61,1,448.5169734055944
72,1,217.9044497232859
65,4,314.6206340298981
64,4,308.9577462080223
74,4,289.07492072540987
70,3,348.24398694294007
83,3,264.59467390634916
78,4,321.2955316157468
70,4,195.23944951432773
93,4,328.10393951807947
86,4,338.76437156629817
76,4,277.4739780266264
90,4,212.83331656493192
64,4,262.7702987481591
41,4,224.11951389030293
110,4,221.61372138524345
97,4,208.5502390934947
78,4,218.1098352535269
55,4,217.88368021716698
86,4,234.58807799522208
83,4,384.43834261652916
98,4,190.3855949728634
89,4,198.59322042197448
62,4,191.15147551030282
99,4,309.67532553171526
97,4,330.978505754656
121,4,206.3915172718752
127,4,204.11149601297438
144,4,192.49537575924742
130,3,214.1571776622539
144,3,191.9029872474057
143,4,255.05908044557157
160,4,195.82804893534302
167,4,196.2342392420316
125,4,193.42508526477852
107,4,211.41133222677692
164,4,220.8052436386959
160,1,205.84777209139344
354,3,166.34208095923196
170,2,202.69176400416455
