demand,civilians_rank,distance
75,2,186.43526517277485
111,3,181.55742689909763
86,1,263.392347974706
79,2,277.10359385370367
84,3,248.01479352285432
82,2,157.92623268711583
83,4,257.817279482238
97,2,329.26301704747834
59,4,285.5165397063073
94,4,156.34774483563137
92,2,211.09091637462063
74,3,144.512714366764
58,3,180.22726773569332
68,3,230.27464388098664
100,3,169.8745938593517
87,1,176.8631885734666
104,2,232.11952042456716
95,2,398.12420355153574
74,3,208.4436685556848
101,1,151.89446655709568
112,2,162.8816983486657
88,1,141.9443609098556
80,2,140.420895478268
65,3,147.52670643127001
53,2,294.0767818932507
75,3,140.30938835006742
91,1,147.72537301503448
92,4,164.92997875385663
97,2,151.93731121128332
97,1,149.16119185994813
107,2,216.67776898409556
84,2,135.32577063195959
73,1,169.62627738948876
85,1,263.89250020465084
37,3,128.52077614999587
77,1,147.3543433336823
100,2,244.44156065939887
80,1,127.80122864757334
101,1,244.582438204952
122,2,247.29137080029238
151,3,183.148415771314
124,1,269.54253763020483
104,3,137.09378685065437
101,1,172.36733261652537
141,2,274.01678826786844
114,2,495.8699226951202
134,4,327.19062223784437
82,2,243.04366444330762
102,1,532.5640666321978
118,1,398.0549685709452
167,1,357.3140855152916
177,2,248.08535369829758
145,3,329.90649829564273
98,1,143.27778209209572
164,2,437.928780015276
177,2,543.890244487772
162,1,676.429951648845
186,1,289.4455708326017
165,3,293.8561287895166
176,2,406.24290334188566
165,1,249.80694004045944
130,1,339.2408266600142
137,2,235.8041949035175
143,3,334.6220287735815
110,3,147.7523274445889
111,3,260.7197065295859
111,1,160.72669000091332
123,3,416.49747286204354
122,1,504.73709285072374
127,2,147.8564842497624
128,3,248.16637839808118
114,1,284.6151630807675
134,4,366.3959753678413
114,1,398.784088038704
66,1,255.43835894038497
76,1,164.44523865453291
164,2,165.34012215829915
174,3,226.20350221911065
105,2,338.1664309546827
114,3,241.9945633346221
134,2,166.71196639574237
151,1,155.89001013322988
131,1,150.36836691986392
149,1,119.73695048369845
120,2,117.56951795130188
51,1,119.9405160641516
132,2,166.95558448410063
104,2,153.81295664374167
226,3,148.7848177555266
209,2,156.9651965226074
159,3,282.84526519091037
188,4,274.86205506012084
140,3,319.4314017725323
196,3,233.7686641936492
143,3,177.95138626393563
161,2,263.5010994303953
186,4,235.7568737112083
204,3,287.8915796600832
237,2,245.01578608483214
150,1,206.63900622114681
166,3,261.3550678200407
156,1,287.03585469537586
213,2,235.13062609889855
119,3,552.1806749254147
75,3,329.1364949280054
53,2,250.36485208349444
38,2,345.0780772957265
105,3,328.67799948553056
37,1,314.8217189645772
66,1,187.83679965065738
136,1,391.95256049918856
160,1,350.38261901263513
105,1,440.6501573233557
143,1,203.54175381900436
127,4,298.41944566876236
163,4,286.86605323058114
116,4,269.4393617719913
124,3,337.28538930397275
109,3,246.00093016376846
99,4,304.03056532028864
197,4,186.44626581374862
109,4,299.4909135289364
143,4,311.05292367801707
87,4,250.21719197175858
82,4,190.6607217977681
72,4,248.1869542884468
37,4,203.85807397795867
106,4,203.1415835957333
168,4,188.1946382345801
191,4,198.84217082760918
79,4,195.35900217049183
102,4,206.70080320383812
159,4,366.03849416869264
122,4,175.79121628399915
112,4,176.49892546568225
59,4,179.12926643453048
71,4,289.3895129962328
168,4,307.54904020174666
137,4,185.25333005055265
118,4,186.942618383218
105,4,176.60183126047497
151,3,186.56891136829518
25,3,174.81304200561692
87,4,237.25247938910383
67,4,173.01701033691631
95,4,173.6872849994055
133,4,172.73441365359787
92,4,190.5660568249821
118,4,196.6425361804014
134,1,198.64353819461132
102,3,163.31881767666232
52,2,194.8470083057963
